================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
pm25       fold_1_stubble_oct_nov_2025          0     1    31    32
pm25       fold_2                               1     0    31    32
pm25       fold_3                               0     4    38    42
pm25       holdout_120d                         0     0    42    42
pm10       fold_1_stubble_oct_nov_2025          1     1    30    32
pm10       fold_2                               1     1    30    32
pm10       fold_3                               0     2    40    42
pm10       holdout_120d                         0     3    39    42
no2        fold_1_stubble_oct_nov_2025          3    11    18    32
no2        fold_2                               5    12    15    32
no2        fold_3                               2     3    37    42
no2        holdout_120d                         1     1    40    42
o3         fold_1_stubble_oct_nov_2025          1     2    29    32
o3         fold_2                               0     3    29    32
o3         fold_3                               1     5    36    42
o3         holdout_120d                         0     2    40    42
so2        fold_1_stubble_oct_nov_2025          1     2    25    28
so2        fold_2                               1     5    22    28
so2        fold_3                               2     4    30    36
so2        holdout_120d                         1     3    32    36

pairs passing BOTH thresholds (D+1): 21/720

--- FAILING PAIRS (634) — full list, D+1 ---
  sid name                       poll   window                               rmse       r2  persist
10908 Faridabad (Sector 11)      NO2    holdout_120d                         0.84  -22.252     0.28
10488 Najafgarh                  NO2    holdout_120d                        21.35   -8.349     6.10
  301 Gurugram (Vikas Sadan)     NO2    fold_3                               1.64   -5.191     0.98
   50 Punjabi Bagh               NO2    holdout_120d                         9.32   -2.307     5.58
 6957 Jawaharlal Nehru Stadium   NO2    holdout_120d                        24.29   -1.902    12.96
10825 Gurugram (Sector 51)       NO2    fold_3                               2.12   -1.891     0.93
 5626 DTU                        NO2    holdout_120d                        10.73   -1.695     6.58
10919 Ghaziabad (Sanjay Nagar)   NO2    fold_1_stubble_oct_nov_2025         42.44   -1.666    22.96
10908 Faridabad (Sector 11)      NO2    fold_3                               0.85   -1.646     0.75
  235 Anand Vihar                NO2    holdout_120d                        23.31   -1.532    19.16
 6924 Ghaziabad (Indirapuram)    NO2    holdout_120d                        20.73   -1.302    12.76
10900 Gurugram (Teri Gram)       NO2    holdout_120d                         8.39   -1.022     7.13
10919 Ghaziabad (Sanjay Nagar)   NO2    holdout_120d                        14.90   -0.880    11.08
10900 Gurugram (Teri Gram)       NO2    fold_3                               9.24   -0.759     7.57
   17 R K Puram                  NO2    holdout_120d                        16.51   -0.678    17.60
 5613 ITO                        NO2    fold_3                               9.65   -0.647     9.73
 6988 Noida Sector 116           NO2    holdout_120d                        18.25   -0.646    16.01
10919 Ghaziabad (Sanjay Nagar)   NO2    fold_2                              33.48   -0.636    19.09
 8472 Bawana                     NO2    holdout_120d                         6.61   -0.579     4.43
 6934 Dr. Karni Singh Shooting R NO2    holdout_120d                        13.69   -0.487    12.71
  301 Gurugram (Vikas Sadan)     NO2    holdout_120d                         5.70   -0.485     2.64
10820 Faridabad (Sector 30)      NO2    fold_3                               1.51   -0.430     1.63
 5541 Burari Crossing            NO2    holdout_120d                         9.32   -0.413     9.43
10831 Rohini                     NO2    holdout_120d                        12.09   -0.321     7.20
10825 Gurugram (Sector 51)       NO2    fold_2                               3.89   -0.282     3.96
 8365 Nehru Nagar                NO2    holdout_120d                         9.61   -0.281     8.66
 5634 Lodhi Road                 NO2    holdout_120d                         5.32   -0.277     5.18
   17 R K Puram                  NO2    fold_3                              30.21   -0.239    37.26
 8475 Sonia Vihar                NO2    holdout_120d                        10.71   -0.220     9.67
 5613 ITO                        NO2    holdout_120d                         7.04   -0.215     7.04
 5626 DTU                        NO2    fold_3                               7.81   -0.161     9.21
 6978 Greater Noida (Knowledge P NO2    holdout_120d                        10.22   -0.142    10.87
 5626 DTU                        NO2    fold_1_stubble_oct_nov_2025          8.55   -0.125     9.43
   50 Punjabi Bagh               NO2    fold_3                               9.86   -0.122     8.79
 5626 DTU                        NO2    fold_2                              10.28   -0.116    12.35
 8915 Wazirpur                   NO2    holdout_120d                        11.16   -0.088    11.17
10831 Rohini                     NO2    fold_3                              11.49   -0.073    13.03
 6359 Vivek Vihar                NO2    fold_3                              10.73   -0.072    11.99
 5627 CRRI Mathura Road          NO2    holdout_120d                        13.51   -0.060    14.02
10820 Faridabad (Sector 30)      NO2    fold_2                               2.10   -0.059     2.98
