hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2022-01-01T17,611.0,915.0,50.5,5.7,7.6,1,1,1,1,1
2022-01-01T18,466.0,687.0,50.0,5.1,6.6,1,1,1,1,1
2022-01-02T12,169.0,355.0,61.6,5.1,4.0,1,1,1,1,1
2022-01-02T16,378.0,588.0,58.5,4.6,6.3,1,1,1,1,1
2022-01-02T17,321.0,461.0,50.1,5.3,5.1,1,1,1,1,1
2022-01-02T18,309.0,465.0,44.8,4.9,4.2,1,1,1,2,1
2022-01-02T19,304.0,442.0,49.1,,4.3,1,1,1,0,1
2022-01-03T00,329.0,442.0,43.1,4.8,4.9,1,1,1,1,1
2022-01-03T01,276.0,382.0,42.1,5.1,3.9,1,1,1,1,1
2022-01-03T02,359.0,477.0,38.6,5.2,4.0,1,1,1,1,1
2022-01-03T04,309.0,537.0,61.6,5.6,4.0,1,1,1,1,1
2022-01-03T08,197.0,340.0,46.3,12.9,5.2,1,1,1,1,1
2022-01-03T10,136.0,261.0,55.1,11.1,3.2,1,1,1,1,1
2022-01-03T11,180.0,337.0,58.7,7.9,3.9,1,1,1,1,1
2022-01-03T14,425.0,729.0,67.2,5.5,6.3,1,1,1,1,1
2022-01-03T19,445.0,638.0,52.9,,7.0,1,1,1,0,1
2022-01-03T20,368.0,499.0,,5.7,,1,1,0,1,0
2022-01-03T22,304.0,426.0,42.8,5.5,4.2,1,1,1,1,1
2022-01-04T00,307.0,433.0,45.8,5.0,4.2,1,1,1,1,1
2022-01-04T01,324.0,466.0,30.4,5.4,4.0,1,1,1,1,1
2022-01-04T03,353.0,500.0,55.8,5.6,4.25,1,1,1,1,1
2022-01-04T09,92.0,189.0,36.5,10.1,3.8,1,1,1,1,1
2022-01-04T11,38.0,112.0,48.9,4.7,3.3,1,1,1,1,1
2022-01-04T15,556.0,1011.0,60.2,5.8,8.1,1,1,1,1,1
2022-01-04T16,498.0,908.0,46.3,5.3,10.2,1,1,1,1,1
2022-01-04T19,339.0,509.0,43.5,5.9,4.2,1,1,1,1,1
2022-01-05T01,433.0,560.0,34.5,5.3,3.3,1,1,1,1,1
2022-01-05T02,476.0,619.0,36.6,15.9,3.6,1,1,1,1,1
2022-01-05T03,477.0,586.0,61.8,17.1,6.7,1,1,1,1,1
2022-01-05T05,493.0,608.0,33.2,20.4,7.4,1,1,1,1,1
2022-01-05T07,376.0,448.0,41.1,11.2,7.0,1,1,1,1,1
2022-01-05T13,232.0,277.0,29.9,6.5,1.8,1,1,1,1,1
2022-01-05T14,240.0,282.0,35.2,6.2,2.8,1,1,1,1,1
2022-01-05T15,238.0,278.0,32.0,6.1,4.4,1,1,1,1,1
2022-01-05T16,212.0,244.0,39.0,5.2,4.5,1,1,1,1,1
2022-01-05T17,183.0,205.0,26.4,5.1,3.4,1,1,1,1,1
2022-01-05T19,130.0,151.0,30.8,,2.8,1,1,1,0,1
2022-01-05T20,132.0,153.0,,5.2,,1,1,0,1,0
2022-01-06T09,90.0,157.0,26.9,6.3,2.7,1,1,1,1,1
2022-01-06T10,84.0,189.0,27.3,5.6,2.5,1,1,1,1,1
2022-01-06T15,145.0,257.0,25.9,5.2,5.8,1,1,1,1,1
2022-01-06T16,146.0,250.0,29.0,4.7,5.4,1,1,1,1,1
2022-01-06T17,145.0,266.0,23.5,5.3,3.7,1,1,1,1,1
2022-01-07T18,57.0,69.0,20.6,5.7,2.2,1,1,1,1,1
2022-01-07T21,61.0,75.0,14.7,5.9,3.6,1,1,1,1,1
2022-01-08T01,39.0,45.0,14.9,8.8,4.4,1,1,1,1,1
2022-01-08T02,67.0,74.0,15.2,10.1,3.7,1,1,1,1,1
2022-01-08T04,73.0,89.0,14.6,6.3,3.2,1,1,1,1,1
2022-01-08T05,50.0,53.0,14.8,9.3,4.4,1,1,1,1,1
2022-01-08T07,81.0,90.0,13.7,8.7,4.9,1,1,1,1,1
2022-01-08T08,75.0,88.0,20.3,6.5,4.8,1,1,1,1,1
2022-01-08T14,56.0,62.0,11.5,6.0,3.4,1,1,1,1,1
2022-01-08T16,45.0,50.0,13.9,5.5,4.7,1,1,1,1,1
2022-01-09T02,51.0,59.0,13.6,5.6,3.8,1,1,1,1,1
2022-01-09T03,66.0,64.0,16.1,5.4,3.6,1,1,1,1,1
2022-01-09T04,24.0,23.0,9.6,5.2,4.3,1,1,1,1,1
2022-01-09T08,68.0,83.0,13.2,5.4,4.5,1,1,1,1,1
2022-01-09T09,78.0,92.0,14.6,5.0,3.0,1,1,1,1,1
2022-01-09T10,62.0,72.0,14.2,5.5,2.8,1,1,1,1,1
2022-01-09T11,41.0,51.0,17.1,5.1,2.7,1,1,1,1,1
2022-01-09T14,53.0,66.0,14.1,5.2,3.5,1,1,1,1,1
2022-01-09T15,78.0,92.0,16.0,5.1,3.2,1,1,1,1,1
2022-01-09T16,62.0,83.0,14.8,5.5,3.1,1,1,1,1,1
2022-01-09T18,77.0,88.0,16.9,5.2,2.3,1,1,1,1,1
2022-01-09T19,68.0,86.0,15.5,,2.1,1,1,1,0,1
2022-01-09T22,94.0,112.0,11.7,5.8,4.5,1,1,1,1,1
2022-01-10T00,84.0,108.0,19.1,5.4,4.8,1,1,1,1,1
2022-01-10T03,91.0,122.0,20.7,4.7,4.4,1,1,1,1,1
2022-01-10T09,89.0,151.0,28.2,7.0,3.4,1,1,1,1,1
