hour_utc,pm25,pm10,no2,o3,so2,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,surface_pressure,wind_speed_10m,wind_direction_10m,wind_speed_100m,boundary_layer_height
2016-02-05T00:00,,,,,,7.5,82,0.0,0,990.2,6.9,298,17.3,50.0
2016-02-05T01:00,,,,,,7.0,84,0.0,0,990.5,6.8,295,16.8,50.0
2016-02-05T02:00,,,,,,6.6,86,0.0,0,991.4,6.6,283,16.0,45.0
2016-02-05T03:00,,,,,,9.3,77,0.0,18,992.2,8.3,270,14.8,70.0
2016-02-05T04:00,,,,,,14.3,58,0.0,25,993.1,7.2,270,10.9,140.0
2016-02-05T05:00,,,,,,17.6,47,0.0,11,993.5,8.1,283,10.4,340.0
2016-02-05T06:00,,,,,,19.9,39,0.0,21,993.1,9.5,295,11.9,555.0
2016-02-05T07:00,,,,,,21.0,36,0.0,7,992.0,10.1,305,12.4,715.0
2016-02-05T08:00,,,,,,22.0,33,0.0,3,990.7,10.2,309,12.5,830.0
2016-02-05T09:00,,,,,,22.5,31,0.0,0,989.9,10.2,312,12.7,910.0
2016-02-05T10:00,,,,,,22.6,30,0.0,6,989.3,9.7,312,12.2,925.0
2016-02-05T11:00,,,,,,22.3,32,0.0,6,988.6,9.4,313,12.2,910.0
2016-02-05T12:00,,,,,,20.8,40,0.0,40,988.4,7.7,311,13.2,140.0
2016-02-05T13:00,,,,,,18.9,46,0.0,36,987.9,10.5,308,14.0,55.0
2016-02-05T14:00,,,,,,17.0,52,0.0,15,988.6,10.2,302,14.0,40.0
2016-02-05T15:00,,,,,,15.6,57,0.0,10,988.6,10.3,299,13.8,35.0
2016-02-05T16:00,,,,,,14.2,62,0.0,0,988.4,10.3,295,12.8,30.0
2016-02-05T17:00,,,,,,12.8,69,0.0,0,988.4,9.7,297,11.5,25.0
2016-02-05T18:00,,,,,,11.7,74,0.0,0,988.2,9.5,299,10.7,25.0
2016-02-05T19:00,,,,,,10.7,77,0.0,0,987.6,9.0,307,10.0,25.0
2016-02-05T20:00,,,,,,10.2,79,0.0,6,987.1,8.4,313,9.1,20.0
2016-02-05T21:00,,,,,,9.7,80,0.0,12,986.8,8.2,319,8.7,20.0
2016-02-05T22:00,,,,,,9.4,81,0.0,7,986.1,7.0,339,8.0,20.0
2016-02-05T23:00,,,,,,9.8,79,0.0,15,986.8,5.8,4,6.9,15.0
2016-02-06T00:00,,,,,,9.6,80,0.0,1,986.6,4.8,48,6.1,15.0
2016-02-06T01:00,,,,,,9.2,82,0.0,0,987.2,3.5,114,5.2,15.0
2016-02-06T02:00,,,,,,8.4,86,0.0,0,987.8,4.3,138,6.0,15.0
2016-02-06T03:00,,,,,,10.2,83,0.0,0,988.6,4.8,138,8.3,35.0
2016-02-06T04:00,,,,,,14.9,64,0.0,0,989.3,4.4,125,8.4,115.0
2016-02-06T05:00,,,,,,18.3,50,0.0,0,989.7,6.6,135,8.4,375.0
2016-02-06T06:00,,,,,,20.5,39,0.0,0,990.0,8.1,148,10.2,725.0
2016-02-06T07:00,,,,,,21.2,39,0.0,0,989.0,8.0,144,9.8,870.0
2016-02-06T08:00,,,,,,22.1,36,0.0,0,988.2,8.7,138,10.7,960.0
2016-02-06T09:00,,,,,,22.7,35,0.0,0,987.2,8.9,133,10.9,1005.0
2016-02-06T10:00,,,,,,22.9,34,0.0,0,986.5,11.1,126,13.9,1005.0
2016-02-06T11:00,,,,,,22.6,35,0.0,0,986.2,11.7,124,15.6,935.0
2016-02-06T12:00,,,,,,21.2,42,0.0,0,985.7,7.2,117,17.2,270.0
2016-02-06T13:00,,,,,,18.9,49,0.0,0,985.8,8.4,110,19.3,90.0
