hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-12-14T01,129.0,188.0,29.1,6.2,7.3,1,1,1,1,1
2018-12-14T16,117.0,169.0,26.0,5.6,,1,1,1,1,0
2018-12-15T14,,150.5,43.4,6.7,7.7,0,1,1,1,1
2018-12-15T15,107.0,174.0,,7.1,7.4,1,1,0,1,1
2018-12-15T21,113.0,156.0,29.7,5.5,4.9,1,1,1,1,1
2018-12-20T20,287.0,379.0,38.7,11.3,8.3,1,1,1,1,1
2018-12-20T21,282.333,371.667,35.7,10.133,6.733,1,1,1,1,1
2018-12-20T22,268.333,352.667,33.767,8.967,6.3,1,1,1,1,1
2018-12-20T23,252.0,336.667,36.0,8.7,7.0,1,1,1,1,1
2018-12-21T00,238.0,322.0,36.1,8.6,7.6,1,1,1,1,1
2018-12-21T01,230.0,322.667,39.4,10.667,7.867,1,1,1,1,1
2018-12-21T02,224.0,322.0,40.8,15.0,7.25,1,1,1,1,1
2018-12-21T04,190.5,293.0,44.4,65.15,15.05,1,1,1,1,1
2018-12-21T05,165.5,249.0,36.05,68.8,20.733,1,1,1,1,1
2018-12-21T06,134.0,204.5,31.1,72.825,17.0,1,1,1,1,1
2018-12-21T07,114.0,175.0,27.05,75.425,12.7,1,1,1,1,1
2018-12-21T08,108.5,177.5,24.475,80.6,12.075,1,1,1,1,1
2018-12-21T09,125.5,204.0,24.05,84.95,12.95,1,1,1,1,1
2018-12-21T10,156.5,252.0,32.025,70.05,12.125,1,1,1,1,1
2018-12-21T11,172.0,273.5,35.45,33.45,7.65,1,1,1,1,1
2018-12-21T12,171.5,253.0,39.925,14.275,6.025,1,1,1,1,1
2018-12-21T13,178.5,247.5,47.225,7.625,6.067,1,1,1,1,1
2018-12-21T14,190.5,265.0,47.05,7.933,7.425,1,1,1,1,1
2018-12-21T15,225.5,322.5,46.7,8.925,10.85,1,1,1,1,1
2018-12-21T16,276.0,387.0,42.1,10.5,13.2,1,1,1,1,1
2018-12-21T17,317.0,425.0,35.725,10.325,12.9,1,1,1,1,1
2018-12-21T18,344.0,455.75,33.175,11.2,12.625,2,2,2,2,2
2018-12-21T19,348.333,463.0,40.267,10.0,9.133,1,1,1,1,1
2018-12-21T20,307.5,412.5,36.05,8.65,5.15,1,1,1,1,1
2018-12-21T21,281.5,376.5,30.567,8.233,5.8,1,1,1,1,1
2018-12-21T22,266.0,353.0,30.7,8.575,7.45,1,1,1,1,1
2018-12-21T23,260.0,366.667,35.85,8.25,7.5,1,1,1,1,1
2018-12-22T00,252.5,393.667,33.6,8.75,7.275,1,1,1,1,1
2018-12-22T01,243.5,386.0,29.7,7.9,9.2,1,1,1,1,1
2018-12-22T02,255.5,405.0,46.7,8.85,13.7,1,1,1,1,1
2018-12-22T03,297.0,461.0,107.9,17.225,16.925,1,1,1,1,1
2018-12-22T04,297.667,435.333,61.367,49.767,19.167,1,1,1,1,1
2018-12-22T05,233.0,319.5,59.075,58.467,21.467,1,1,1,1,1
2018-12-22T06,213.5,301.5,56.675,69.575,25.6,1,1,1,1,1
2018-12-22T07,197.0,285.5,45.925,80.85,23.15,1,1,1,1,1
2018-12-22T08,205.0,303.5,47.85,89.8,21.575,1,1,1,1,1
2018-12-22T09,230.0,343.5,60.5,68.15,20.433,1,1,1,1,1
2018-12-22T10,248.5,381.5,94.2,18.625,15.875,1,1,1,1,1
2018-12-22T11,255.5,393.0,86.55,7.1,10.375,1,1,1,1,1
2018-12-22T12,252.0,378.5,69.625,7.0,10.4,1,1,1,1,1
2018-12-22T13,273.0,397.5,58.65,8.825,11.5,1,1,1,1,1
2018-12-22T14,316.5,438.5,47.025,10.6,15.3,1,1,1,1,1
2018-12-22T15,365.0,482.0,41.825,11.55,15.625,1,1,1,1,1
2018-12-22T16,373.5,484.0,34.1,10.925,14.225,1,1,1,1,1
2018-12-22T17,359.667,468.0,31.375,10.825,11.967,1,1,1,1,1
2018-12-22T18,366.333,472.0,29.55,10.6,9.2,2,2,2,1,2
2018-12-22T19,370.0,470.5,25.533,8.4,7.867,1,1,1,1,1
2018-12-22T20,334.5,430.5,24.3,8.95,4.4,1,1,1,1,1
2018-12-22T21,298.5,393.5,25.375,8.0,6.0,1,1,1,1,1
2018-12-22T22,279.0,370.0,19.4,7.725,9.2,1,1,1,1,1
2018-12-22T23,287.667,372.667,21.433,8.0,12.2,1,1,1,1,1
2018-12-23T00,322.5,403.5,20.475,7.925,13.067,1,1,1,1,1
2018-12-23T01,336.667,435.333,28.15,8.4,12.2,1,1,1,1,1
2018-12-23T02,361.5,515.667,32.767,8.0,11.667,1,1,1,1,1
2018-12-23T03,367.0,551.0,82.167,16.8,12.567,1,1,1,1,1
2018-12-23T04,349.0,484.667,58.767,44.467,12.833,1,1,1,1,1
2018-12-23T05,281.5,386.5,48.7,65.35,16.15,1,1,1,1,1
2018-12-23T06,274.0,375.667,41.833,70.8,15.933,1,1,1,1,1
2018-12-23T07,267.667,374.333,38.233,71.1,15.3,1,1,1,1,1
2018-12-23T08,242.0,344.667,30.733,74.267,13.95,1,1,1,1,1
2018-12-23T09,207.333,297.5,35.5,62.333,12.55,1,1,1,1,1
2018-12-23T10,189.5,284.0,59.075,27.45,10.575,1,1,1,1,1
2018-12-23T11,191.0,291.333,69.433,7.267,8.1,1,1,1,1,1
2018-12-23T12,212.5,323.0,51.367,6.875,9.025,1,1,1,1,1
2018-12-23T13,263.667,384.667,50.433,8.6,13.5,1,1,1,1,1
2018-12-23T14,349.0,487.333,37.95,9.967,15.7,1,1,1,1,1
2018-12-23T15,408.0,545.0,39.1,10.45,17.6,1,1,1,1,1
2018-12-23T16,429.0,559.0,35.367,8.833,14.967,1,1,1,1,1
2018-12-23T17,374.333,484.0,26.533,8.767,12.65,1,1,1,1,1
2018-12-23T18,366.5,462.5,25.475,8.45,10.7,2,2,2,2,2
2018-12-23T19,354.667,445.667,23.6,7.1,8.6,1,1,1,1,1
2018-12-23T20,309.0,391.0,23.9,6.933,4.4,1,1,1,1,1
2018-12-23T21,271.667,342.333,22.433,5.767,5.1,1,1,1,1,1
2018-12-23T22,247.0,313.0,20.3,6.333,5.733,1,1,1,1,1
2018-12-23T23,241.0,308.333,17.3,6.367,6.133,1,1,1,1,1
2018-12-24T00,242.0,312.0,19.633,6.467,6.9,1,1,1,1,1
2018-12-24T01,254.333,336.0,17.8,5.8,9.2,1,1,1,1,1
2018-12-24T02,267.0,431.333,33.8,6.1,10.467,1,1,1,1,1
2018-12-24T03,302.0,561.667,126.267,8.267,15.133,1,1,1,1,1
2018-12-24T04,396.0,598.0,161.967,13.7,21.7,1,1,1,1,1
2018-12-24T05,509.333,692.333,132.5,29.967,18.0,1,1,1,1,1
2018-12-24T06,428.0,612.0,62.85,63.5,15.533,1,1,1,1,1
2018-12-24T07,292.0,449.0,39.8,62.9,12.15,1,1,1,1,1
2018-12-24T08,175.5,285.0,32.15,58.525,11.833,1,1,1,1,1
2018-12-24T09,161.333,268.0,35.0,50.367,14.9,1,1,1,1,1
2018-12-24T10,168.0,275.0,33.633,39.65,16.2,1,1,1,1,1
2018-12-24T11,187.0,293.5,37.5,17.2,8.0,1,1,1,1,1
2018-12-24T12,188.333,288.667,52.767,9.633,6.75,1,1,1,1,1
2018-12-24T13,205.0,292.0,60.6,5.15,6.767,1,1,1,1,1
2018-12-24T14,230.0,311.5,51.425,5.25,7.3,1,1,1,1,1
2018-12-24T15,259.5,344.5,48.625,6.125,9.05,1,1,1,1,1
2018-12-24T16,295.667,397.333,46.8,6.6,11.867,1,1,1,1,1
2018-12-24T17,358.0,471.667,48.3,7.233,13.2,1,1,1,1,1
2018-12-24T18,380.25,519.75,40.45,7.2,12.475,2,2,2,2,2
2018-12-24T19,363.5,504.0,38.65,7.1,11.8,1,1,1,1,1
2018-12-24T20,319.667,436.0,32.7,5.933,7.25,1,1,1,1,1
2018-12-24T21,293.667,397.667,31.667,5.0,6.6,1,1,1,1,1
2018-12-24T22,264.333,365.0,30.95,5.325,5.875,1,1,1,1,1
2018-12-24T23,248.5,359.0,29.1,4.7,5.95,1,1,1,1,1
2018-12-25T00,244.0,353.333,32.567,4.4,5.8,1,1,1,1,1
2018-12-25T01,232.667,331.333,36.567,5.933,5.95,1,1,1,1,1
2018-12-25T02,213.667,317.333,33.633,6.967,6.333,1,1,1,1,1
2018-12-25T03,219.0,354.5,46.325,10.85,8.1,1,1,1,1,1
2018-12-25T04,240.333,364.667,53.9,19.633,8.533,1,1,1,1,1
2018-12-25T05,251.0,330.333,48.8,28.167,11.35,1,1,1,1,1
2018-12-25T06,248.333,327.0,38.5,40.85,13.6,1,1,1,1,1
2018-12-25T07,232.0,310.0,30.75,41.65,13.725,1,1,1,1,1
2018-12-25T08,188.5,263.667,26.2,44.2,11.0,1,1,1,1,1
2018-12-25T09,183.0,265.0,28.15,41.525,11.95,1,1,1,1,1
2018-12-25T10,197.333,278.0,30.267,36.433,12.333,1,1,1,1,1
2018-12-25T11,213.5,290.5,37.125,23.825,8.475,1,1,1,1,1
2018-12-25T12,236.5,308.0,51.375,9.9,6.45,1,1,1,1,1
2018-12-25T13,261.0,330.0,45.275,9.925,6.2,1,1,1,1,1
2018-12-25T14,268.5,349.5,45.525,10.55,6.025,1,1,1,1,1
2018-12-25T15,256.333,345.667,38.467,7.367,6.0,1,1,1,1,1
2018-12-25T16,246.5,328.5,35.775,9.425,6.033,1,1,1,1,1
2018-12-25T17,226.333,301.0,32.233,9.7,5.1,1,1,1,1,1
2018-12-25T18,193.25,264.0,31.65,11.375,4.525,2,2,2,2,2
2018-12-25T19,184.333,264.667,34.833,6.2,4.567,1,1,1,1,1
2018-12-25T20,190.333,276.0,25.9,7.333,3.3,1,1,1,1,1
2018-12-25T21,190.0,275.333,27.567,6.567,4.9,1,1,1,1,1
2018-12-25T22,181.5,272.5,25.7,7.3,6.2,1,1,1,1,1
2018-12-25T23,179.0,271.0,25.6,11.3,6.6,1,1,1,1,1
2018-12-26T00,168.0,263.333,35.333,7.167,5.833,1,1,1,1,1
2018-12-26T01,160.667,249.667,29.033,6.633,5.9,1,1,1,1,1
2018-12-26T02,160.667,253.5,36.8,10.3,6.7,1,1,1,1,1
2018-12-26T03,174.5,265.333,55.725,14.95,8.9,1,1,1,1,1
2018-12-26T04,180.333,256.333,39.667,25.05,11.0,1,1,1,1,1
2018-12-26T05,177.5,254.0,37.4,28.6,12.25,1,1,1,1,1
2018-12-26T06,167.0,260.333,33.8,30.833,14.0,1,1,1,1,1
2018-12-26T07,105.667,180.333,27.767,26.133,12.5,1,1,1,1,1
2018-12-26T08,77.0,135.0,21.25,22.725,9.65,1,1,1,1,1
2018-12-26T09,70.667,124.667,20.467,22.033,9.7,1,1,1,1,1
2018-12-26T10,80.0,139.0,24.15,18.1,8.975,1,1,1,1,1
2018-12-26T11,74.5,160.5,28.45,11.6,7.15,1,1,1,1,1
2018-12-26T12,83.0,171.5,36.7,6.825,6.325,1,1,1,1,1
2018-12-26T13,120.0,177.5,45.775,4.65,6.367,1,1,1,1,1
