hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,35.333,100.0,9.833,67.4,8.35,1,1,1,1,1
2018-08-10T06,44.0,152.0,7.0,66.9,7.6,1,1,1,1,1
2018-08-10T07,36.333,72.0,7.467,60.967,5.067,1,1,1,1,1
2018-08-10T08,33.75,68.5,7.925,69.325,6.1,1,1,1,1,1
2018-08-10T09,38.5,72.75,17.95,68.625,8.5,1,1,1,1,1
2018-08-10T10,49.75,96.75,84.575,36.775,8.425,1,1,1,1,1
2018-08-10T11,65.5,168.25,87.15,41.225,10.333,1,1,1,1,1
2018-08-10T12,79.0,241.0,86.467,30.333,9.7,1,1,1,1,1
2018-08-10T13,73.0,210.5,90.4,13.3,5.325,1,1,1,1,1
2018-08-10T14,85.0,260.0,87.15,5.45,4.15,1,1,1,1,1
2018-08-10T15,88.0,229.0,27.6,15.2,4.9,1,1,1,1,1
2018-08-10T16,40.5,101.5,23.1,14.1,2.85,1,1,1,1,1
2018-08-10T21,31.5,64.0,15.4,8.75,5.65,1,1,1,1,1
2018-08-10T22,27.333,55.0,14.1,7.167,4.8,1,1,1,1,1
2018-08-10T23,28.25,52.5,13.45,4.525,4.433,1,1,1,1,1
2018-08-11T00,29.5,52.75,14.6,5.15,3.45,1,1,1,1,1
2018-08-11T01,31.0,58.0,10.65,6.15,3.9,1,1,1,1,1
2018-08-11T02,35.667,68.333,10.767,13.767,6.633,1,1,1,1,1
2018-08-11T03,28.333,65.667,6.433,21.067,7.067,1,1,1,1,1
2018-08-11T04,26.333,64.667,5.667,33.667,7.667,1,1,1,1,1
2018-08-11T05,25.0,68.0,5.7,37.3,8.1,1,1,1,1,1
2018-08-11T06,30.0,96.0,4.9,39.7,4.1,1,1,1,1,1
2018-08-11T07,30.0,96.0,4.3,39.9,4.0,1,1,1,1,1
2018-08-11T10,33.0,109.0,5.75,55.75,5.3,1,1,1,1,1
2018-08-11T11,38.0,123.0,8.0,52.7,3.6,1,1,1,1,1
2018-08-11T12,43.0,139.0,18.775,28.25,2.75,1,1,1,1,1
2018-08-11T13,58.0,157.0,19.5,38.8,3.55,1,1,1,1,1
2018-08-11T15,54.5,138.25,25.55,11.575,2.825,1,1,1,1,1
2018-08-11T16,30.0,77.25,12.275,16.325,2.575,1,1,1,1,1
2018-08-11T17,33.0,72.0,8.733,19.567,2.7,1,1,1,1,1
2018-08-11T18,27.334,61.334,11.933,18.675,5.983,2,2,2,2,2
2018-08-11T19,27.0,67.0,9.6,15.95,6.15,1,1,1,1,1
2018-08-11T20,30.25,65.75,2.75,22.025,4.0,1,1,1,1,1
2018-08-11T21,21.0,40.333,4.767,19.5,5.1,1,1,1,1,1
2018-08-11T22,18.5,44.25,6.85,15.65,4.65,1,1,1,1,1
2018-08-11T23,18.25,43.5,13.325,8.875,4.833,1,1,1,1,1
2018-08-12T00,21.25,50.0,10.75,9.4,6.075,1,1,1,1,1
2018-08-12T01,21.25,56.75,12.175,7.85,6.5,1,1,1,1,1
2018-08-12T02,28.25,59.0,9.925,10.625,7.15,1,1,1,1,1
2018-08-12T03,27.75,59.75,6.55,14.325,6.725,1,1,1,1,1
2018-08-12T04,23.0,65.25,5.1,21.675,6.55,1,1,1,1,1
2018-08-12T05,20.0,75.0,4.825,25.925,5.667,1,1,1,1,1
2018-08-12T06,20.0,75.0,3.967,27.7,1.633,1,1,1,1,1
2018-08-12T07,29.0,76.5,3.2,34.85,2.1,1,1,1,1,1
2018-08-12T08,24.0,77.25,3.275,43.325,1.75,1,1,1,1,1
2018-08-12T09,23.5,81.5,3.15,47.3,1.5,1,1,1,1,1
2018-08-12T10,14.5,74.75,8.975,42.175,1.9,1,1,1,1,1
2018-08-12T11,21.25,78.0,13.625,44.0,3.967,1,1,1,1,1
2018-08-12T12,32.25,92.0,36.875,37.25,6.975,1,1,1,1,1
2018-08-12T13,43.0,120.333,44.067,16.4,5.0,1,1,1,1,1
2018-08-12T14,41.0,114.5,43.175,116.85,4.35,1,1,1,1,1
2018-08-12T15,47.0,125.0,51.433,5.367,8.5,1,1,1,1,1
2018-08-12T16,49.0,144.667,30.6,136.533,5.067,1,1,1,1,1
2018-08-12T17,41.0,118.0,37.2,61.3,4.3,1,1,1,1,1
2018-08-13T02,29.5,79.25,7.275,11.1,10.75,1,1,1,1,1
2018-08-13T03,26.0,67.75,4.1,18.55,8.8,1,1,1,1,1
2018-08-13T04,21.0,69.0,4.175,23.9,7.0,1,1,1,1,1
2018-08-13T05,25.0,81.5,4.25,30.3,7.567,1,1,1,1,1
2018-08-13T06,28.75,105.5,3.95,38.05,7.425,1,1,1,1,1
2018-08-13T07,31.0,119.0,3.6,42.133,7.267,1,1,1,1,1
2018-08-13T08,37.75,114.333,1.475,38.575,7.35,1,1,1,1,1
2018-08-13T09,34.25,117.5,3.933,47.1,8.15,1,1,1,1,1
2018-08-13T10,35.0,107.0,16.95,45.9,9.55,1,1,1,1,1
2018-08-14T03,75.0,157.5,10.75,12.95,9.75,1,1,1,1,1
2018-08-14T04,75.0,153.0,8.8,23.5,9.167,1,1,1,1,1
2018-08-14T11,40.5,114.0,7.5,54.45,5.0,1,1,1,1,1
2018-08-14T12,42.0,110.0,8.367,50.533,6.533,1,1,1,1,1
2018-08-14T13,48.0,117.0,12.7,39.95,13.15,1,1,1,1,1
2018-08-14T14,96.0,267.0,23.8,13.9,7.8,1,1,1,1,1
2018-08-14T15,91.25,245.25,28.7,12.975,7.825,1,1,1,1,1
2018-08-14T16,77.0,180.0,36.1,8.567,8.1,1,1,1,1,1
2018-08-14T23,53.5,120.5,21.5,15.55,3.9,1,1,1,1,1
2018-08-15T00,52.25,119.0,20.7,22.825,2.925,1,1,1,1,1
2018-08-15T01,53.0,119.0,13.95,11.15,3.25,1,1,1,1,1
2018-08-15T03,54.0,146.0,2.95,21.35,5.65,1,1,1,1,1
2018-08-15T04,44.0,133.25,1.825,32.175,2.8,1,1,1,1,1
2018-08-15T05,20.5,80.0,2.675,45.475,3.433,1,1,1,1,1
2018-08-15T06,28.5,75.0,3.0,55.8,7.85,1,1,1,1,1
2018-08-15T07,40.667,94.0,11.133,55.4,7.933,1,1,1,1,1
2018-08-15T08,52.0,108.75,11.9,54.95,7.675,1,1,1,1,1
2018-08-15T09,52.0,117.0,1.8,68.033,7.8,1,1,1,1,1
2018-08-15T10,46.0,88.0,9.2,70.467,6.967,1,1,1,1,1
2018-08-15T11,46.0,94.0,12.8,70.05,6.8,1,1,1,1,1
2018-08-15T12,53.0,143.0,22.25,49.0,8.35,1,1,1,1,1
2018-08-15T13,50.0,119.0,15.3,43.633,5.767,1,1,1,1,1
2018-08-15T14,44.25,98.75,20.6,23.625,3.725,1,1,1,1,1
2018-08-15T15,42.0,110.0,18.8,17.333,4.567,1,1,1,1,1
2018-08-15T16,49.0,106.25,20.525,13.75,4.85,1,1,1,1,1
2018-08-15T17,50.333,107.0,21.9,10.1,4.1,1,1,1,1,1
2018-08-15T18,40.834,97.666,16.4,8.325,5.316,2,2,2,2,2
2018-08-15T19,40.0,81.0,13.6,7.2,3.85,1,1,1,1,1
2018-08-15T20,37.5,76.5,15.9,14.5,2.75,1,1,1,1,1
2018-08-15T21,38.25,86.0,15.925,16.6,3.85,1,1,1,1,1
2018-08-15T22,46.5,95.5,18.975,66.2,5.85,1,1,1,1,1
2018-08-15T23,48.75,101.75,13.825,31.6,8.667,1,1,1,1,1
2018-08-16T00,43.0,87.5,10.125,8.275,6.625,1,1,1,1,1
2018-08-16T01,43.333,79.333,5.1,10.7,7.233,1,1,1,1,1
2018-08-16T02,36.25,68.25,3.35,13.35,7.9,1,1,1,1,1
2018-08-16T03,30.5,55.25,4.125,24.625,9.1,1,1,1,1,1
