hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-12-14T12,77.0,89.0,24.6,44.5,6.0,1,1,1,1,1
2018-12-14T16,144.0,186.0,22.2,8.3,4.6,1,1,1,1,1
2018-12-15T14,134.0,175.0,31.9,18.9,,1,1,1,1,0
2018-12-15T15,135.0,175.0,31.8,16.75,,1,1,1,1,0
2018-12-20T20,164.0,216.0,57.1,2.2,1.8,1,1,1,1,1
2018-12-20T21,172.0,221.0,64.625,1.4,1.8,1,1,1,1,1
2018-12-20T22,180.667,227.0,64.4,1.167,3.933,1,1,1,1,1
2018-12-20T23,185.0,226.0,65.3,0.867,2.833,1,1,1,1,1
2018-12-21T00,177.5,207.0,62.1,1.275,1.225,1,1,1,1,1
2018-12-21T01,162.0,191.0,61.625,0.95,1.35,1,1,1,1,1
2018-12-21T02,168.5,237.0,62.2,2.25,3.0,1,1,1,1,1
2018-12-21T03,196.5,276.0,92.175,14.9,4.275,1,1,1,1,1
2018-12-21T04,237.0,299.0,72.9,42.05,5.45,1,1,1,1,1
2018-12-21T05,230.5,294.0,45.65,79.975,7.175,1,1,1,1,1
2018-12-21T06,183.5,321.5,36.975,98.575,8.65,1,1,1,1,1
2018-12-21T07,162.5,364.5,38.65,111.967,8.967,1,1,1,1,1
2018-12-21T08,160.5,328.0,36.225,118.85,9.225,1,1,1,1,1
2018-12-21T09,146.0,248.0,33.925,117.375,7.625,1,1,1,1,1
2018-12-21T10,122.5,185.0,34.3,90.1,6.8,1,1,1,1,1
2018-12-21T11,121.333,189.0,46.633,52.333,7.033,1,1,1,1,1
2018-12-21T12,135.5,206.5,48.85,28.3,5.225,1,1,1,1,1
2018-12-21T13,158.0,229.667,57.033,18.0,4.25,1,1,1,1,1
2018-12-21T14,212.0,272.0,62.125,12.0,2.675,1,1,1,1,1
2018-12-21T15,212.0,263.5,62.35,1.725,1.567,1,1,1,1,1
2018-12-21T16,198.0,241.5,57.133,2.267,1.567,1,1,1,1,1
2018-12-21T17,206.5,261.5,81.9,0.633,1.433,1,1,1,1,1
2018-12-21T18,216.0,281.0,76.2,2.575,1.433,2,2,2,2,1
2018-12-21T19,187.0,237.0,55.067,1.033,1.85,1,1,1,1,1
2018-12-21T20,150.5,179.5,43.35,0.8,7.7,1,1,1,1,1
2018-12-21T21,151.0,174.0,50.767,0.925,7.4,1,1,1,1,1
2018-12-21T22,150.333,171.5,48.633,0.6,5.85,1,1,1,1,1
2018-12-21T23,141.0,145.0,50.825,0.667,3.85,1,1,1,1,1
2018-12-22T00,138.0,153.0,51.425,0.85,4.525,1,1,1,1,1
2018-12-22T01,144.5,173.0,57.95,1.225,3.467,1,1,1,1,1
2018-12-22T02,159.0,201.0,70.425,1.1,3.55,1,1,1,1,1
2018-12-22T03,186.5,240.0,105.375,17.225,2.9,1,1,1,1,1
2018-12-22T04,220.5,283.5,66.825,76.0,7.2,1,1,1,1,1
2018-12-22T05,240.5,299.5,43.55,116.175,12.9,1,1,1,1,1
2018-12-22T06,208.0,263.0,46.625,131.3,16.433,1,1,1,1,1
2018-12-22T07,179.0,242.0,52.767,150.025,19.567,1,1,1,1,1
2018-12-22T08,178.5,251.0,47.375,169.6,16.567,1,1,1,1,1
2018-12-22T09,174.0,242.0,74.275,164.175,13.475,1,1,1,1,1
2018-12-22T10,162.5,224.5,47.55,120.733,10.875,1,1,1,1,1
2018-12-22T11,150.333,211.0,66.2,64.35,4.3,1,1,1,1,1
2018-12-22T12,150.5,218.0,65.25,30.575,2.45,1,1,1,1,1
2018-12-22T13,181.5,257.0,68.65,39.425,3.467,1,1,1,1,1
2018-12-22T14,242.0,323.0,83.05,8.775,6.2,1,1,1,1,1
2018-12-22T15,251.5,336.5,87.925,3.25,4.5,1,1,1,1,1
2018-12-22T16,257.5,361.0,107.825,1.575,3.8,1,1,1,1,1
2018-12-22T17,293.0,410.5,75.0,1.9,3.7,1,1,1,1,1
2018-12-22T18,305.25,411.0,99.575,1.925,4.6,2,2,2,2,2
2018-12-22T19,344.5,473.5,123.367,2.067,6.75,1,1,1,1,1
2018-12-22T20,358.0,506.0,113.95,1.3,8.85,1,1,1,1,1
2018-12-22T21,339.0,474.0,92.875,1.95,7.225,1,1,1,1,1
2018-12-22T22,311.5,413.0,66.5,2.95,6.075,1,1,1,1,1
2018-12-22T23,283.5,358.0,53.5,2.725,4.425,1,1,1,1,1
2018-12-23T00,276.5,347.5,102.6,2.85,4.375,1,1,1,1,1
2018-12-23T01,305.5,410.0,129.925,2.325,5.467,1,1,1,1,1
2018-12-23T02,347.667,473.333,131.467,3.9,5.8,1,1,1,1,1
2018-12-23T03,334.5,453.0,163.725,18.675,5.65,1,1,1,1,1
2018-12-23T04,322.333,437.667,98.367,61.933,7.733,1,1,1,1,1
2018-12-23T05,296.0,410.5,57.1,116.0,10.125,1,1,1,1,1
2018-12-23T06,247.667,354.0,48.7,143.15,11.325,1,1,1,1,1
2018-12-23T07,214.5,318.0,39.075,144.925,9.567,1,1,1,1,1
2018-12-23T08,189.0,289.0,36.475,155.367,9.075,1,1,1,1,1
2018-12-23T09,183.5,271.0,39.525,147.4,8.6,1,1,1,1,1
2018-12-23T10,190.5,270.5,48.675,109.9,7.225,1,1,1,1,1
2018-12-23T11,199.0,286.5,50.125,111.467,7.075,1,1,1,1,1
2018-12-23T12,216.5,307.5,102.0,40.275,5.775,1,1,1,1,1
2018-12-23T13,281.0,382.5,94.575,10.65,5.4,1,1,1,1,1
