hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2020-03-11T08,47.94,129.083,2.695,58.97,6.828,1,1,1,1,1
2020-03-11T09,44.055,126.138,4.8,57.975,6.87,1,1,1,1,1
2020-03-11T10,45.42,119.437,4.83,57.033,6.723,1,1,1,1,1
2020-03-11T11,47.235,121.523,1.103,48.407,6.73,1,1,1,1,1
2020-03-11T12,57.14,125.345,2.845,38.665,7.045,1,1,1,1,1
2020-03-11T13,71.137,129.287,4.053,37.32,7.27,1,1,1,1,1
2020-03-11T14,72.74,133.27,6.24,40.918,6.115,1,1,1,1,1
2020-03-11T15,44.51,134.437,3.347,40.057,7.283,1,1,1,1,1
2020-03-11T16,46.887,136.24,3.5,39.203,7.08,1,1,1,1,1
2020-03-11T17,62.49,135.86,4.49,35.99,7.18,1,1,1,1,1
2020-03-11T18,83.36,136.297,7.713,33.473,7.633,1,1,1,1,1
2020-03-11T19,79.635,140.98,7.17,25.55,7.872,1,1,1,1,1
2020-03-11T20,61.778,141.947,2.8,24.573,7.978,1,1,1,1,1
2020-03-11T21,43.543,147.012,3.89,21.423,8.143,1,1,1,1,1
2020-03-11T22,40.593,175.038,6.665,15.1,6.428,1,1,1,1,1
2020-03-11T23,47.83,204.515,9.675,5.85,8.15,1,1,1,1,1
2020-03-12T00,49.165,213.975,10.61,7.215,8.055,1,1,1,1,1
2020-03-12T01,57.09,244.33,4.8,5.225,8.01,1,1,1,1,1
2020-03-12T02,75.023,266.397,6.95,13.88,6.247,1,1,1,1,1
2020-03-12T03,110.757,277.42,8.835,20.075,8.373,1,1,1,1,1
2020-03-12T04,131.22,274.51,7.537,122.79,6.3,1,1,1,1,1
2020-03-12T05,131.22,0.0,3.835,80.37,3.82,1,1,1,1,1
2020-03-12T06,29.32,288.96,0.86,47.09,103.03,1,1,1,1,1
2020-03-12T07,35.403,229.83,17.177,48.97,4.333,1,1,1,1,1
2020-03-12T08,43.41,195.26,30.767,48.593,4.78,1,1,1,1,1
2020-03-12T09,41.02,187.803,7.727,47.47,4.29,1,1,1,1,1
2020-03-12T10,36.55,172.1,-0.555,48.895,2.54,1,1,1,1,1
2020-03-12T11,31.7,164.577,8.65,42.81,2.413,1,1,1,1,1
2020-03-12T12,25.855,175.1,16.968,19.135,2.66,1,1,1,1,1
2020-03-12T13,50.673,186.92,26.987,6.76,4.483,1,1,1,1,1
2020-03-12T14,61.287,207.75,24.25,4.1,5.145,1,1,1,1,1
2020-03-12T15,57.7,216.493,18.993,3.473,5.707,1,1,1,1,1
2020-03-12T16,77.74,230.213,18.72,3.213,6.293,1,1,1,1,1
2020-03-12T17,91.367,262.317,20.413,2.973,6.687,1,1,1,1,1
2020-03-12T18,94.58,262.25,23.498,5.093,2.46,2,2,2,2,2
2020-03-12T19,89.803,253.023,21.69,5.957,7.287,1,1,1,1,1
2020-03-12T20,89.082,231.215,18.387,3.82,7.39,1,1,1,1,1
2020-03-12T21,107.463,240.98,20.19,3.263,7.573,1,1,1,1,1
2020-03-12T22,127.728,253.857,20.76,4.203,4.5,1,1,1,1,1
2020-03-12T23,136.348,281.5,20.253,2.8,5.713,1,1,1,1,1
2020-03-13T00,133.983,270.71,16.712,3.125,7.32,1,1,1,1,1
2020-03-13T01,121.845,283.118,1.038,4.338,7.425,1,1,1,1,1
2020-03-13T02,94.37,250.933,0.0,12.24,2.45,1,1,1,1,1
2020-03-13T03,93.9,244.965,0.0,27.34,7.465,1,1,1,1,1
2020-03-13T04,82.64,232.657,3.257,37.845,7.22,1,1,1,1,1
2020-03-13T05,70.15,212.645,0.0,48.805,6.4,1,1,1,1,1
2020-03-13T06,60.767,208.407,0.0,55.123,4.127,1,1,1,1,1
2020-03-13T07,55.46,185.673,0.0,58.973,4.268,1,1,1,1,1
2020-03-13T08,50.96,190.14,0.0,57.66,2.265,1,1,1,1,1
2020-03-13T09,46.037,196.267,0.0,49.15,2.04,1,1,1,1,1
2020-03-13T10,44.085,185.13,0.0,44.802,2.882,1,1,1,1,1
2020-03-13T11,44.212,182.303,0.0,45.82,4.305,1,1,1,1,1
2020-03-13T12,43.96,201.38,0.0,27.78,4.93,1,1,1,1,1
2020-03-13T13,47.44,190.55,0.0,20.14,5.3,1,1,1,1,1
2020-03-13T14,47.9,182.673,0.0,24.983,4.417,1,1,1,1,1
2020-03-13T15,55.852,142.21,0.0,25.84,6.5,1,1,1,1,1
2020-03-13T16,63.73,116.02,0.0,24.55,2.493,1,1,1,1,1
2020-03-13T17,61.857,103.753,0.0,19.887,0.513,1,1,1,1,1
2020-03-13T18,59.653,105.66,0.0,15.293,4.492,2,2,2,2,2
2020-03-13T19,66.05,88.737,0.0,17.295,7.07,1,1,1,1,1
2020-03-13T20,54.215,78.483,0.0,15.03,4.067,1,1,1,1,1
2020-03-13T21,57.957,80.863,0.0,14.69,4.867,1,1,1,1,1
2020-03-13T22,62.363,75.63,0.0,13.643,7.397,1,1,1,1,1
2020-03-13T23,54.68,68.013,0.0,11.275,7.345,1,1,1,1,1
2020-03-14T00,54.345,73.29,0.0,6.08,7.265,1,1,1,1,1
2020-03-14T01,61.873,75.495,0.0,5.905,1.887,1,1,1,1,1
2020-03-14T02,60.245,81.62,0.0,11.41,0.47,1,1,1,1,1
2020-03-14T03,39.635,80.22,0.0,16.335,1.805,1,1,1,1,1
2020-03-14T04,28.378,90.308,0.0,25.185,5.825,1,1,1,1,1
2020-03-14T05,19.187,79.287,0.163,32.65,2.107,1,1,1,1,1
2020-03-14T06,19.587,107.14,3.978,35.215,2.385,1,1,1,1,1
2020-03-14T07,29.717,132.69,3.793,41.12,3.907,1,1,1,1,1
2020-03-14T08,43.513,142.95,4.453,39.363,4.617,1,1,1,1,1
2020-03-14T09,42.345,159.933,5.373,35.375,4.45,1,1,1,1,1
2020-03-14T10,41.95,192.21,4.96,35.813,2.137,1,1,1,1,1
2020-03-14T11,44.005,166.288,4.925,27.388,2.865,1,1,1,1,1
2020-03-14T12,51.327,152.95,5.357,14.443,3.96,1,1,1,1,1
2020-03-14T13,57.637,163.963,6.36,8.833,1.417,1,1,1,1,1
2020-03-14T14,39.757,133.203,4.46,3.407,1.957,1,1,1,1,1
2020-03-14T15,68.3,232.54,6.217,0.783,5.663,1,1,1,1,1
2020-03-14T16,74.1,270.862,6.668,0.997,6.01,1,1,1,1,1
2020-03-14T17,75.24,236.7,8.48,4.71,6.31,1,1,1,1,1
2020-03-14T18,78.879,215.44,6.62,8.25,2.884,2,2,2,2,2
2020-03-14T19,74.237,184.007,4.467,9.077,4.023,1,1,1,1,1
2020-03-14T20,48.927,128.145,3.657,2.953,1.763,1,1,1,1,1
2020-03-14T21,64.135,159.218,5.538,0.08,4.638,1,1,1,1,1
2020-03-14T22,61.37,168.85,6.167,0.152,-25.487,1,1,1,1,1
2020-03-14T23,55.828,141.298,5.605,0.377,3.355,1,1,1,1,1
2020-03-15T00,61.07,152.5,3.96,0.43,5.87,1,1,1,1,1
2020-03-15T01,66.697,166.26,4.97,1.047,4.047,1,1,1,1,1
2020-03-15T02,74.007,193.837,6.057,5.177,4.76,1,1,1,1,1
2020-03-15T03,76.52,199.67,7.04,18.78,6.5,1,1,1,1,1
2020-03-15T04,58.75,179.623,6.22,37.827,4.68,1,1,1,1,1
2020-03-15T05,52.03,153.79,4.643,47.992,6.287,1,1,1,1,1
2020-03-15T06,56.185,165.32,4.705,51.12,4.32,1,1,1,1,1
2020-03-15T07,54.995,139.925,4.518,52.29,4.695,1,1,1,1,1
2020-03-15T08,43.27,127.957,4.55,53.92,6.03,1,1,1,1,1
2020-03-15T09,37.767,138.947,4.42,54.703,6.04,1,1,1,1,1
2020-03-15T10,33.383,132.54,3.46,54.973,4.588,1,1,1,1,1
2020-03-15T11,33.823,138.9,3.94,48.567,6.527,1,1,1,1,1
2020-03-15T12,32.29,141.78,4.22,29.95,6.57,1,1,1,1,1
2020-03-15T13,38.457,184.5,5.383,15.583,6.727,1,1,1,1,1
2020-03-15T14,46.65,214.17,6.093,21.6,4.193,1,1,1,1,1
2020-03-15T15,53.113,270.347,6.7,6.863,6.517,1,1,1,1,1
2020-03-15T16,57.933,248.443,7.297,6.327,6.89,1,1,1,1,1
