hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2020-03-11T07,52.31,84.01,21.31,108.58,15.11,1,1,1,1,1
2020-03-11T08,50.347,90.98,21.97,99.553,15.245,1,1,1,1,1
2020-03-11T09,52.277,101.112,21.665,100.343,13.885,1,1,1,1,1
2020-03-11T10,55.167,107.36,18.19,103.473,13.093,1,1,1,1,1
2020-03-11T11,49.715,116.157,18.54,108.465,13.357,1,1,1,1,1
2020-03-11T12,55.87,122.387,21.933,88.477,13.57,1,1,1,1,1
2020-03-11T13,52.37,150.578,24.767,78.99,15.262,1,1,1,1,1
2020-03-11T14,50.855,158.613,23.992,78.605,15.85,1,1,1,1,1
2020-03-11T15,55.582,154.683,21.18,68.317,17.323,1,1,1,1,1
2020-03-11T16,61.283,198.76,19.492,59.29,19.05,1,1,1,1,1
2020-03-11T17,59.4,122.64,18.8,57.62,20.04,1,1,1,1,1
2020-03-11T18,61.737,150.22,20.007,41.897,18.813,1,1,1,1,1
2020-03-11T19,67.368,82.547,20.462,61.312,19.043,1,1,1,1,1
2020-03-11T20,59.767,37.197,20.475,56.752,19.522,1,1,1,1,1
2020-03-11T21,63.087,16.94,19.852,52.718,19.962,1,1,1,1,1
2020-03-11T22,59.965,200.84,18.817,36.46,20.332,1,1,1,1,1
2020-03-11T23,60.54,268.125,19.215,16.195,20.23,1,1,1,1,1
2020-03-12T00,58.74,389.875,19.655,3.045,20.09,1,1,1,1,1
2020-03-12T01,64.645,196.095,21.905,12.065,20.44,1,1,1,1,1
2020-03-12T02,75.193,86.153,24.42,27.333,21.013,1,1,1,1,1
2020-03-12T03,76.503,102.88,25.773,50.44,21.293,1,1,1,1,1
2020-03-12T04,79.26,6.17,25.725,80.185,20.95,1,1,1,1,1
2020-03-12T06,63.83,113.29,24.68,97.3,20.85,1,1,1,1,1
2020-03-12T07,57.457,67.153,24.4,90.067,20.152,1,1,1,1,1
2020-03-12T08,44.05,72.15,6.66,0.0,94.06,1,1,1,1,1
2020-03-12T09,48.438,106.812,27.233,73.777,2.587,1,1,1,1,1
2020-03-12T10,66.615,7.495,22.075,81.2,2.28,1,1,1,1,1
2020-03-12T11,51.462,34.153,23.238,75.66,4.268,1,1,1,1,1
2020-03-12T12,46.575,104.198,23.45,60.572,6.575,1,1,1,1,1
2020-03-12T13,48.785,142.377,23.273,34.933,9.325,1,1,1,1,1
2020-03-12T14,47.787,193.45,26.49,11.84,11.29,1,1,1,1,1
2020-03-12T15,58.9,206.077,28.928,17.273,12.282,1,1,1,1,1
2020-03-12T16,65.613,216.527,29.043,17.633,13.263,1,1,1,1,1
2020-03-12T17,58.7,234.765,26.57,30.655,14.85,1,1,1,1,1
2020-03-12T18,62.86,226.435,22.12,47.435,14.122,2,2,2,2,2
2020-03-12T19,67.5,171.185,20.93,23.205,20.24,1,1,1,1,1
2020-03-12T20,69.458,171.118,21.617,12.427,20.06,1,1,1,1,1
2020-03-12T21,78.08,227.883,21.71,3.977,20.06,1,1,1,1,1
2020-03-12T22,87.623,222.668,20.995,3.318,20.54,1,1,1,1,1
2020-03-12T23,88.265,162.245,21.37,7.277,20.95,1,1,1,1,1
2020-03-13T00,77.415,95.502,22.762,19.532,20.803,1,1,1,1,1
2020-03-13T01,73.625,75.995,22.84,32.15,20.075,1,1,1,1,1
2020-03-13T02,72.13,103.963,23.047,33.813,19.763,1,1,1,1,1
2020-03-13T03,69.51,119.73,29.13,47.335,11.465,1,1,1,1,1
2020-03-13T04,69.203,130.433,28.613,63.35,2.337,1,1,1,1,1
2020-03-13T05,64.06,157.94,24.87,75.975,5.37,1,1,1,1,1
2020-03-13T06,56.477,171.537,27.983,99.017,8.997,1,1,1,1,1
2020-03-13T07,61.497,201.778,26.727,103.953,12.217,1,1,1,1,1
2020-03-13T08,61.52,219.785,23.18,108.54,13.4,1,1,1,1,1
2020-03-13T09,55.653,224.107,21.92,106.03,12.733,1,1,1,1,1
2020-03-13T10,54.51,255.94,19.91,91.445,15.035,1,1,1,1,1
2020-03-13T11,60.16,264.52,20.742,88.647,16.492,1,1,1,1,1
2020-03-13T12,64.28,262.37,21.3,70.63,17.1,1,1,1,1,1
2020-03-13T13,67.055,263.93,23.29,20.24,17.675,1,1,1,1,1
2020-03-13T14,73.962,264.845,24.768,37.138,18.033,1,1,1,1,1
2020-03-13T15,65.8,241.238,23.448,46.14,18.64,1,1,1,1,1
2020-03-13T16,62.067,193.692,23.09,34.367,18.89,1,1,1,1,1
2020-03-13T17,55.38,174.03,23.763,32.87,19.08,1,1,1,1,1
2020-03-13T18,43.64,159.798,22.44,33.683,14.095,2,2,2,2,2
2020-03-13T19,42.233,124.27,22.47,40.163,19.453,1,1,1,1,1
2020-03-13T20,39.05,109.18,20.932,35.61,19.82,1,1,1,1,1
2020-03-13T21,35.072,104.222,19.52,29.297,19.925,1,1,1,1,1
2020-03-13T22,34.757,98.647,19.007,28.21,20.143,1,1,1,1,1
2020-03-13T23,32.06,87.065,17.86,32.218,20.512,1,1,1,1,1
2020-03-14T00,33.99,75.87,17.62,28.545,20.87,1,1,1,1,1
2020-03-14T01,31.492,69.062,17.928,25.94,21.153,1,1,1,1,1
2020-03-14T02,36.39,65.175,18.67,19.705,21.285,1,1,1,1,1
2020-03-14T03,68.51,86.505,22.252,27.863,21.11,1,1,1,1,1
2020-03-14T04,90.52,122.05,21.808,50.262,20.902,1,1,1,1,1
2020-03-14T05,67.29,105.02,20.465,63.01,21.745,1,1,1,1,1
2020-03-14T06,23.43,104.85,21.327,73.43,7.89,1,1,1,1,1
2020-03-14T07,0.0,69.9,24.563,69.123,102.95,1,1,1,1,1
2020-03-14T08,0.0,56.987,19.167,88.957,14.87,1,1,1,1,1
2020-03-14T09,40.863,175.763,0.74,107.867,12.657,1,1,1,1,1
2020-03-14T10,58.71,179.87,10.37,153.63,12.41,1,1,1,1,1
2020-03-14T11,53.333,171.93,22.54,96.82,12.382,1,1,1,1,1
2020-03-14T12,50.59,165.533,18.97,81.157,14.097,1,1,1,1,1
2020-03-14T13,50.59,166.793,20.07,52.177,15.2,1,1,1,1,1
2020-03-14T14,50.59,171.223,23.303,43.64,16.187,1,1,1,1,1
2020-03-14T15,50.59,175.06,23.517,22.353,17.78,1,1,1,1,1
2020-03-14T16,50.59,180.203,23.91,5.283,18.837,1,1,1,1,1
2020-03-14T17,50.59,191.89,24.79,3.42,19.44,1,1,1,1,1
2020-03-14T18,50.59,185.248,26.764,3.123,13.912,2,2,2,2,2
2020-03-14T19,50.59,158.025,25.72,25.375,19.27,1,1,1,1,1
2020-03-14T20,50.59,143.295,24.228,16.87,19.953,1,1,1,1,1
2020-03-14T21,50.59,137.118,22.068,6.485,20.643,1,1,1,1,1
2020-03-14T22,50.59,137.583,21.583,3.152,20.857,1,1,1,1,1
2020-03-14T23,50.59,146.335,21.36,4.535,20.72,1,1,1,1,1
