hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T21,19.0,51.0,34.6,6.9,10.6,1,1,1,1,1
2018-08-11T04,25.0,113.0,,14.15,,1,1,0,1,0
2018-08-11T05,25.0,124.0,3.6,20.0,10.6,1,1,1,1,1
2018-08-11T07,30.0,110.0,2.0,36.1,9.7,1,1,1,1,1
2018-08-11T10,39.0,136.0,3.2,39.7,,1,1,1,1,0
2018-08-11T11,39.0,136.0,2.9,36.6,10.9,1,1,1,1,1
2018-08-11T12,27.0,138.0,,30.5,8.2,1,1,0,1,1
2018-08-13T05,,,6.0,25.7,12.4,0,0,1,1,1
2018-08-13T06,20.0,89.0,0.3,27.9,14.45,1,1,1,1,1
2018-08-13T07,23.0,92.667,0.9,32.5,15.3,1,1,1,1,1
2018-08-13T08,29.0,100.0,3.05,31.75,16.8,1,1,1,1,1
2018-08-13T09,31.0,100.5,2.35,32.1,18.05,1,1,1,1,1
2018-08-13T11,41.0,95.0,8.5,35.4,13.6,1,1,1,1,1
2018-08-13T12,42.5,97.0,12.2,30.35,13.85,1,1,1,1,1
2018-08-13T13,44.0,106.5,27.35,17.4,13.25,1,1,1,1,1
2018-08-13T14,51.0,116.5,26.05,15.3,13.1,1,1,1,1,1
2018-08-13T15,72.0,143.0,32.25,9.0,14.6,1,1,1,1,1
2018-08-13T20,36.0,75.0,28.7,9.2,11.9,1,1,1,1,1
2018-08-13T21,41.0,89.0,37.7,6.1,13.2,1,1,1,1,1
2018-08-13T22,42.0,90.0,27.3,7.9,,1,1,1,1,0
2018-08-13T23,48.0,108.0,34.9,6.1,12.6,1,1,1,1,1
2018-08-14T00,68.0,134.0,36.8,5.9,12.6,1,1,1,1,1
2018-08-14T01,82.5,164.5,33.6,6.95,14.75,1,1,1,1,1
2018-08-14T02,72.0,161.0,22.8,11.6,18.3,1,1,1,1,1
2018-08-14T03,72.0,161.0,19.0,12.7,18.0,1,1,1,1,1
2018-08-14T04,55.0,121.0,12.8,15.0,15.8,1,1,1,1,1
2018-08-14T05,63.0,123.0,7.9,33.9,14.8,1,1,1,1,1
2018-08-14T06,63.0,123.0,8.7,45.1,13.9,1,1,1,1,1
2018-08-14T07,58.667,121.667,2.067,40.233,16.7,1,1,1,1,1
2018-08-14T08,41.0,105.0,1.9,40.2,14.25,1,1,1,1,1
2018-08-14T23,50.0,103.0,27.2,5.3,9.6,1,1,1,1,1
2018-08-15T00,50.0,114.0,22.9,5.85,9.9,1,1,1,1,1
2018-08-15T01,48.0,169.0,14.3,9.9,10.1,1,1,1,1,1
2018-08-15T04,34.0,129.5,0.1,27.65,10.1,1,1,1,1,1
2018-08-15T05,23.5,77.0,0.4,34.95,11.65,1,1,1,1,1
2018-08-15T13,38.0,123.0,29.2,23.4,11.4,1,1,1,1,1
2018-08-15T14,38.0,123.0,24.4,24.2,10.9,1,1,1,1,1
2018-08-16T00,66.0,140.0,20.3,32.6,14.1,1,1,1,1,1
2018-08-16T01,84.0,130.0,17.6,11.7,14.7,1,1,1,1,1
2018-08-16T02,67.5,106.5,10.75,13.5,15.55,1,1,1,1,1
2018-08-16T03,52.0,88.0,8.2,21.8,15.8,1,1,1,1,1
2018-08-16T04,68.0,101.0,15.7,73.2,,1,1,1,1,0
2018-08-16T05,55.0,117.0,13.0,74.8,16.6,1,1,1,1,1
2018-08-16T06,55.0,114.0,14.4,98.3,17.0,1,1,1,1,1
2018-08-16T07,61.0,118.0,9.5,83.2,19.2,1,1,1,1,1
2018-08-16T08,41.0,86.0,7.2,32.2,16.3,1,1,1,1,1
2018-08-16T09,20.0,48.0,4.8,34.9,14.4,1,1,1,1,1
2018-08-16T10,20.0,48.0,7.5,30.0,13.2,1,1,1,1,1
2018-08-16T11,24.0,31.0,57.1,13.1,13.6,1,1,1,1,1
2018-08-16T12,40.0,85.0,60.0,11.5,14.4,1,1,1,1,1
2018-08-16T14,69.333,198.0,58.367,14.3,15.633,1,1,1,1,1
2018-08-16T19,31.0,51.0,16.2,8.7,13.1,1,1,1,1,1
2018-08-16T20,38.0,70.0,28.9,5.1,14.0,1,1,1,1,1
2018-08-16T23,65.0,97.5,27.95,34.6,12.15,1,1,1,1,1
2018-08-17T00,43.0,69.333,30.333,11.0,12.267,1,1,1,1,1
2018-08-17T01,32.0,66.0,24.75,6.0,12.4,1,1,1,1,1
2018-08-17T02,27.0,39.0,10.2,7.6,13.8,1,1,1,1,1
2018-08-17T06,25.0,57.0,11.0,35.1,13.7,1,1,1,1,1
2018-08-17T10,16.0,55.0,2.7,13.5,11.4,1,1,1,1,1
2018-08-17T11,22.0,56.0,5.4,17.4,14.3,1,1,1,1,1
2018-08-17T14,31.0,58.0,11.3,10.7,13.3,1,1,1,1,1
2018-08-17T16,31.0,69.0,10.0,5.9,,1,1,1,1,0
2018-08-17T17,33.5,88.5,14.9,5.5,11.3,1,1,1,1,1
2018-08-17T19,63.0,108.0,23.6,8.5,11.2,1,1,1,1,1
2018-08-17T20,99.0,153.0,20.8,12.7,12.2,1,1,1,1,1
2018-08-17T21,58.0,112.0,15.0,7.3,13.1,1,1,1,1,1
2018-08-17T22,70.0,133.0,17.3,41.0,,1,1,1,1,0
2018-08-18T00,56.0,95.0,20.2,11.7,14.3,1,1,1,1,1
2018-08-18T01,43.0,86.5,20.65,7.6,13.45,1,1,1,1,1
2018-08-18T02,44.0,87.5,12.5,7.35,12.3,1,1,1,1,1
2018-08-18T03,30.0,77.0,13.0,12.0,12.1,1,1,1,1,1
2018-08-18T04,34.0,66.0,13.1,18.8,,1,1,1,1,0
2018-08-18T05,34.0,66.0,13.4,23.7,10.7,1,1,1,1,1
2018-08-18T10,28.0,59.0,9.0,20.8,,1,1,1,1,0
2018-08-18T11,23.0,46.0,24.45,16.15,12.3,1,1,1,1,1
2018-08-18T12,23.0,51.5,45.15,11.85,11.5,1,1,1,1,1
2018-08-18T13,27.0,62.0,42.3,9.2,10.7,1,1,1,1,1
2018-08-18T15,61.0,107.0,18.6,11.1,10.6,1,1,1,1,1
2018-08-18T17,28.0,55.0,34.75,4.95,12.0,1,1,1,1,1
2018-08-18T22,44.0,84.0,19.7,5.8,15.7,1,1,1,1,1
2018-08-18T23,69.0,79.0,23.1,26.7,11.4,1,1,1,1,1
2018-08-19T03,51.0,79.0,29.2,17.8,17.5,1,1,1,1,1
2018-08-19T04,90.0,143.0,27.8,34.8,,1,1,1,1,0
2018-08-19T06,73.0,121.0,15.9,24.7,16.3,1,1,1,1,1
2018-08-19T07,72.0,128.0,14.6,22.5,13.7,1,1,1,1,1
2018-08-20T06,66.0,107.0,7.3,43.3,12.4,1,1,1,1,1
2018-08-20T07,60.5,106.0,6.9,44.7,13.55,1,1,1,1,1
2018-08-20T10,56.0,95.0,5.7,49.1,,1,1,1,1,0
2018-08-20T12,60.5,123.5,23.3,39.3,13.9,1,1,1,1,1
2018-08-20T13,49.5,107.5,21.75,11.1,14.85,1,1,1,1,1
2018-08-20T14,36.0,80.0,41.0,6.6,13.0,1,1,1,1,1
2018-08-20T16,40.5,97.0,43.45,4.8,18.6,1,1,1,1,1
2018-08-20T17,51.0,108.0,28.7,11.5,16.5,1,1,1,1,1
2018-08-20T18,64.5,128.5,29.9,10.3,15.6,2,2,2,2,2
2018-08-20T19,53.5,99.5,23.6,7.2,14.85,1,1,1,1,1
2018-08-20T20,28.0,54.0,29.7,5.2,13.4,1,1,1,1,1
2018-08-20T21,30.5,61.0,26.8,5.3,13.5,1,1,1,1,1
2018-08-20T22,33.5,61.0,25.85,5.5,12.8,1,1,1,1,1
2018-08-20T23,44.0,63.0,28.5,5.2,12.2,1,1,1,1,1
2018-08-21T00,39.0,78.0,24.9,5.3,12.4,1,1,1,1,1
2018-08-21T01,59.0,99.0,30.3,6.1,17.5,1,1,1,1,1
2018-08-21T02,45.0,100.0,28.8,8.1,38.6,1,1,1,1,1
2018-08-21T03,45.0,100.0,26.5,11.0,34.6,1,1,1,1,1
2018-08-21T05,44.5,88.0,16.1,46.55,23.2,1,1,1,1,1
2018-08-21T06,45.5,92.5,16.7,58.4,17.1,1,1,1,1,1
2018-08-21T07,41.0,90.0,23.1,50.6,17.0,1,1,1,1,1
2018-08-21T12,23.0,71.0,23.6,22.85,14.7,1,1,1,1,1
2018-08-21T13,57.0,129.0,51.1,9.6,15.6,1,1,1,1,1
2018-08-22T15,72.0,117.0,43.35,6.05,12.2,1,1,1,1,1
2018-08-22T20,39.0,73.0,17.8,5.7,15.4,1,1,1,1,1
2018-08-23T05,19.0,34.0,8.7,7.7,10.9,1,1,1,1,1
2018-08-23T10,19.0,68.0,6.2,18.7,,1,1,1,1,0
2018-08-23T11,24.0,81.0,6.0,18.35,8.55,1,1,1,1,1
2018-08-23T12,20.0,86.0,13.5,10.8,9.1,1,1,1,1,1
2018-08-23T14,52.0,145.0,33.6,5.9,9.85,1,1,1,1,1
2018-08-23T15,38.0,141.0,22.3,6.3,8.0,1,1,1,1,1
2018-08-23T17,28.0,67.0,19.5,7.2,10.3,1,1,1,1,1
2018-08-23T18,30.0,62.0,11.8,7.0,,1,1,1,1,0
2018-08-23T19,25.0,74.0,7.6,9.8,10.9,1,1,1,1,1
2018-08-23T20,25.0,53.0,13.1,6.8,11.1,1,1,1,1,1
2018-08-24T03,17.0,62.0,9.9,10.2,11.1,1,1,1,1,1
2018-08-24T04,17.0,64.0,4.6,16.0,,1,1,1,1,0
2018-08-24T05,22.0,68.0,9.7,20.3,10.4,1,1,1,1,1
2018-08-24T06,27.0,74.0,5.6,22.75,10.35,1,1,1,1,1
2018-08-24T07,18.0,72.0,4.2,26.9,11.4,1,1,1,1,1
2018-08-24T08,13.0,80.0,8.7,28.8,10.4,1,1,1,1,1
2018-08-24T09,16.0,95.0,4.1,28.6,10.1,1,1,1,1,1
2018-08-24T10,17.0,108.0,4.8,26.8,,1,1,1,1,0
2018-08-24T11,12.0,113.0,6.6,25.5,11.7,1,1,1,1,1
