hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2020-03-30T14,24.34,39.6,0.0,27.06,26.87,1,1,1,1,1
2020-03-30T15,32.433,39.1,0.0,19.61,25.17,1,1,1,1,1
2020-03-30T16,32.823,51.207,0.0,19.553,24.293,1,1,1,1,1
2020-03-30T17,39.09,52.69,0.0,49.82,24.49,1,1,1,1,1
2020-03-30T18,39.556,49.605,0.0,49.442,17.291,2,2,2,2,2
2020-03-30T19,33.81,43.638,0.0,46.867,26.66,1,1,1,1,1
2020-03-30T20,33.49,44.55,0.0,40.515,28.235,1,1,1,1,1
2020-03-30T21,30.31,39.337,0.0,43.072,28.895,1,1,1,1,1
2020-03-30T22,41.413,38.37,0.0,40.05,22.953,1,1,1,1,1
2020-03-30T23,37.852,39.14,0.0,37.412,24.44,1,1,1,1,1
2020-03-31T00,38.735,52.758,0.0,34.242,22.367,1,1,1,1,1
2020-03-31T01,38.755,65.195,0.0,45.87,22.3,1,1,1,1,1
2020-03-31T02,46.507,73.598,0.0,64.648,20.98,1,1,1,1,1
2020-03-31T03,55.738,66.593,0.0,75.752,25.01,1,1,1,1,1
2020-03-31T04,48.597,61.37,0.0,75.907,26.797,1,1,1,1,1
2020-03-31T05,34.57,53.442,0.0,83.707,29.212,1,1,1,1,1
2020-03-31T06,28.627,46.46,0.0,84.363,26.353,1,1,1,1,1
2020-03-31T07,25.043,34.41,0.0,76.15,27.267,1,1,1,1,1
2020-03-31T08,19.085,28.483,0.0,56.698,17.488,1,1,1,1,1
2020-03-31T09,22.892,43.8,0.0,70.165,22.322,1,1,1,1,1
2020-03-31T10,17.767,40.535,0.0,76.605,19.775,1,1,1,1,1
2020-03-31T11,26.297,45.733,0.0,73.095,24.082,1,1,1,1,1
2020-03-31T12,27.81,36.84,0.0,58.095,24.505,1,1,1,1,1
2020-03-31T13,29.523,50.43,0.0,67.197,27.377,1,1,1,1,1
2020-03-31T14,27.4,46.19,0.0,68.467,20.91,1,1,1,1,1
2020-03-31T15,27.72,60.54,0.0,48.46,24.21,1,1,1,1,1
2020-03-31T16,31.325,64.52,0.0,45.182,22.298,1,1,1,1,1
2020-03-31T17,30.29,57.67,0.0,45.783,20.797,1,1,1,1,1
2020-03-31T18,30.74,50.08,0.0,41.755,16.145,2,2,2,2,2
2020-03-31T19,28.425,47.175,0.0,34.08,23.24,1,1,1,1,1
2020-03-31T20,27.89,46.177,0.0,28.075,23.613,1,1,1,1,1
2020-03-31T21,30.067,39.13,0.0,22.93,25.635,1,1,1,1,1
2020-03-31T22,23.47,40.04,0.0,8.582,21.777,1,1,1,1,1
2020-03-31T23,26.122,43.92,0.0,4.92,24.975,1,1,1,1,1
2020-04-01T00,23.238,33.078,0.0,1.38,24.085,1,1,1,1,1
2020-04-01T01,28.282,44.775,0.0,4.232,22.68,1,1,1,1,1
2020-04-01T02,31.165,55.845,0.0,21.03,20.837,1,1,1,1,1
2020-04-01T03,34.157,66.918,0.0,41.245,24.633,1,1,1,1,1
2020-04-01T04,45.61,66.49,0.0,65.925,23.83,1,1,1,1,1
2020-04-01T05,49.87,70.037,0.0,79.783,26.337,1,1,1,1,1
2020-04-01T06,42.28,69.07,0.0,87.72,20.71,1,1,1,1,1
2020-04-01T07,38.877,72.32,0.0,95.417,27.453,1,1,1,1,1
2020-04-01T08,33.02,62.087,0.0,89.733,27.66,1,1,1,1,1
2020-04-01T09,36.38,60.685,0.0,88.775,23.817,1,1,1,1,1
2020-04-01T10,32.09,52.73,0.0,81.623,18.863,1,1,1,1,1
2020-04-01T11,35.86,60.9,0.0,80.04,23.26,1,1,1,1,1
2020-04-01T12,27.53,59.24,0.0,74.39,22.9,1,1,1,1,1
2020-04-01T13,27.92,50.44,0.0,57.755,25.345,1,1,1,1,1
2020-04-01T14,23.265,44.485,0.0,53.94,22.755,1,1,1,1,1
2020-04-01T15,27.317,45.437,0.0,44.273,26.92,1,1,1,1,1
2020-04-01T16,24.28,46.14,0.0,56.41,27.68,1,1,1,1,1
2020-04-01T17,24.87,46.91,0.0,53.065,26.135,1,1,1,1,1
2020-04-01T18,33.642,36.871,0.0,51.053,17.253,2,2,2,2,2
2020-04-01T19,30.755,31.913,0.0,44.023,25.925,1,1,1,1,1
2020-04-01T20,32.01,36.77,0.0,43.317,25.97,1,1,1,1,1
2020-04-01T21,29.343,44.983,0.0,37.988,26.05,1,1,1,1,1
2020-04-01T22,26.6,54.86,0.0,31.52,13.06,1,1,1,1,1
2020-04-01T23,28.335,61.36,0.0,46.135,27.855,1,1,1,1,1
2020-04-02T00,25.402,61.065,0.0,45.195,27.97,1,1,1,1,1
2020-04-02T01,27.69,52.91,0.0,48.663,27.2,1,1,1,1,1
2020-04-02T02,23.83,57.4,0.0,55.893,20.54,1,1,1,1,1
2020-04-02T03,28.22,64.16,0.0,61.89,25.097,1,1,1,1,1
2020-04-02T04,32.035,61.14,0.0,62.51,23.715,1,1,1,1,1
2020-04-02T05,24.753,54.84,0.0,73.738,23.107,1,1,1,1,1
2020-04-02T06,27.927,49.735,0.0,77.84,20.552,1,1,1,1,1
2020-04-02T07,22.46,51.22,0.0,80.99,26.11,1,1,1,1,1
2020-04-02T08,22.227,42.497,0.0,83.453,27.257,1,1,1,1,1
2020-04-02T09,24.328,44.105,0.0,87.153,26.58,1,1,1,1,1
2020-04-02T10,18.805,39.93,0.0,89.665,15.905,1,1,1,1,1
2020-04-02T11,18.962,35.03,0.0,86.907,21.395,1,1,1,1,1
2020-04-02T12,14.835,37.45,0.0,84.885,21.258,1,1,1,1,1
2020-04-02T13,21.838,37.37,0.0,71.58,21.723,1,1,1,1,1
