hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2015-06-29T14,25.0,74.0,36.1,24.2,4.9,1,1,1,1,1
2015-06-30T06,50.0,112.0,52.9,147.2,5.7,1,1,1,1,1
2015-06-30T12,83.0,116.0,54.5,25.5,5.4,1,1,1,1,1
2015-06-30T13,63.0,114.0,76.0,18.75,5.4,1,1,1,1,1
2015-06-30T14,56.0,106.0,90.5,16.6,6.45,1,1,1,1,1
2015-06-30T15,69.0,90.0,69.6,15.8,4.9,1,1,1,1,1
2015-06-30T16,56.0,116.0,56.65,18.65,6.15,1,1,1,1,1
2015-06-30T17,59.5,114.0,52.2,13.95,6.6,1,1,1,1,1
2015-06-30T18,53.0,108.0,54.25,11.5,6.0,2,2,2,2,1
2015-06-30T19,,78.0,43.25,14.85,6.15,0,1,1,1,1
2015-06-30T20,25.0,74.0,54.95,15.2,5.15,1,1,1,1,1
2015-06-30T21,31.0,72.0,46.65,15.5,5.15,1,1,1,1,1
2015-06-30T22,39.0,68.0,25.5,16.4,5.1,1,1,1,1,1
2015-06-30T23,50.0,50.0,43.65,13.3,6.0,1,1,1,1,1
2015-07-01T00,53.0,77.0,42.3,15.3,6.3,1,1,1,1,1
2015-07-01T01,42.0,89.0,46.1,13.2,5.7,1,1,1,1,1
2015-07-01T02,38.0,78.0,44.3,13.4,7.15,1,1,1,1,1
2015-07-01T03,41.0,67.0,37.75,30.4,7.05,1,1,1,1,1
2015-07-01T04,37.0,134.0,32.6,13.35,6.3,1,1,1,1,1
2015-07-01T05,44.0,108.0,53.65,24.75,8.3,1,1,1,1,1
2015-07-01T06,64.0,157.0,40.45,40.35,4.9,1,1,1,1,1
2015-07-01T07,56.0,207.0,43.6,59.85,4.3,1,1,1,1,1
2015-07-01T08,76.0,184.0,39.0,72.35,3.75,1,1,1,1,1
2015-07-01T09,82.5,195.0,57.0,81.4,4.45,1,1,1,1,1
2015-07-01T10,98.5,248.5,57.5,69.8,4.15,1,1,1,1,1
2015-07-01T11,117.0,210.0,63.1,62.1,3.4,1,1,1,1,1
2015-07-01T12,104.5,185.0,76.8,58.0,6.9,1,1,1,1,1
2015-07-01T13,92.0,215.0,42.7,16.8,6.15,1,1,1,1,1
2015-07-01T14,45.0,213.0,48.6,24.85,5.0,1,1,1,1,1
2015-07-01T15,16.0,96.0,52.4,20.55,5.15,1,1,1,1,1
2015-07-01T16,38.0,117.0,57.35,17.5,4.3,1,1,1,1,1
2015-07-01T17,23.0,119.0,34.85,23.45,3.55,1,1,1,1,1
2015-07-01T18,27.0,74.0,44.8,13.8,7.7,2,2,2,2,1
2015-07-01T19,56.0,79.0,45.25,16.9,8.0,1,1,1,1,1
2015-07-01T20,33.0,59.0,57.6,15.8,7.05,1,1,1,1,1
2015-07-01T21,40.0,79.0,70.9,14.8,8.15,1,1,1,1,1
2015-07-01T22,45.0,90.0,54.95,15.95,7.3,1,1,1,1,1
2015-07-01T23,21.0,62.0,47.05,18.35,7.05,1,1,1,1,1
2015-07-02T00,57.0,97.0,57.35,14.5,7.7,1,1,1,1,1
2015-07-02T01,51.0,107.0,61.55,11.5,7.15,1,1,1,1,1
2015-07-02T02,49.0,139.0,50.85,12.3,6.85,1,1,1,1,1
2015-07-02T03,50.0,191.0,52.5,20.55,6.9,1,1,1,1,1
2015-07-02T04,60.0,140.0,67.7,26.45,7.7,1,1,1,1,1
2015-07-02T05,76.0,200.0,82.7,20.0,10.85,1,1,1,1,1
2015-07-02T06,92.0,145.0,53.65,34.05,7.7,1,1,1,1,1
2015-07-02T07,69.0,101.0,37.15,61.9,5.3,1,1,1,1,1
2015-07-02T08,76.0,167.0,32.05,91.55,3.4,1,1,1,1,1
