hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2015-06-29T14,30.0,46.0,51.2,,12.1,1,1,1,0,1
2015-06-30T03,56.0,161.0,58.5,,11.4,1,1,1,0,1
2015-06-30T04,93.0,445.0,72.8,73.95,12.2,1,1,1,1,1
2015-06-30T05,98.0,351.0,95.6,143.9,14.1,1,1,1,1,1
2015-06-30T06,74.0,95.0,74.6,108.3,14.1,1,1,1,1,1
2015-06-30T11,71.0,183.0,68.8,119.1,5.85,1,1,1,1,1
2015-06-30T12,117.0,345.0,70.55,70.0,9.7,1,1,1,1,1
2015-06-30T13,77.0,81.0,55.15,42.0,12.95,1,1,1,1,1
2015-06-30T14,84.0,94.0,55.6,67.15,13.3,1,1,1,1,1
2015-06-30T15,41.0,,58.8,61.15,15.9,1,0,1,1,1
2015-06-30T16,,,56.95,40.2,17.45,0,0,1,1,1
2015-06-30T17,49.0,122.0,51.95,,15.75,1,1,1,0,1
2015-06-30T18,34.0,90.0,55.5,125.5,15.2,1,1,1,1,1
2015-06-30T19,35.0,85.0,47.55,32.8,11.1,1,1,1,1,1
2015-06-30T20,45.0,143.0,37.85,50.0,10.2,1,1,1,1,1
2015-06-30T21,53.0,134.0,37.8,67.2,10.0,1,1,1,1,1
2015-06-30T22,41.0,89.0,40.05,66.25,11.1,1,1,1,1,1
2015-06-30T23,49.0,59.0,47.05,54.3,12.0,1,1,1,1,1
2015-07-01T00,37.0,101.0,47.25,14.3,13.1,1,1,1,1,1
2015-07-01T01,49.0,124.0,56.05,13.5,14.35,1,1,1,1,1
2015-07-01T02,39.0,183.0,56.25,49.0,13.25,1,1,1,1,1
2015-07-01T03,42.0,208.0,67.8,,11.05,1,1,1,0,1
2015-07-01T04,84.0,478.0,73.4,,15.4,1,1,1,0,1
2015-07-01T05,86.0,471.0,68.45,125.2,19.85,1,1,1,1,1
2015-07-01T06,104.0,367.0,72.0,70.0,,1,1,1,1,0
2015-07-01T07,97.0,,88.45,,113.15,1,0,1,0,1
2015-07-01T08,88.0,315.0,88.75,228.65,51.85,1,1,1,1,1
2015-07-01T09,75.0,282.0,58.9,94.95,35.0,1,1,1,1,1
2015-07-01T10,62.0,168.0,52.9,157.45,18.35,1,1,1,1,1
2015-07-01T11,112.0,356.0,72.2,44.0,10.9,1,1,1,1,1
2015-07-01T12,153.0,326.0,74.95,,9.6,1,1,1,0,1
2015-07-01T13,80.0,133.0,68.65,,7.6,1,1,1,0,1
2015-07-01T14,29.0,83.0,80.2,26.8,12.3,1,1,1,1,1
2015-07-01T15,79.0,183.0,82.1,19.4,14.25,1,1,1,1,1
2015-07-01T16,56.0,324.0,84.65,,15.3,1,1,1,0,1
2015-07-01T17,80.0,494.0,70.8,,13.85,1,1,1,0,1
2015-07-01T18,51.0,312.0,67.95,74.5,11.75,1,1,1,1,1
2015-07-01T19,40.0,212.0,50.4,108.65,8.55,1,1,1,1,1
2015-07-01T20,23.0,138.0,47.8,,8.8,1,1,1,0,1
2015-07-01T21,85.0,241.0,43.85,163.7,9.65,1,1,1,1,1
2015-07-01T22,271.0,426.0,47.9,47.45,11.6,1,1,1,1,1
2015-07-01T23,230.0,254.0,49.2,,15.2,1,1,1,0,1
2015-07-02T00,104.0,355.0,62.05,38.35,14.9,1,1,1,1,1
2015-07-02T01,94.0,360.0,68.5,19.25,12.95,1,1,1,1,1
2015-07-02T02,95.0,327.0,66.0,84.65,9.05,1,1,1,1,1
2015-07-02T03,76.0,333.0,88.2,,6.6,1,1,1,0,1
2015-07-02T04,51.0,589.0,,,,1,1,0,0,0
2015-07-02T05,103.0,298.0,130.8,,16.2,1,1,1,0,1
2015-07-02T06,107.0,372.0,111.35,155.85,15.15,1,1,1,1,1
2015-07-02T07,86.0,,94.35,81.1,16.55,1,0,1,1,1
2015-07-02T08,89.0,311.0,84.2,64.1,13.2,1,1,1,1,1
2015-07-02T09,87.0,310.0,133.2,55.55,11.1,1,1,1,1,1
2015-07-02T10,86.0,348.0,141.3,58.4,10.0,1,1,1,1,1
2015-07-03T04,143.0,567.0,,,,1,1,0,0,0
2015-07-03T05,,95.0,157.5,,14.9,0,1,1,0,1
2015-07-03T06,106.0,576.0,101.3,51.4,12.6,1,1,1,1,1
2015-07-03T07,,,106.3,38.4,14.3,0,0,1,1,1
2015-07-03T08,71.0,382.0,103.75,35.9,12.05,1,1,1,1,1
2015-07-03T09,64.0,392.0,96.45,31.75,9.85,1,1,1,1,1
2015-07-03T10,66.0,418.0,91.5,40.5,7.0,1,1,1,1,1
2015-07-03T11,60.0,353.0,92.1,21.95,,1,1,1,1,0
2015-07-03T12,62.0,523.0,80.1,168.7,9.4,1,1,1,1,1
2015-07-03T13,122.0,815.0,69.25,66.85,10.55,1,1,1,1,1
2015-07-03T14,76.0,683.0,72.4,114.55,11.7,1,1,1,1,1
2015-07-03T15,94.0,802.0,80.8,38.1,14.55,1,1,1,1,1
2015-07-03T16,43.0,323.0,73.45,43.8,15.45,1,1,1,1,1
2015-07-03T17,50.0,332.0,76.7,19.8,15.6,1,1,1,1,1
2015-07-03T18,48.0,262.0,66.9,112.25,10.35,1,1,1,1,1
2015-07-03T19,17.0,138.0,50.35,98.65,4.45,1,1,1,1,1
2015-07-03T20,19.0,103.0,44.4,128.2,5.3,1,1,1,1,1
2015-07-03T21,23.0,105.0,44.6,37.0,4.45,1,1,1,1,1
2015-07-03T22,35.0,86.0,54.75,58.55,6.5,1,1,1,1,1
2015-07-03T23,33.0,127.0,61.8,63.6,10.8,1,1,1,1,1
2015-07-04T00,48.0,255.0,52.0,18.4,13.3,1,1,1,1,1
2015-07-04T01,55.0,291.0,66.3,24.1,17.7,1,1,1,1,1
2015-07-04T02,72.0,305.0,45.65,62.2,13.25,1,1,1,1,1
2015-07-04T03,112.0,608.0,71.3,,15.4,1,1,1,0,1
2015-07-04T04,167.0,889.0,60.6,16.15,16.1,1,1,1,1,1
2015-07-04T05,205.0,748.0,84.8,106.2,14.8,1,1,1,1,1
2015-07-04T06,150.0,356.0,80.05,85.2,8.6,1,1,1,1,1
2015-07-04T07,126.0,915.0,91.4,25.6,10.0,1,1,1,1,1
2015-07-06T05,20.0,62.0,45.25,41.75,14.6,1,1,1,1,1
2015-07-06T06,11.0,22.0,36.95,,,1,1,1,0,0
2015-07-06T07,10.0,42.0,42.65,,1.6,1,1,1,0,1
2015-07-06T08,7.0,56.0,41.45,21.2,3.75,1,1,1,1,1
2015-07-06T09,29.0,143.0,43.45,11.4,2.7,1,1,1,1,1
2015-07-06T10,,,35.65,62.05,1.95,0,0,1,1,1
2015-07-06T11,6.0,24.0,43.2,95.15,2.9,1,1,1,1,1
2015-07-06T12,38.0,172.0,55.55,29.9,9.6,1,1,1,1,1
2015-07-06T13,35.0,47.0,52.35,,9.5,1,1,1,0,1
2015-07-06T14,38.0,31.0,56.15,,19.05,1,1,1,0,1
2015-07-06T15,22.0,,70.15,106.6,,1,0,1,1,0
2015-07-06T16,33.0,66.0,52.9,,,1,1,1,0,0
2015-07-06T17,26.0,57.0,44.4,30.9,,1,1,1,1,0
2015-07-06T18,25.0,40.0,44.25,97.2,5.2,2,2,2,1,1
2015-07-06T19,34.0,46.0,47.2,115.9,15.75,1,1,1,1,1
2015-07-06T20,49.0,96.0,43.55,,29.2,1,1,1,0,1
2015-07-06T21,70.0,100.0,37.25,,29.4,1,1,1,0,1
2015-07-06T22,56.0,50.0,30.85,63.4,28.7,1,1,1,1,1
2015-07-06T23,27.0,,32.65,24.8,,1,0,1,1,0
2015-07-07T00,39.0,45.0,29.9,31.75,,1,1,1,1,0
2015-07-07T01,29.0,38.0,41.55,80.6,,1,1,1,1,0
2015-07-07T02,32.0,48.0,35.6,168.9,10.5,1,1,1,1,1
2015-07-07T07,49.0,,74.65,62.6,8.35,1,0,1,1,1
2015-07-07T08,94.0,129.0,52.25,65.05,1.0,1,1,1,1,1
2015-07-07T09,93.0,147.0,60.75,78.35,,1,1,1,1,0
2015-07-07T13,80.0,88.0,81.2,14.9,12.2,1,1,1,1,1
2015-07-07T16,,,96.2,79.0,17.4,0,0,1,1,1
2015-07-07T21,107.0,180.0,48.0,49.9,5.9,1,1,1,1,1
2015-07-07T23,26.0,,45.1,37.1,9.7,1,0,1,1,1
2015-07-08T04,115.0,251.0,,,,1,1,0,0,0
2015-07-08T07,40.0,,30.55,82.9,5.4,1,0,1,1,1
2015-07-08T08,61.0,168.0,29.2,,3.0,1,1,1,0,1
2015-07-08T09,34.0,,53.75,22.55,5.5,1,0,1,1,1
2015-07-08T10,34.0,,63.0,12.15,4.85,1,0,1,1,1
2015-07-08T11,114.0,580.0,59.3,12.15,0.35,1,1,1,1,1
2015-07-08T12,7.0,,74.8,9.95,9.1,1,0,1,1,1
2015-07-08T13,89.0,,73.1,12.9,4.15,1,0,1,1,1
2015-07-08T14,152.0,608.0,60.25,,5.7,1,1,1,0,1
2015-07-08T15,34.0,135.0,61.55,1.6,6.05,1,1,1,1,1
2015-07-08T16,63.0,,55.75,3.7,,1,0,1,1,0
2015-07-08T17,59.0,158.0,62.55,7.8,,1,1,1,1,0
2015-07-08T18,50.0,130.0,49.9,8.8,,1,1,1,1,0
2015-07-08T19,50.0,130.0,44.2,7.8,6.3,1,1,1,1,1
2015-07-08T23,25.0,,46.9,,9.4,1,0,1,0,1
2015-07-09T00,18.0,,66.8,4.9,,1,0,1,1,0
2015-07-09T01,91.0,376.0,56.35,4.95,,1,1,1,1,0
2015-07-09T02,31.0,91.0,47.55,3.15,7.6,1,1,1,1,1
2015-07-09T03,22.0,41.0,47.05,4.0,7.2,1,1,1,1,1
2015-07-09T04,38.0,167.0,58.0,6.6,9.2,1,1,1,1,1
2015-07-09T05,108.0,182.0,69.45,,11.9,1,1,1,0,1
2015-07-09T06,42.0,20.0,85.3,,9.1,1,1,1,0,1
2015-07-09T07,83.0,,85.95,,5.55,1,0,1,0,1
2015-07-09T08,74.0,130.0,72.3,43.3,2.6,1,1,1,1,1
2015-07-09T09,42.0,127.0,71.333,26.6,0.4,1,1,1,1,1
2015-07-09T10,56.0,202.0,78.75,21.1,5.0,1,1,1,1,1
2015-07-09T11,46.0,269.0,107.9,14.5,2.4,1,1,1,1,1
2015-07-09T12,52.0,226.0,87.5,17.85,9.1,1,1,1,1,1
2015-07-09T13,140.0,552.0,99.8,15.05,10.8,1,1,1,1,1
2015-07-09T14,85.0,269.0,90.2,14.2,13.0,1,1,1,1,1
2015-07-09T15,77.0,18.0,95.5,12.75,14.85,1,1,1,1,1
2015-07-09T16,108.0,306.0,85.55,12.35,14.25,1,1,1,1,1
2015-07-09T17,87.0,313.0,80.25,18.5,14.05,1,1,1,1,1
2015-07-09T18,67.0,193.0,61.95,12.9,11.6,2,2,2,2,1
2015-07-09T19,90.0,257.0,63.0,13.2,7.8,1,1,1,1,1
2015-07-09T20,151.0,456.0,57.8,13.6,9.5,1,1,1,1,1
2015-07-09T21,120.0,194.0,36.8,19.95,8.1,1,1,1,1,1
2015-07-09T22,93.0,191.0,36.5,27.0,9.0,1,1,1,1,1
2015-07-09T23,45.0,377.0,45.5,33.8,12.35,1,1,1,1,1
2015-07-10T00,133.0,,49.9,19.2,16.0,1,0,1,1,1
2015-07-10T01,88.0,348.0,47.05,14.9,14.2,1,1,1,1,1
2015-07-10T02,31.0,57.0,37.7,7.65,10.4,1,1,1,1,1
2015-07-10T03,46.0,94.0,35.6,8.8,8.65,1,1,1,1,1
2015-07-10T04,79.0,261.0,40.3,10.25,7.4,1,1,1,1,1
2015-07-10T05,20.0,,50.5,8.1,11.25,1,0,1,1,1
2015-07-10T06,64.0,105.0,43.95,7.85,6.4,1,1,1,1,1
2015-07-10T07,20.0,,56.15,8.8,8.6,1,0,1,1,1
2015-07-10T08,38.0,23.0,51.05,16.1,8.45,1,1,1,1,1
2015-07-10T09,22.0,25.0,47.7,13.9,,1,1,1,1,0
2015-07-10T11,15.0,45.0,51.5,12.4,,1,1,1,1,0
2015-07-11T03,17.0,20.0,38.2,,,1,1,1,0,0
2015-07-15T06,,,69.0,10.5,14.2,0,0,1,1,1
2015-07-15T07,,,56.4,15.15,14.1,0,0,1,1,1
2015-07-15T08,79.0,703.0,65.6,10.25,14.1,1,1,1,1,1
2015-07-15T09,79.0,625.0,64.4,8.65,,1,1,1,1,0
2015-07-15T10,100.0,776.0,61.0,6.95,,1,1,1,1,0
2015-07-15T11,105.0,495.0,71.5,11.7,28.6,1,1,1,1,1
2015-07-15T12,75.0,407.0,74.45,9.7,9.05,1,1,1,1,1
2015-07-15T13,92.0,721.0,78.2,8.05,11.0,1,1,1,1,1
2015-07-15T14,106.0,787.0,77.35,9.2,14.4,1,1,1,1,1
2015-07-15T15,91.0,585.0,72.3,7.9,10.4,1,1,1,1,1
2015-07-15T16,76.0,478.0,66.6,9.25,9.15,1,1,1,1,1
2015-07-15T17,85.0,603.0,58.25,8.85,8.95,1,1,1,1,1
2015-07-15T18,80.0,664.0,44.8,6.35,21.2,2,2,2,2,1
2015-07-15T19,55.0,422.0,48.1,2.15,16.95,1,1,1,1,1
2015-07-15T20,52.0,334.0,36.9,7.95,15.35,1,1,1,1,1
2015-07-15T21,54.0,301.0,34.0,7.6,15.1,1,1,1,1,1
2015-07-16T07,91.0,342.0,81.85,9.15,27.4,1,1,1,1,1
2015-07-16T08,105.0,686.0,69.9,14.4,17.1,1,1,1,1,1
