hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2016-03-25T06,36.49,,37.1,20.44,,1,0,1,1,0
2016-03-25T07,60.573,,38.11,62.08,,1,0,1,1,0
2016-03-25T08,74.847,,39.015,61.023,,1,0,1,1,0
2016-03-25T09,45.24,,39.692,47.757,,1,0,1,1,0
2016-03-25T10,,,44.263,66.66,,0,0,1,1,0
2016-03-25T11,80.335,,43.883,58.123,,1,0,1,1,0
2016-03-25T12,83.582,,43.725,49.222,,1,0,1,1,0
2016-03-25T13,65.105,,57.23,41.075,,1,0,1,1,0
2016-03-25T14,54.0,,62.725,17.27,,1,0,1,1,0
2016-03-25T18,13.23,,25.57,12.86,9.68,1,0,1,1,1
2016-03-26T07,50.0,,27.64,21.337,11.033,1,0,1,1,1
2016-03-26T08,50.0,,26.62,33.013,9.485,1,0,1,1,1
2016-03-26T09,50.0,,26.323,26.377,7.17,1,0,1,1,1
2016-03-26T10,50.0,,26.323,32.495,4.737,1,0,1,1,1
2016-03-26T11,72.108,,27.9,26.32,8.57,1,0,1,1,1
2016-03-26T12,63.12,,36.913,17.872,16.887,1,0,1,1,1
2016-03-26T13,22.575,,51.557,3.39,19.685,1,0,1,1,1
2016-03-26T14,19.887,,48.75,1.032,21.1,1,0,1,1,1
2016-03-26T15,20.5,,47.23,3.315,9.138,1,0,1,1,1
2016-03-26T16,15.835,,34.933,11.352,10.99,1,0,1,1,1
2016-03-26T17,13.395,,40.097,11.405,12.82,1,0,1,1,1
2016-03-26T18,363.97,,,27.53,12.0,1,0,0,1,1
2016-03-27T07,21.585,,25.138,58.343,9.098,1,0,1,1,1
2016-03-27T08,20.855,,23.78,61.073,9.212,1,0,1,1,1
2016-03-27T09,18.008,,21.812,52.135,7.75,1,0,1,1,1
2016-03-27T10,17.91,,22.002,64.865,6.902,1,0,1,1,1
2016-03-27T11,20.715,,21.742,62.022,9.467,1,0,1,1,1
2016-03-27T12,22.677,,25.393,56.553,10.71,1,0,1,1,1
2016-03-27T13,25.422,,33.27,44.743,8.54,1,0,1,1,1
2016-03-27T14,29.805,,54.87,14.563,8.685,1,0,1,1,1
2016-03-27T15,36.6,,68.655,1.373,6.84,1,0,1,1,1
2016-03-27T16,79.088,,63.303,1.398,6.455,1,0,1,1,1
2016-03-27T17,288.462,,42.612,19.953,9.163,1,0,1,1,1
2016-03-27T18,518.063,,28.427,,10.983,1,0,1,0,1
2016-03-27T19,621.665,,28.305,,16.1,1,0,1,0,1
2016-03-27T20,429.038,,27.79,,13.735,1,0,1,0,1
2016-03-27T21,310.238,,40.58,,9.758,1,0,1,0,1
2016-03-27T22,309.535,,55.517,,10.168,1,0,1,0,1
2016-03-27T23,601.898,,47.615,,8.038,1,0,1,0,1
2016-03-28T00,857.145,,54.983,,13.117,1,0,1,0,1
2016-03-28T01,257.83,,44.03,,17.538,1,0,1,0,1
2016-03-28T02,6.705,,38.558,,18.99,1,0,1,0,1
2016-03-28T03,3.712,,32.49,,35.562,1,0,1,0,1
2016-03-28T04,2.59,,31.2,,38.82,1,0,1,0,1
2016-03-28T07,83.79,,25.37,,14.01,1,0,1,0,1
2016-03-28T09,60.15,,24.22,,9.13,1,0,1,0,1
2016-03-30T05,414.11,,64.03,56.51,112.86,1,0,1,1,1
2016-03-30T11,262.73,,25.52,58.65,11.55,1,0,1,1,1
2016-03-31T07,69.47,,,59.62,22.82,1,0,0,1,1
2016-03-31T08,63.78,,,63.863,20.14,1,0,0,1,1
2016-03-31T09,52.4,,,85.755,14.255,1,0,0,1,1
2016-03-31T12,20.59,,,47.42,14.74,1,0,0,1,1
2016-03-31T13,64.172,,,27.092,17.96,1,0,0,1,1
2016-03-31T14,81.89,,,5.7,23.212,1,0,0,1,1
2016-03-31T15,,,,1.008,14.985,0,0,0,1,1
2016-03-31T16,,,,0.667,15.487,0,0,0,1,1
2016-03-31T18,50.0,,38.375,16.375,34.78,1,0,1,1,1
2016-03-31T19,68.27,,31.977,22.495,37.52,1,0,1,1,1
2016-03-31T20,86.053,,29.357,29.75,35.84,1,0,1,1,1
2016-04-01T00,,,52.68,0.89,18.81,0,0,1,1,1
2016-04-01T06,50.0,,28.74,53.89,11.1,1,0,1,1,1
2016-04-01T07,61.205,,27.61,56.362,10.297,1,0,1,1,1
2016-04-01T08,71.57,,24.692,57.443,10.36,1,0,1,1,1
2016-04-01T09,,,24.18,46.935,9.845,0,0,1,1,1
2016-04-01T10,,,25.48,54.99,10.36,0,0,1,1,1
2016-04-01T11,,,24.79,56.145,12.92,0,0,1,1,1
2016-04-01T12,,,27.9,51.11,13.147,0,0,1,1,1
2016-04-01T13,,,34.352,40.027,12.877,0,0,1,1,1
2016-04-01T14,,,54.167,10.967,13.21,0,0,1,1,1
2016-04-01T15,,,61.188,2.712,14.013,0,0,1,1,1
2016-04-01T16,,,54.803,3.527,18.967,0,0,1,1,1
2016-04-01T18,,,97.98,1.11,20.1,0,0,1,1,1
2016-04-02T11,,,25.52,51.825,16.605,0,0,1,1,1
2016-04-02T12,,,34.315,40.97,17.113,0,0,1,1,1
2016-04-02T13,,,56.507,16.723,20.345,0,0,1,1,1
2016-04-02T14,,,73.77,0.43,18.82,0,0,1,1,1
2016-04-02T16,,,75.85,0.525,17.47,0,0,1,1,1
2016-04-02T17,,,89.845,0.7,15.205,0,0,1,1,1
2016-04-03T11,,,,49.545,11.115,0,0,0,1,1
2016-04-03T12,,,,44.03,13.83,0,0,0,1,1
2016-04-03T18,70.05,,,12.05,31.05,1,0,0,1,1
2016-04-04T11,50.0,,36.54,29.61,6.785,1,0,1,1,1
2016-04-04T12,50.0,,29.24,30.24,6.71,1,0,1,1,1
2016-04-04T13,114.255,,30.515,27.25,9.723,1,0,1,1,1
2016-04-04T14,116.117,,36.47,19.253,17.293,1,0,1,1,1
2016-04-04T15,85.627,,35.483,18.91,24.27,1,0,1,1,1
2016-04-04T16,83.203,,41.285,8.91,33.453,1,0,1,1,1
2016-04-04T17,73.56,,34.11,11.23,29.892,1,0,1,1,1
2016-04-05T02,,,34.45,15.63,8.53,0,0,1,1,1
2016-04-05T06,,,29.83,59.375,26.8,0,0,1,1,1
2016-04-07T06,,,41.39,67.175,31.985,0,0,1,1,1
2016-04-08T11,50.0,,28.23,80.88,10.8,1,0,1,1,1
2016-04-09T11,66.95,,,86.11,13.39,1,0,0,1,1
2016-04-09T12,66.235,,,77.115,14.06,1,0,0,1,1
2016-04-10T18,77.15,117.51,,42.1,15.58,1,1,0,1,1
2016-04-11T08,77.71,,25.43,60.65,9.79,1,0,1,1,1
2016-04-11T09,77.71,,25.82,58.19,7.66,1,0,1,1,1
2016-04-11T10,89.26,,22.33,61.96,9.24,1,0,1,1,1
2016-04-11T11,89.16,,21.32,60.22,9.03,1,0,1,1,1
2016-04-11T12,89.2,113.22,23.64,49.48,11.785,1,1,1,1,1
2016-04-11T13,85.28,125.64,33.077,34.87,9.697,1,1,1,1,1
2016-04-11T14,87.965,128.318,33.892,29.323,9.69,1,1,1,1,1
2016-04-11T15,81.93,122.28,29.03,34.032,15.107,1,1,1,1,1
2016-04-11T16,85.005,125.355,25.587,36.35,21.362,1,1,1,1,1
2016-04-11T17,79.59,119.945,22.703,38.585,16.273,1,1,1,1,1
2016-04-11T18,67.527,107.877,,41.067,12.983,1,1,0,1,1
2016-04-11T20,51.21,91.56,,34.73,11.87,1,1,0,1,1
2016-04-11T22,33.58,73.94,,32.157,12.91,1,1,0,1,1
2016-04-11T23,52.8,93.15,,25.45,16.815,1,1,0,1,1
2016-04-12T00,59.22,99.57,,20.85,29.79,1,1,0,1,1
2016-04-12T08,92.67,133.02,,60.39,11.31,1,1,0,1,1
2016-04-12T09,92.59,132.94,,61.9,9.62,1,1,0,1,1
2016-04-13T10,100.04,,20.94,59.61,2.26,1,0,1,1,1
2016-04-13T11,99.96,,21.74,56.95,3.81,1,0,1,1,1
2016-04-14T11,60.64,,20.91,55.545,5.765,1,0,1,1,1
2016-04-14T12,60.933,,26.55,46.063,4.553,1,0,1,1,1
2016-04-16T05,108.32,,23.24,33.66,10.13,1,0,1,1,1
2016-04-16T11,61.79,,23.31,43.54,2.01,1,0,1,1,1
2016-04-17T12,59.43,,28.3,41.19,4.82,1,0,1,1,1
2016-04-18T18,83.43,,62.93,10.94,10.52,1,0,1,1,1
2016-04-19T07,107.27,,29.87,65.85,10.99,1,0,1,1,1
2016-04-19T10,99.57,,31.32,52.5,7.765,1,0,1,1,1
2016-04-19T11,90.035,,29.095,50.705,7.16,1,0,1,1,1
2016-04-19T12,79.64,,43.37,31.533,5.803,1,0,1,1,1
2016-04-19T13,94.118,,60.88,13.982,5.803,1,0,1,1,1
2016-04-19T14,102.612,,61.212,13.828,6.652,1,0,1,1,1
2016-04-19T15,99.98,,62.297,10.702,51.203,1,0,1,1,1
2016-04-19T16,92.87,,65.737,7.473,27.647,1,0,1,1,1
2016-04-19T17,85.418,,61.807,8.053,14.04,1,0,1,1,1
2016-04-19T18,116.51,,40.663,20.162,13.412,2,0,2,2,2
2016-04-19T19,67.733,,36.695,13.593,4.23,1,0,1,1,1
2016-04-19T20,69.233,,42.505,10.223,6.775,1,0,1,1,1
2016-04-19T21,65.305,,51.685,10.992,7.54,1,0,1,1,1
2016-04-19T22,61.752,,50.06,11.867,7.08,1,0,1,1,1
2016-04-19T23,59.237,,55.94,9.588,5.928,1,0,1,1,1
2016-04-20T00,263.885,,44.0,13.147,7.123,1,0,1,1,1
2016-04-20T01,271.673,,36.525,14.6,9.215,1,0,1,1,1
2016-04-20T02,250.155,,31.747,20.255,8.14,1,0,1,1,1
2016-04-20T03,232.68,,29.938,26.9,8.718,1,0,1,1,1
2016-04-20T04,234.62,,29.847,35.11,8.337,1,0,1,1,1
2016-04-20T05,237.74,,27.5,41.68,7.07,1,0,1,1,1
2016-04-20T07,200.275,,32.958,50.228,8.933,1,0,1,1,1
2016-04-20T08,194.005,,22.34,48.777,6.992,1,0,1,1,1
2016-04-20T09,202.465,,22.233,41.33,5.6,1,0,1,1,1
2016-04-20T10,197.637,,22.06,58.543,6.093,1,0,1,1,1
2016-04-20T11,188.93,,24.738,57.947,5.793,1,0,1,1,1
2016-04-20T12,165.723,,26.687,51.87,4.65,1,0,1,1,1
2016-04-20T13,149.817,,38.225,31.723,5.1,1,0,1,1,1
2016-04-20T14,162.95,,40.615,23.883,7.01,1,0,1,1,1
2016-04-20T15,152.653,,42.627,23.465,7.933,1,0,1,1,1
2016-04-20T16,147.91,,36.93,25.835,14.915,1,0,1,1,1
2016-04-20T17,155.57,,30.742,29.55,19.15,1,0,1,1,1
2016-04-20T18,144.98,,25.633,33.447,14.94,1,0,1,1,1
2016-04-20T19,128.998,,23.683,28.223,15.705,1,0,1,1,1
2016-04-20T20,123.265,,23.57,27.873,9.86,1,0,1,1,1
2016-04-20T21,122.82,,23.398,29.332,9.812,1,0,1,1,1
2016-04-20T22,116.615,,24.325,23.94,12.158,1,0,1,1,1
2016-04-20T23,118.268,,29.197,19.795,16.207,1,0,1,1,1
2016-04-21T00,112.867,,29.492,21.095,18.203,1,0,1,1,1
2016-04-21T01,104.993,,32.6,22.065,15.997,1,0,1,1,1
2016-04-21T02,118.047,,31.578,31.148,15.75,1,0,1,1,1
2016-04-21T03,122.295,,28.255,44.285,15.343,1,0,1,1,1
2016-04-21T04,112.985,,25.925,51.205,12.4,1,0,1,1,1
2016-04-21T06,119.23,,28.86,57.59,10.1,1,0,1,1,1
2016-04-21T07,140.095,,34.53,47.615,6.58,1,0,1,1,1
2016-04-21T08,181.5,,23.04,53.293,5.447,1,0,1,1,1
2016-04-21T11,131.73,,22.87,48.16,4.48,1,0,1,1,1
2016-04-21T12,130.81,,22.46,48.84,4.13,1,0,1,1,1
2016-04-21T18,130.17,,,16.68,5.42,1,0,0,1,1
2016-04-22T07,110.977,,10.003,67.483,10.85,1,0,1,1,1
2016-04-22T08,95.847,,10.085,67.945,8.547,1,0,1,1,1
2016-04-22T09,100.453,,10.04,48.895,7.815,1,0,1,1,1
2016-04-22T10,102.37,,,46.405,5.305,1,0,0,1,1
2016-04-22T11,89.25,,,41.73,6.225,1,0,0,1,1
2016-04-22T12,95.375,,,39.01,4.995,1,0,0,1,1
2016-04-22T13,96.89,,,15.667,4.88,1,0,0,1,1
2016-04-22T14,146.49,,,32.68,5.675,1,0,0,1,1
2016-04-22T15,203.312,,,25.845,4.715,1,0,0,1,1
2016-04-22T16,173.433,,,22.303,4.973,1,0,0,1,1
2016-04-22T17,138.588,,,22.238,4.955,1,0,0,1,1
2016-04-22T18,93.71,,,11.895,6.575,1,0,0,1,1
2016-04-22T19,79.498,,,6.957,8.12,1,0,0,1,1
2016-04-22T20,62.585,,,11.182,10.665,1,0,0,1,1
2016-04-22T21,58.023,,,13.887,9.018,1,0,0,1,1
2016-04-22T22,70.725,,,10.543,9.725,1,0,0,1,1
2016-04-22T23,90.863,,,9.29,11.94,1,0,0,1,1
