hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2015-06-29T00,25.0,56.0,17.8,13.9,4.9,1,1,1,1,1
2015-06-29T01,,,21.4,15.3,9.4,0,0,1,1,1
2015-06-29T02,21.0,30.0,44.5,15.55,6.8,1,1,1,1,1
2015-06-29T03,6.0,18.0,36.55,19.5,7.25,1,1,1,1,1
2015-06-29T04,32.0,93.0,36.4,,6.8,1,1,1,0,1
2015-06-29T05,48.0,72.0,31.35,34.15,4.8,1,1,1,1,1
2015-06-29T06,77.0,101.0,57.9,42.75,3.6,1,1,1,1,1
2015-06-29T07,31.0,100.0,63.85,46.4,3.75,1,1,1,1,1
2015-06-29T08,59.0,98.0,45.8,76.0,1.2,1,1,1,1,1
2015-06-29T09,45.0,102.0,64.5,77.15,4.7,1,1,1,1,1
2015-06-29T10,33.0,91.0,61.45,39.2,4.7,1,1,1,1,1
2015-06-29T11,29.0,92.0,45.75,42.8,3.0,1,1,1,1,1
2015-06-29T12,22.0,59.0,71.8,44.0,4.5,1,1,1,1,1
2015-06-29T13,90.0,152.0,59.75,40.55,5.05,1,1,1,1,1
2015-06-29T14,38.0,84.0,54.7,28.7,6.7,1,1,1,1,1
2015-06-30T03,26.0,48.0,30.0,,8.4,1,1,1,0,1
2015-06-30T05,36.0,65.0,39.7,62.3,9.5,1,1,1,1,1
2015-06-30T06,34.0,115.0,59.4,112.4,10.0,1,1,1,1,1
2015-06-30T10,61.0,111.0,70.0,,7.4,1,1,1,0,1
2015-06-30T11,79.0,122.0,58.3,57.6,8.1,1,1,1,1,1
2015-06-30T12,55.0,106.0,96.95,40.7,21.2,1,1,1,1,1
2015-06-30T13,81.0,130.0,91.45,55.15,16.35,1,1,1,1,1
2015-06-30T14,70.0,129.0,93.3,30.3,15.45,1,1,1,1,1
2015-06-30T15,55.0,125.0,79.15,20.35,13.95,1,1,1,1,1
2015-06-30T16,124.0,153.0,77.2,55.1,13.35,1,1,1,1,1
2015-06-30T17,23.0,120.0,72.9,45.8,13.6,1,1,1,1,1
2015-06-30T18,81.0,116.0,56.55,32.6,9.35,2,2,2,2,2
2015-06-30T19,8.0,99.0,61.35,10.15,9.95,1,1,1,1,1
2015-06-30T20,54.0,111.0,66.35,429.9,12.4,1,1,1,1,1
2015-06-30T21,44.0,92.0,50.8,385.55,10.75,1,1,1,1,1
2015-06-30T22,56.0,77.0,47.9,289.2,10.3,1,1,1,1,1
2015-06-30T23,26.0,40.0,44.8,61.5,7.4,1,1,1,1,1
2015-07-01T00,43.0,64.0,41.85,14.25,8.6,1,1,1,1,1
2015-07-01T01,73.0,69.0,54.75,7.45,6.1,1,1,1,1,1
2015-07-01T02,59.0,80.0,53.15,21.95,9.35,1,1,1,1,1
2015-07-01T03,41.0,186.0,48.15,16.7,9.95,1,1,1,1,1
2015-07-01T04,57.0,134.0,41.6,26.3,12.3,1,1,1,1,1
2015-07-01T05,43.0,111.0,39.95,61.8,10.7,1,1,1,1,1
2015-07-01T06,62.0,141.0,52.1,50.65,8.45,1,1,1,1,1
2015-07-01T07,45.0,185.0,75.95,158.85,6.05,1,1,1,1,1
2015-07-01T08,121.0,191.0,116.0,112.6,10.6,1,1,1,1,1
2015-07-01T09,86.0,173.0,85.9,156.15,7.5,1,1,1,1,1
2015-07-01T10,184.0,228.0,77.4,120.8,8.15,1,1,1,1,1
2015-07-01T11,86.0,182.0,83.45,86.7,12.0,1,1,1,1,1
2015-07-01T12,74.0,165.0,83.75,53.15,9.35,1,1,1,1,1
2015-07-01T13,77.0,182.0,35.85,44.4,8.75,1,1,1,1,1
2015-07-01T14,42.0,197.0,46.75,46.5,6.8,1,1,1,1,1
2015-07-01T15,,90.0,41.65,12.3,2.8,0,1,1,1,1
2015-07-01T16,49.0,104.0,29.0,24.5,2.95,1,1,1,1,1
