hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2026-01-08T11,91.325,236.1,47.724,60.049,,1,1,1,1,0
2026-01-08T12,98.375,198.575,66.326,46.055,,1,1,1,1,0
2026-01-08T13,126.875,265.975,77.508,46.511,,1,1,1,1,0
2026-01-08T14,191.767,385.3,61.012,52.639,,1,1,1,1,0
2026-01-08T15,198.15,439.05,46.37,45.492,,1,1,1,1,0
2026-01-08T16,149.6,348.0,39.513,40.16,,1,1,1,1,0
2026-01-08T17,142.425,350.65,38.399,38.7,,1,1,1,1,0
2026-01-08T19,108.525,201.85,25.972,37.289,,1,1,1,1,0
2026-01-08T20,108.9,250.65,24.901,37.725,,1,1,1,1,0
2026-01-08T21,105.5,254.467,26.188,37.449,,1,1,1,1,0
2026-01-08T22,94.433,253.233,31.828,37.848,,1,1,1,1,0
2026-01-08T23,73.725,159.375,26.047,40.053,,1,1,1,1,0
2026-01-09T00,57.4,108.575,21.587,41.694,,1,1,1,1,0
2026-01-09T01,59.725,140.375,24.567,43.742,,1,1,1,1,0
2026-01-09T02,74.45,198.15,27.753,45.065,,1,1,1,1,0
2026-01-09T03,85.1,252.6,41.571,47.001,,1,1,1,1,0
2026-01-09T04,139.85,325.725,143.364,52.116,,1,1,1,1,0
2026-01-09T05,176.5,412.3,107.705,42.316,,1,1,1,1,0
2026-01-09T06,199.1,455.75,123.807,48.927,,1,1,1,1,0
2026-01-09T07,175.4,407.433,93.693,66.235,,1,1,1,1,0
2026-01-09T08,167.925,400.4,86.691,70.893,,1,1,1,1,0
2026-01-09T09,185.4,448.367,96.707,73.696,,1,1,1,1,0
2026-01-09T10,187.85,408.85,98.042,62.132,,1,1,1,1,0
2026-01-09T11,154.525,367.325,108.72,49.529,,1,1,1,1,0
2026-01-09T12,143.55,307.6,116.048,48.539,,1,1,1,1,0
2026-01-09T13,136.7,284.4,86.391,47.481,,1,1,1,1,0
2026-01-09T14,127.05,297.375,72.939,46.609,,1,1,1,1,0
2026-01-09T15,146.525,356.525,70.397,43.835,,1,1,1,1,0
2026-01-09T16,205.6,426.2,56.82,44.191,,1,1,1,1,0
2026-01-09T17,193.575,403.45,42.234,44.673,,1,1,1,1,0
2026-01-09T18,164.2,354.2,31.246,45.08,,1,1,1,1,0
2026-01-09T19,141.65,330.15,25.277,44.11,,1,1,1,1,0
2026-01-09T20,123.1,298.15,19.101,42.218,,1,1,1,1,0
2026-01-09T21,106.1,265.55,17.747,39.362,,1,1,1,1,0
2026-01-09T22,104.725,252.25,17.799,38.47,,1,1,1,1,0
2026-01-09T23,119.65,230.675,16.803,38.808,,1,1,1,1,0
2026-01-10T00,114.15,215.675,13.776,40.822,,1,1,1,1,0
2026-01-10T01,118.775,246.925,4.827,43.487,,1,1,1,1,0
2026-01-10T02,141.375,289.275,12.728,51.244,,1,1,1,1,0
2026-01-10T03,141.625,353.25,63.741,52.861,,1,1,1,1,0
2026-01-10T04,160.033,389.1,99.045,56.422,,1,1,1,1,0
2026-01-10T05,158.5,343.15,74.434,39.92,,1,1,1,1,0
2026-01-10T06,125.4,289.9,56.123,47.51,,1,1,1,1,0
2026-01-10T07,93.45,253.475,41.454,59.476,,1,1,1,1,0
2026-01-10T08,72.4,221.4,27.072,55.615,,1,1,1,1,0
2026-01-10T09,50.033,150.467,17.246,64.347,,1,1,1,1,0
2026-01-10T10,58.975,168.7,19.364,70.751,,1,1,1,1,0
2026-01-10T11,40.05,121.75,26.339,65.699,,1,1,1,1,0
2026-01-20T14,177.3,444.1,167.583,5.723,,1,1,1,1,0
2026-01-20T15,203.325,492.6,143.002,-11.784,,1,1,1,1,0
2026-01-20T16,198.05,463.675,112.494,-21.197,,1,1,1,1,0
2026-01-20T17,203.15,402.35,83.679,-20.105,,1,1,1,1,0
2026-01-20T18,173.7,379.6,74.918,-23.834,,1,1,1,1,0
2026-01-20T19,162.575,370.075,69.71,-25.764,,1,1,1,1,0
2026-01-20T20,133.875,295.625,63.441,-27.93,,1,1,1,1,0
2026-01-20T21,127.15,274.525,65.753,-25.343,,1,1,1,1,0
2026-01-20T22,146.85,245.675,50.276,-20.423,,1,1,1,1,0
2026-01-20T23,139.333,235.767,42.074,-17.856,,1,1,1,1,0
2026-01-21T00,145.25,279.1,37.468,-13.553,,1,1,1,1,0
2026-01-21T01,146.467,291.767,40.339,-8.31,,1,1,1,1,0
2026-01-21T02,161.9,330.85,54.167,-3.709,,1,1,1,1,0
2026-01-21T03,162.05,405.025,95.584,-5.375,,1,1,1,1,0
