hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-03-09T05,240.0,,100.0,,,1,0,1,0,0
2018-03-09T06,243.0,,100.0,,,1,0,1,0,0
2018-03-09T20,207.0,,95.0,,,1,0,1,0,0
2018-03-09T22,191.0,,93.0,,,1,0,1,0,0
2018-03-10T02,176.0,,83.0,,,1,0,1,0,0
2018-03-10T04,158.0,,77.0,,,1,0,1,0,0
2018-03-10T05,151.0,,75.0,,,1,0,1,0,0
2018-03-10T20,125.0,,60.0,,,1,0,1,0,0
2018-03-10T21,124.0,,59.0,,,1,0,1,0,0
2018-03-10T22,126.0,,57.0,,,1,0,1,0,0
2018-03-10T23,132.0,,56.0,,,1,0,1,0,0
2018-03-11T01,132.0,,55.0,,,1,0,1,0,0
2018-03-11T02,134.0,,55.0,,,1,0,1,0,0
2018-03-11T03,139.0,,54.0,,,1,0,1,0,0
2018-03-11T04,145.0,,54.0,,,1,0,1,0,0
2018-03-11T05,151.0,,54.0,,,1,0,1,0,0
2018-03-11T06,134.0,,63.0,,,1,0,1,0,0
2018-03-11T21,192.0,,61.0,,,1,0,1,0,0
2018-03-11T22,198.0,,63.0,,,1,0,1,0,0
2018-03-11T23,200.0,,64.0,,,1,0,1,0,0
2018-03-12T00,202.0,,65.0,,,1,0,1,0,0
2018-03-12T01,202.0,,66.0,,,1,0,1,0,0
2018-03-12T03,202.0,,69.0,,,1,0,1,0,0
2018-03-12T05,205.0,,71.0,,,1,0,1,0,0
2018-03-13T03,201.0,,75.0,,,1,0,1,0,0
2018-03-13T04,201.0,,77.0,,,1,0,1,0,0
2018-03-13T05,202.0,,77.0,,,1,0,1,0,0
2018-03-13T21,209.0,,87.0,,,1,0,1,0,0
2018-03-14T00,213.0,,88.0,,,1,0,1,0,0
2018-03-14T02,205.0,,90.0,,,1,0,1,0,0
2018-03-14T03,202.0,,91.0,,,1,0,1,0,0
2018-03-14T21,194.0,,86.0,,,1,0,1,0,0
2018-03-14T23,195.0,,84.0,,,1,0,1,0,0
2018-03-15T01,198.0,,83.0,,,1,0,1,0,0
2018-03-15T03,198.0,,80.0,,,1,0,1,0,0
2018-03-15T06,189.0,,89.0,,,1,0,1,0,0
2018-03-16T01,126.0,,62.0,,,1,0,1,0,0
2018-03-16T03,127.0,,64.0,,,1,0,1,0,0
2018-03-16T22,161.0,,65.0,,,1,0,1,0,0
2018-03-16T23,168.0,,64.0,,,1,0,1,0,0
2018-03-17T06,166.0,,67.0,,,1,0,1,0,0
2018-03-17T20,162.0,,58.0,,,1,0,1,0,0
2018-03-18T02,130.0,,58.0,,,1,0,1,0,0
2018-03-18T03,120.0,,59.0,,,1,0,1,0,0
2018-03-18T04,112.0,,59.0,,,1,0,1,0,0
2018-03-18T20,149.0,,54.0,,,1,0,1,0,0
2018-03-18T22,138.0,,53.0,,,1,0,1,0,0
2018-03-18T23,130.0,,53.0,,,1,0,1,0,0
2018-03-19T00,121.0,,54.0,,,1,0,1,0,0
2018-03-19T03,101.0,,56.0,,,1,0,1,0,0
2018-03-19T04,104.0,,57.0,,,1,0,1,0,0
2018-03-19T05,109.0,,59.0,,,1,0,1,0,0
2018-03-19T19,122.0,,62.0,,,1,0,1,0,0
2018-03-19T20,123.0,,63.0,,,1,0,1,0,0
2018-03-19T21,126.0,,64.0,,,1,0,1,0,0
2018-03-19T22,130.0,,65.0,,,1,0,1,0,0
2018-03-19T23,131.0,,66.0,,,1,0,1,0,0
2018-03-20T01,133.0,,68.0,,,1,0,1,0,0
2018-03-20T03,139.0,,70.0,,,1,0,1,0,0
2018-03-20T05,144.0,,71.0,,,1,0,1,0,0
2018-03-20T06,120.0,,61.0,,,1,0,1,0,0
2018-03-20T19,174.0,,79.0,,,1,0,1,0,0
2018-03-21T01,195.0,,73.0,,,1,0,1,0,0
2018-03-21T02,198.0,,72.0,,,1,0,1,0,0
2018-03-21T06,169.0,,80.0,,,1,0,1,0,0
2018-03-21T19,227.0,,50.0,,,1,0,1,0,0
2018-03-21T21,224.0,,47.0,,,1,0,1,0,0
2018-03-21T22,218.0,,45.0,,,1,0,1,0,0
2018-03-21T23,211.0,,43.0,,,1,0,1,0,0
2018-03-22T00,203.0,,42.0,,,1,0,1,0,0
2018-03-22T01,196.0,,40.0,,,1,0,1,0,0
2018-03-22T03,181.0,,38.0,,,1,0,1,0,0
2018-03-22T04,175.0,,38.0,,,1,0,1,0,0
2018-03-22T05,172.0,,38.0,,,1,0,1,0,0
2018-03-22T20,137.0,,39.0,,,1,0,1,0,0
2018-03-22T23,138.0,,40.0,,,1,0,1,0,0
2018-03-23T00,138.0,,40.0,,,1,0,1,0,0
2018-03-23T01,136.0,,40.0,,,1,0,1,0,0
2018-03-23T02,138.0,,40.0,,,1,0,1,0,0
2018-03-23T03,142.0,,40.0,,,1,0,1,0,0
2018-03-23T06,141.0,,38.0,,,1,0,1,0,0
2018-03-23T19,161.0,,43.0,,,1,0,1,0,0
2018-03-24T00,182.0,,42.0,,,1,0,1,0,0
2018-03-24T02,191.0,,42.0,,,1,0,1,0,0
2018-03-24T04,200.0,,41.0,,,1,0,1,0,0
2018-03-24T05,203.0,,41.0,,,1,0,1,0,0
2018-03-24T20,156.0,,34.0,,,1,0,1,0,0
2018-03-24T21,157.0,,34.0,,,1,0,1,0,0
2018-03-24T22,154.0,,35.0,,,1,0,1,0,0
2018-03-24T23,157.0,,35.0,,,1,0,1,0,0
2018-03-25T01,172.0,,35.0,,,1,0,1,0,0
2018-03-25T02,173.0,,35.0,,,1,0,1,0,0
2018-03-25T04,174.0,,34.0,,,1,0,1,0,0
2018-03-25T05,177.0,,34.0,,,1,0,1,0,0
2018-03-25T21,167.0,,32.0,,,1,0,1,0,0
2018-03-25T22,168.0,,32.0,,,1,0,1,0,0
2018-03-25T23,165.0,,32.0,,,1,0,1,0,0
2018-03-26T00,164.0,,32.0,,,1,0,1,0,0
