hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-03-09T05,319.0,250.0,45.0,38.0,,1,1,1,1,0
2018-03-09T06,322.0,251.0,45.0,38.0,,1,1,1,1,0
2018-03-09T20,293.0,201.0,43.0,39.0,,1,1,1,1,0
2018-03-09T22,274.0,183.0,43.0,39.0,,1,1,1,1,0
2018-03-10T02,252.0,150.0,43.0,41.0,,1,1,1,1,0
2018-03-10T04,263.0,145.0,43.0,42.0,,1,1,1,1,0
2018-03-10T05,253.0,144.0,43.0,41.0,,1,1,1,1,0
2018-03-10T20,196.0,128.0,43.0,38.0,,1,1,1,1,0
2018-03-10T21,201.0,128.0,43.0,38.0,,1,1,1,1,0
2018-03-10T22,192.0,128.0,43.0,38.0,,1,1,1,1,0
2018-03-10T23,202.0,128.0,43.0,39.0,,1,1,1,1,0
2018-03-11T01,198.0,125.0,43.0,39.0,,1,1,1,1,0
2018-03-11T02,201.0,121.0,43.0,38.0,,1,1,1,1,0
2018-03-11T03,194.0,124.0,42.0,36.0,,1,1,1,1,0
2018-03-11T04,201.0,125.0,42.0,34.0,,1,1,1,1,0
2018-03-11T05,207.0,126.0,41.0,32.0,,1,1,1,1,0
2018-03-11T06,186.0,127.0,44.0,38.0,,1,1,1,1,0
2018-03-11T21,,138.0,30.0,16.0,,0,1,1,1,0
2018-03-11T22,,140.0,29.0,16.0,,0,1,1,1,0
2018-03-11T23,,139.0,28.0,16.0,,0,1,1,1,0
2018-03-12T00,,139.0,27.0,16.0,,0,1,1,1,0
2018-03-12T01,,139.0,26.0,16.0,,0,1,1,1,0
2018-03-12T03,,145.0,26.0,16.0,,0,1,1,1,0
2018-03-12T05,,144.0,26.0,16.0,,0,1,1,1,0
2018-03-12T20,273.0,,,,,1,0,0,0,0
2018-03-13T03,272.0,178.0,27.0,17.0,,1,1,1,1,0
2018-03-13T04,276.0,182.0,27.0,17.0,,1,1,1,1,0
2018-03-13T05,278.0,185.0,26.0,17.0,,1,1,1,1,0
2018-03-13T21,318.0,250.0,26.0,17.0,,1,1,1,1,0
2018-03-14T00,326.0,266.0,26.0,17.0,,1,1,1,1,0
2018-03-14T02,324.0,262.0,26.0,17.0,,1,1,1,1,0
2018-03-14T03,325.0,264.0,26.0,17.0,,1,1,1,1,0
2018-03-14T21,262.0,310.0,15.0,17.0,,1,1,1,1,0
2018-03-14T23,259.0,318.0,14.0,17.0,,1,1,1,1,0
2018-03-15T01,247.0,319.0,12.0,17.0,,1,1,1,1,0
2018-03-15T03,225.0,315.0,10.0,17.0,,1,1,1,1,0
2018-03-15T06,268.0,302.0,18.0,17.0,,1,1,1,1,0
2018-03-16T22,,,,17.0,,0,0,0,1,0
2018-03-16T23,80.0,167.0,6.0,17.0,,1,1,1,1,0
2018-03-17T02,80.0,165.0,6.0,17.0,,1,1,1,1,0
2018-03-17T03,79.0,165.0,6.0,17.0,,1,1,1,1,0
2018-03-17T04,75.0,164.0,6.0,17.0,,1,1,1,1,0
2018-03-17T20,76.0,161.0,6.0,17.0,,1,1,1,1,0
2018-03-18T02,123.0,177.0,6.0,17.0,,1,1,1,1,0
2018-03-18T03,125.0,184.0,6.0,17.0,,1,1,1,1,0
2018-03-18T04,120.0,181.0,6.0,18.0,,1,1,1,1,0
