hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-03-09T05,280.0,210.0,112.0,,,1,1,1,0,0
2018-03-09T06,275.0,209.0,110.0,,,1,1,1,0,0
2018-03-09T20,203.0,162.0,98.0,,,1,1,1,0,0
2018-03-09T22,174.0,138.0,99.0,,,1,1,1,0,0
2018-03-10T02,146.0,116.0,100.0,,,1,1,1,0,0
2018-03-10T04,137.0,111.0,96.0,,,1,1,1,0,0
2018-03-10T05,144.0,113.0,96.0,,,1,1,1,0,0
2018-03-10T20,125.0,107.0,82.0,,,1,1,1,0,0
2018-03-10T21,126.0,108.0,84.0,,,1,1,1,0,0
2018-03-10T22,126.0,109.0,83.0,,,1,1,1,0,0
2018-03-10T23,128.0,110.0,83.0,,,1,1,1,0,0
2018-03-11T01,123.0,109.0,84.0,,,1,1,1,0,0
2018-03-11T02,122.0,109.0,84.0,,,1,1,1,0,0
2018-03-11T03,128.0,112.0,84.0,,,1,1,1,0,0
2018-03-11T04,134.0,116.0,84.0,,,1,1,1,0,0
2018-03-11T05,134.0,116.0,84.0,,,1,1,1,0,0
2018-03-11T06,126.0,108.0,81.0,,,1,1,1,0,0
2018-03-11T21,201.0,141.0,95.0,,,1,1,1,0,0
2018-03-11T22,206.0,142.0,94.0,,,1,1,1,0,0
2018-03-11T23,207.0,142.0,95.0,,,1,1,1,0,0
2018-03-12T00,208.0,142.0,95.0,,,1,1,1,0,0
2018-03-12T01,213.0,143.0,95.0,,,1,1,1,0,0
2018-03-12T03,216.0,146.0,96.0,,,1,1,1,0,0
2018-03-12T05,212.0,145.0,95.0,,,1,1,1,0,0
2018-03-13T03,192.0,138.0,97.0,,,1,1,1,0,0
2018-03-13T04,190.0,137.0,98.0,,,1,1,1,0,0
2018-03-13T05,190.0,138.0,99.0,,,1,1,1,0,0
2018-03-13T21,211.0,172.0,88.0,,,1,1,1,0,0
2018-03-14T00,216.0,186.0,86.0,,,1,1,1,0,0
2018-03-14T02,216.0,193.0,82.0,,,1,1,1,0,0
2018-03-14T03,216.0,197.0,82.0,,,1,1,1,0,0
2018-03-14T21,200.0,214.0,100.0,,,1,1,1,0,0
2018-03-14T23,201.0,216.0,102.0,,,1,1,1,0,0
2018-03-15T01,200.0,214.0,104.0,,,1,1,1,0,0
2018-03-15T03,192.0,204.0,102.0,,,1,1,1,0,0
2018-03-15T06,200.0,211.0,99.0,,,1,1,1,0,0
2018-03-16T01,167.0,155.0,73.0,,,1,1,1,0,0
2018-03-16T03,176.0,162.0,75.0,,,1,1,1,0,0
2018-03-16T22,170.0,156.0,72.0,,,1,1,1,0,0
2018-03-16T23,163.0,153.0,74.0,,,1,1,1,0,0
2018-03-17T06,191.0,163.0,72.0,,,1,1,1,0,0
2018-03-17T20,125.0,111.0,81.0,,,1,1,1,0,0
2018-03-18T02,115.0,108.0,86.0,,,1,1,1,0,0
2018-03-18T03,103.0,103.0,85.0,,,1,1,1,0,0
2018-03-18T04,92.0,98.0,86.0,,,1,1,1,0,0
2018-03-18T20,172.0,137.0,86.0,,,1,1,1,0,0
2018-03-18T22,171.0,137.0,85.0,,,1,1,1,0,0
2018-03-18T23,165.0,136.0,85.0,,,1,1,1,0,0
2018-03-19T00,156.0,133.0,84.0,,,1,1,1,0,0
2018-03-19T03,139.0,122.0,86.0,,,1,1,1,0,0
2018-03-19T04,134.0,120.0,87.0,,,1,1,1,0,0
2018-03-19T05,130.0,119.0,88.0,,,1,1,1,0,0
2018-03-19T19,145.0,125.0,94.0,,,1,1,1,0,0
2018-03-19T20,146.0,125.0,94.0,,,1,1,1,0,0
2018-03-19T21,147.0,125.0,94.0,,,1,1,1,0,0
2018-03-19T22,148.0,125.0,93.0,,,1,1,1,0,0
2018-03-19T23,151.0,126.0,92.0,,,1,1,1,0,0
2018-03-20T01,161.0,127.0,92.0,,,1,1,1,0,0
2018-03-20T03,167.0,130.0,92.0,,,1,1,1,0,0
2018-03-20T05,179.0,133.0,94.0,,,1,1,1,0,0
2018-03-20T06,142.0,124.0,94.0,,,1,1,1,0,0
2018-03-20T19,233.0,202.0,111.0,,,1,1,1,0,0
2018-03-21T01,274.0,249.0,110.0,,,1,1,1,0,0
2018-03-21T02,278.0,257.0,109.0,,,1,1,1,0,0
2018-03-21T06,228.0,190.0,111.0,,,1,1,1,0,0
2018-03-21T19,262.0,219.0,84.0,,,1,1,1,0,0
2018-03-21T21,248.0,201.0,81.0,,,1,1,1,0,0
2018-03-21T22,240.0,193.0,79.0,,,1,1,1,0,0
2018-03-21T23,234.0,187.0,78.0,,,1,1,1,0,0
2018-03-22T00,225.0,179.0,78.0,,,1,1,1,0,0
2018-03-22T01,217.0,171.0,78.0,,,1,1,1,0,0
2018-03-22T03,204.0,155.0,76.0,,,1,1,1,0,0
2018-03-22T04,203.0,154.0,76.0,,,1,1,1,0,0
2018-03-22T05,204.0,153.0,76.0,,,1,1,1,0,0
2018-03-22T20,173.0,145.0,78.0,,,1,1,1,0,0
2018-03-22T23,165.0,144.0,78.0,,,1,1,1,0,0
2018-03-23T00,161.0,143.0,78.0,,,1,1,1,0,0
2018-03-23T01,157.0,142.0,79.0,,,1,1,1,0,0
2018-03-23T02,154.0,141.0,80.0,,,1,1,1,0,0
2018-03-23T03,152.0,141.0,80.0,,,1,1,1,0,0
2018-03-23T06,182.0,145.0,76.0,,,1,1,1,0,0
2018-03-23T19,104.0,116.0,72.0,,,1,1,1,0,0
2018-03-24T00,112.0,119.0,74.0,,,1,1,1,0,0
2018-03-24T02,124.0,122.0,74.0,,,1,1,1,0,0
2018-03-24T04,131.0,124.0,75.0,,,1,1,1,0,0
2018-03-24T05,132.0,126.0,74.0,,,1,1,1,0,0
2018-03-24T20,135.0,134.0,70.0,,,1,1,1,0,0
2018-03-24T21,135.0,134.0,69.0,,,1,1,1,0,0
2018-03-24T22,137.0,134.0,70.0,,,1,1,1,0,0
2018-03-24T23,137.0,134.0,70.0,,,1,1,1,0,0
2018-03-25T01,137.0,134.0,69.0,,,1,1,1,0,0
2018-03-25T02,140.0,136.0,69.0,,,1,1,1,0,0
2018-03-25T04,150.0,145.0,69.0,,,1,1,1,0,0
2018-03-25T05,159.0,147.0,69.0,,,1,1,1,0,0
2018-03-25T21,165.0,143.0,73.0,,,1,1,1,0,0
2018-03-25T22,164.0,143.0,73.0,,,1,1,1,0,0
2018-03-25T23,165.0,143.0,73.0,,,1,1,1,0,0
2018-03-26T00,165.0,143.0,73.0,,,1,1,1,0,0
2018-03-26T02,164.0,141.0,74.0,,,1,1,1,0,0
2018-03-26T03,161.0,136.0,75.0,,,1,1,1,0,0
2018-03-26T04,159.0,134.0,75.0,,,1,1,1,0,0
2018-03-26T05,153.0,132.0,75.0,,,1,1,1,0,0
2018-03-26T06,162.0,143.0,71.0,,,1,1,1,0,0
2018-03-26T19,156.0,143.0,82.0,,,1,1,1,0,0
2018-03-26T21,168.0,149.0,83.0,,,1,1,1,0,0
2018-03-26T22,176.0,154.0,85.0,,,1,1,1,0,0
