hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-03-09T05,298.0,,51.0,,,1,0,1,0,0
2018-03-09T06,291.0,,51.0,,,1,0,1,0,0
2018-03-09T20,215.0,,49.0,,,1,0,1,0,0
2018-03-09T22,195.0,,49.0,,,1,0,1,0,0
2018-03-10T02,184.0,,51.0,,,1,0,1,0,0
2018-03-10T04,191.0,,51.0,,,1,0,1,0,0
2018-03-10T05,194.0,,51.0,,,1,0,1,0,0
2018-03-10T20,166.0,,49.0,,,1,0,1,0,0
2018-03-10T21,165.0,,49.0,,,1,0,1,0,0
2018-03-10T22,171.0,,49.0,,,1,0,1,0,0
2018-03-10T23,173.0,,49.0,,,1,0,1,0,0
2018-03-11T01,176.0,,49.0,,,1,0,1,0,0
2018-03-11T02,176.0,,49.0,,,1,0,1,0,0
2018-03-11T03,176.0,,49.0,,,1,0,1,0,0
2018-03-11T04,176.0,,49.0,,,1,0,1,0,0
2018-03-11T05,179.0,,49.0,,,1,0,1,0,0
2018-03-11T06,171.0,,50.0,,,1,0,1,0,0
2018-03-11T21,254.0,,49.0,,,1,0,1,0,0
2018-03-11T22,254.0,,50.0,,,1,0,1,0,0
2018-03-11T23,251.0,,50.0,,,1,0,1,0,0
2018-03-12T00,248.0,,49.0,,,1,0,1,0,0
2018-03-12T01,247.0,,49.0,,,1,0,1,0,0
2018-03-12T03,251.0,,49.0,,,1,0,1,0,0
2018-03-12T05,250.0,,49.0,,,1,0,1,0,0
2018-03-13T03,264.0,,48.0,,,1,0,1,0,0
2018-03-13T04,262.0,,48.0,,,1,0,1,0,0
2018-03-13T05,262.0,,48.0,,,1,0,1,0,0
2018-03-13T21,259.0,,45.0,,,1,0,1,0,0
2018-03-14T00,254.0,,44.0,,,1,0,1,0,0
2018-03-14T02,256.0,,43.0,,,1,0,1,0,0
2018-03-14T03,259.0,,43.0,,,1,0,1,0,0
2018-03-14T21,253.0,,41.0,,,1,0,1,0,0
2018-03-14T23,254.0,,41.0,,,1,0,1,0,0
2018-03-15T01,250.0,,40.0,,,1,0,1,0,0
2018-03-15T03,243.0,,39.0,,,1,0,1,0,0
2018-03-15T06,252.0,,41.0,,,1,0,1,0,0
2018-03-16T01,230.0,,18.0,,,1,0,1,0,0
2018-03-16T03,239.0,,17.0,,,1,0,1,0,0
2018-03-16T22,235.0,,12.0,,,1,0,1,0,0
2018-03-16T23,229.0,,12.0,,,1,0,1,0,0
2018-03-17T06,240.0,,12.0,,,1,0,1,0,0
2018-03-17T20,247.0,,10.0,,,1,0,1,0,0
2018-03-18T02,223.0,,9.0,,,1,0,1,0,0
2018-03-18T03,214.0,,9.0,,,1,0,1,0,0
2018-03-18T04,,,10.0,,,0,0,1,0,0
2018-03-18T05,242.0,,,,,1,0,0,0,0
2018-03-18T20,244.0,,9.0,,,1,0,1,0,0
2018-03-18T22,221.0,,9.0,,,1,0,1,0,0
2018-03-18T23,210.0,,8.0,,,1,0,1,0,0
2018-03-19T00,205.0,,8.0,,,1,0,1,0,0
2018-03-19T03,200.0,,8.0,,,1,0,1,0,0
2018-03-19T04,201.0,,8.0,,,1,0,1,0,0
2018-03-19T05,202.0,,8.0,,,1,0,1,0,0
2018-03-19T19,201.0,,7.0,,,1,0,1,0,0
2018-03-19T20,203.0,,7.0,,,1,0,1,0,0
2018-03-19T21,207.0,,7.0,,,1,0,1,0,0
2018-03-19T22,212.0,,7.0,,,1,0,1,0,0
2018-03-19T23,219.0,,7.0,,,1,0,1,0,0
2018-03-20T01,220.0,,7.0,,,1,0,1,0,0
2018-03-20T03,218.0,,7.0,,,1,0,1,0,0
2018-03-20T05,224.0,,7.0,,,1,0,1,0,0
2018-03-20T06,200.0,,7.0,,,1,0,1,0,0
2018-03-20T19,259.0,,8.0,,,1,0,1,0,0
2018-03-21T01,272.0,,8.0,,,1,0,1,0,0
2018-03-21T02,271.0,,8.0,,,1,0,1,0,0
2018-03-21T06,250.0,,8.0,,,1,0,1,0,0
2018-03-21T19,225.0,,7.0,,,1,0,1,0,0
2018-03-21T21,203.0,,7.0,,,1,0,1,0,0
2018-03-21T22,197.0,,7.0,,,1,0,1,0,0
2018-03-21T23,191.0,,7.0,,,1,0,1,0,0
2018-03-22T00,186.0,,7.0,,,1,0,1,0,0
2018-03-22T01,180.0,,7.0,,,1,0,1,0,0
2018-03-22T03,180.0,,8.0,,,1,0,1,0,0
2018-03-22T04,183.0,,8.0,,,1,0,1,0,0
2018-03-22T05,184.0,,8.0,,,1,0,1,0,0
2018-03-22T20,170.0,,7.0,,,1,0,1,0,0
2018-03-22T23,177.0,,7.0,,,1,0,1,0,0
2018-03-23T00,178.0,,8.0,,,1,0,1,0,0
2018-03-23T01,183.0,,8.0,,,1,0,1,0,0
2018-03-23T02,182.0,,7.0,,,1,0,1,0,0
2018-03-23T03,180.0,,8.0,,,1,0,1,0,0
2018-03-23T06,170.0,,8.0,,,1,0,1,0,0
2018-03-23T19,173.0,,6.0,,,1,0,1,0,0
2018-03-24T00,184.0,,6.0,,,1,0,1,0,0
2018-03-24T02,186.0,,5.0,,,1,0,1,0,0
2018-03-24T04,188.0,,5.0,,,1,0,1,0,0
2018-03-24T05,185.0,,5.0,,,1,0,1,0,0
2018-03-24T20,200.0,,4.0,,,1,0,1,0,0
2018-03-24T21,201.0,,4.0,,,1,0,1,0,0
2018-03-24T22,200.0,,4.0,,,1,0,1,0,0
2018-03-24T23,199.0,,4.0,,,1,0,1,0,0
2018-03-25T01,205.0,,4.0,,,1,0,1,0,0
2018-03-25T02,206.0,,4.0,,,1,0,1,0,0
2018-03-25T04,209.0,,4.0,,,1,0,1,0,0
2018-03-25T05,215.0,,4.0,,,1,0,1,0,0
2018-03-25T21,202.0,,6.0,,,1,0,1,0,0
2018-03-25T22,206.0,,6.0,,,1,0,1,0,0
2018-03-25T23,212.0,,6.0,,,1,0,1,0,0
2018-03-26T00,214.0,,6.0,,,1,0,1,0,0
2018-03-26T02,215.0,,6.0,,,1,0,1,0,0
2018-03-26T03,213.0,,6.0,,,1,0,1,0,0
2018-03-26T04,211.0,,6.0,,,1,0,1,0,0
2018-03-26T05,207.0,,6.0,,,1,0,1,0,0
2018-03-26T06,205.0,,6.0,,,1,0,1,0,0
2018-03-26T19,242.0,,48.0,,,1,0,1,0,0
2018-03-26T21,255.0,,52.0,,,1,0,1,0,0
2018-03-26T22,260.0,,54.0,,,1,0,1,0,0
2018-03-27T01,274.0,,60.0,,,1,0,1,0,0
2018-03-27T02,280.0,,62.0,,,1,0,1,0,0
2018-03-27T03,288.0,,64.0,,,1,0,1,0,0
2018-03-27T04,294.0,,66.0,,,1,0,1,0,0
2018-03-27T20,288.0,,36.0,,,1,0,1,0,0
2018-03-27T21,288.0,,34.0,,,1,0,1,0,0
2018-03-27T22,288.0,,33.0,,,1,0,1,0,0
2018-03-28T02,272.0,,26.0,,,1,0,1,0,0
2018-03-28T04,263.0,,22.0,,,1,0,1,0,0
2018-03-28T19,245.0,,22.0,,,1,0,1,0,0
2018-03-28T20,,298.0,,,,0,1,0,0,0
2018-03-28T22,,278.0,,,,0,1,0,0,0
2018-03-28T23,236.0,,27.0,,,1,0,1,0,0
2018-03-29T00,,264.0,,,,0,1,0,0,0
2018-03-29T01,224.0,263.0,29.0,,,1,1,1,0,0
2018-03-29T04,227.0,313.0,33.0,,,1,1,1,0,0
2018-03-29T06,248.0,,21.0,,,1,0,1,0,0
2018-03-30T00,237.0,291.0,29.0,,,1,1,1,0,0
2018-03-30T02,225.0,278.0,29.0,,,1,1,1,0,0
2018-03-30T03,219.0,272.0,29.0,,,1,1,1,0,0
2018-03-30T23,140.0,304.0,25.0,,,1,1,1,0,0
2018-03-31T01,121.0,308.0,24.0,,,1,1,1,0,0
2018-03-31T04,98.0,314.0,24.0,,,1,1,1,0,0
2018-03-31T05,98.0,315.0,23.0,,,1,1,1,0,0
2018-03-31T20,68.0,325.0,24.0,,,1,1,1,0,0
2018-03-31T22,62.0,306.0,24.0,,,1,1,1,0,0
2018-04-01T00,,284.0,23.0,,,0,1,1,0,0
2018-04-01T20,,297.0,23.0,,,0,1,1,0,0
2018-04-01T21,,297.0,23.0,,,0,1,1,0,0
2018-04-01T22,,297.0,23.0,,,0,1,1,0,0
2018-04-01T23,,297.0,23.0,,,0,1,1,0,0
2018-04-02T00,,299.0,23.0,,,0,1,1,0,0
2018-04-02T01,,301.0,23.0,,,0,1,1,0,0
2018-04-02T02,,282.0,22.0,,,0,1,1,0,0
2018-04-02T03,,307.0,23.0,,,0,1,1,0,0
2018-04-02T04,,265.0,21.0,,,0,1,1,0,0
2018-04-02T05,,302.0,24.0,,,0,1,1,0,0
2018-04-02T06,,295.0,23.0,,,0,1,1,0,0
2018-04-02T21,,319.0,23.0,,,0,1,1,0,0
2018-04-02T22,,321.0,22.0,,,0,1,1,0,0
2018-04-02T23,,322.0,22.0,,,0,1,1,0,0
2018-04-03T01,,323.0,22.0,,,0,1,1,0,0
2018-04-03T02,,321.0,21.0,,,0,1,1,0,0
2018-04-03T03,,314.0,21.0,,,0,1,1,0,0
2018-04-03T04,,311.0,21.0,,,0,1,1,0,0
2018-04-03T05,,310.0,21.0,,,0,1,1,0,0
2018-04-03T06,,314.0,23.0,,,0,1,1,0,0
2018-04-03T19,276.0,303.0,21.0,,,1,1,1,0,0
2018-04-03T20,277.0,302.0,21.0,,,1,1,1,0,0
2018-04-03T21,275.0,302.0,21.0,,,1,1,1,0,0
2018-04-03T22,275.0,302.0,21.0,1.0,,1,1,1,1,0
2018-04-03T23,,,,2.0,,0,0,0,1,0
2018-04-04T00,,,,2.0,,0,0,0,1,0
2018-04-04T01,254.0,298.0,20.0,2.0,,1,1,1,1,0
2018-04-04T02,262.0,301.0,20.0,2.0,,1,1,1,1,0
2018-04-04T04,277.0,320.0,21.0,4.0,,1,1,1,1,0
2018-04-04T05,283.0,331.0,21.0,,,1,1,1,0,0
2018-04-04T06,284.0,304.0,21.0,,,1,1,1,0,0
2018-04-04T19,279.0,338.0,19.0,12.0,,1,1,1,1,0
2018-04-04T20,279.0,339.0,18.0,16.0,,1,1,1,1,0
2018-04-04T21,279.0,339.0,18.0,22.0,,1,1,1,1,0
2018-04-04T22,279.0,340.0,17.0,23.0,,1,1,1,1,0
2018-04-04T23,279.0,341.0,17.0,23.0,,1,1,1,1,0
2018-04-05T00,280.0,341.0,16.0,23.0,,1,1,1,1,0
2018-04-05T02,280.0,342.0,15.0,22.0,,1,1,1,1,0
2018-04-05T03,280.0,343.0,15.0,21.0,,1,1,1,1,0
2018-04-05T04,280.0,342.0,14.0,15.0,,1,1,1,1,0
2018-04-05T05,276.0,332.0,13.0,12.0,,1,1,1,1,0
2018-04-05T06,278.0,337.0,20.0,5.0,,1,1,1,1,0
2018-04-05T19,238.0,288.0,7.0,4.0,,1,1,1,1,0
2018-04-05T22,232.0,274.0,6.0,5.0,,1,1,1,1,0
2018-04-06T03,215.0,237.0,5.0,7.0,,1,1,1,1,0
2018-04-06T04,211.0,232.0,5.0,7.0,,1,1,1,1,0
2018-04-06T05,212.0,238.0,5.0,8.0,,1,1,1,1,0
2018-04-06T19,225.0,242.0,3.0,3.0,,1,1,1,1,0
2018-04-06T20,219.0,228.0,3.0,3.0,,1,1,1,1,0
2018-04-06T21,204.0,220.0,3.0,3.0,,1,1,1,1,0
2018-04-06T23,184.0,209.0,4.0,3.0,,1,1,1,1,0
2018-04-07T00,181.0,206.0,4.0,3.0,,1,1,1,1,0
2018-04-07T02,173.0,202.0,3.0,5.0,,1,1,1,1,0
2018-04-07T03,162.0,197.0,3.0,5.0,,1,1,1,1,0
2018-04-07T04,149.0,191.0,3.0,5.0,,1,1,1,1,0
2018-04-07T05,136.0,183.0,3.0,5.0,,1,1,1,1,0
2018-04-07T06,229.0,252.0,3.0,3.0,,1,1,1,1,0
2018-04-07T19,106.0,148.0,4.0,14.0,,1,1,1,1,0
2018-04-07T20,104.0,151.0,3.0,14.0,,1,1,1,1,0
2018-04-07T21,105.0,152.0,3.0,14.0,,1,1,1,1,0
2018-04-07T22,106.0,154.0,3.0,15.0,,1,1,1,1,0
2018-04-07T23,102.0,154.0,3.0,16.0,,1,1,1,1,0
2018-04-08T00,94.0,152.0,3.0,18.0,,1,1,1,1,0
2018-04-08T01,88.0,152.0,3.0,19.0,,1,1,1,1,0
2018-04-08T03,78.0,148.0,3.0,19.0,,1,1,1,1,0
2018-04-08T04,78.0,146.0,3.0,12.0,,1,1,1,1,0
2018-04-08T05,79.0,143.0,,9.0,,1,1,0,1,0
2018-04-08T19,99.0,155.0,3.0,8.0,,1,1,1,1,0
2018-04-08T20,98.0,150.0,3.0,7.0,,1,1,1,1,0
2018-04-08T21,99.0,147.0,3.0,9.0,,1,1,1,1,0
2018-04-08T22,103.0,167.0,,9.0,,1,1,0,1,0
2018-04-08T23,103.0,167.0,3.0,9.0,,1,1,1,1,0
2018-04-09T00,103.0,167.0,2.0,9.0,,1,1,1,1,0
2018-04-09T01,103.0,167.0,,10.0,,1,1,0,1,0
2018-04-09T02,103.0,167.0,,10.0,,1,1,0,1,0
2018-04-09T03,105.0,179.0,3.0,9.0,,1,1,1,1,0
2018-04-09T04,104.0,171.0,3.0,9.0,,1,1,1,1,0
2018-04-09T06,101.0,160.0,3.0,9.0,,1,1,1,1,0
