hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-03-09T05,230.0,194.0,48.0,16.0,,1,1,1,1,0
2018-03-09T06,224.0,193.0,48.0,21.0,,1,1,1,1,0
2018-03-09T20,178.0,168.0,41.0,15.0,,1,1,1,1,0
2018-03-09T22,160.0,161.0,40.0,11.0,,1,1,1,1,0
2018-03-10T02,128.0,146.0,40.0,11.0,,1,1,1,1,0
2018-03-10T04,107.0,131.0,37.0,14.0,,1,1,1,1,0
2018-03-10T05,108.0,132.0,36.0,16.0,,1,1,1,1,0
2018-03-10T20,81.0,111.0,28.0,18.0,,1,1,1,1,0
2018-03-10T21,80.0,110.0,27.0,14.0,,1,1,1,1,0
2018-03-10T22,79.0,117.0,27.0,11.0,,1,1,1,1,0
2018-03-10T23,79.0,117.0,27.0,11.0,,1,1,1,1,0
2018-03-11T01,79.0,110.0,28.0,12.0,,1,1,1,1,0
2018-03-11T02,86.0,114.0,28.0,12.0,,1,1,1,1,0
2018-03-11T03,94.0,116.0,28.0,13.0,,1,1,1,1,0
2018-03-11T04,96.0,118.0,28.0,14.0,,1,1,1,1,0
2018-03-11T05,92.0,114.0,28.0,18.0,,1,1,1,1,0
2018-03-11T06,87.0,116.0,30.0,26.0,,1,1,1,1,0
2018-03-11T21,113.0,134.0,33.0,12.0,,1,1,1,1,0
2018-03-11T22,112.0,135.0,33.0,11.0,,1,1,1,1,0
2018-03-11T23,112.0,136.0,33.0,11.0,,1,1,1,1,0
2018-03-12T00,112.0,138.0,33.0,11.0,,1,1,1,1,0
2018-03-12T01,110.0,138.0,33.0,11.0,,1,1,1,1,0
2018-03-12T03,101.0,133.0,34.0,11.0,,1,1,1,1,0
2018-03-12T05,100.0,,35.0,16.0,,1,0,1,1,0
2018-03-12T20,,153.0,,,,0,1,0,0,0
2018-03-13T03,135.0,150.0,34.0,11.0,,1,1,1,1,0
2018-03-13T04,135.0,152.0,35.0,12.0,,1,1,1,1,0
2018-03-13T05,137.0,153.0,36.0,14.0,,1,1,1,1,0
2018-03-13T21,159.0,172.0,38.0,11.0,,1,1,1,1,0
2018-03-14T00,167.0,181.0,39.0,11.0,,1,1,1,1,0
2018-03-14T02,157.0,179.0,39.0,11.0,,1,1,1,1,0
2018-03-14T03,155.0,178.0,39.0,11.0,,1,1,1,1,0
2018-03-14T21,,212.0,32.0,14.0,,0,1,1,1,0
2018-03-14T23,,208.0,32.0,11.0,,0,1,1,1,0
2018-03-15T06,155.0,218.0,34.0,36.0,,1,1,1,1,0
2018-03-16T22,,,,55.0,,0,0,0,1,0
2018-03-16T23,,,,47.0,,0,0,0,1,0
2018-03-17T02,,,,54.0,,0,0,0,1,0
2018-03-17T03,,,,55.0,,0,0,0,1,0
2018-03-17T04,,,,50.0,,0,0,0,1,0
2018-03-17T05,176.0,125.0,25.0,,,1,1,1,0,0
2018-03-17T20,156.0,127.0,28.0,20.0,,1,1,1,1,0
2018-03-18T02,148.0,129.0,28.0,11.0,,1,1,1,1,0
2018-03-18T03,143.0,127.0,28.0,12.0,,1,1,1,1,0
2018-03-18T04,140.0,125.0,28.0,14.0,,1,1,1,1,0
2018-03-21T19,196.0,196.0,32.0,21.0,,1,1,1,1,0
2018-03-21T21,178.0,185.0,29.0,22.0,,1,1,1,1,0
2018-03-21T22,170.0,180.0,28.0,21.0,,1,1,1,1,0
2018-03-21T23,161.0,175.0,28.0,20.0,,1,1,1,1,0
2018-03-22T00,152.0,171.0,27.0,19.0,,1,1,1,1,0
2018-03-22T01,143.0,165.0,27.0,18.0,,1,1,1,1,0
2018-03-22T03,124.0,148.0,26.0,16.0,,1,1,1,1,0
2018-03-22T04,116.0,142.0,26.0,15.0,,1,1,1,1,0
2018-03-22T05,110.0,138.0,25.0,15.0,,1,1,1,1,0
2018-03-22T06,106.0,134.0,25.0,15.0,,1,1,1,1,0
2018-03-22T20,106.0,131.0,27.0,28.0,,1,1,1,1,0
2018-03-22T23,104.0,131.0,26.0,20.0,,1,1,1,1,0
2018-03-23T00,102.0,131.0,26.0,20.0,,1,1,1,1,0
2018-03-23T01,102.0,131.0,26.0,19.0,,1,1,1,1,0
2018-03-23T02,101.0,130.0,26.0,19.0,,1,1,1,1,0
2018-03-23T03,99.0,129.0,25.0,19.0,,1,1,1,1,0
2018-03-23T06,107.0,130.0,26.0,38.0,,1,1,1,1,0
2018-03-23T19,76.0,118.0,26.0,24.0,,1,1,1,1,0
2018-03-24T00,82.0,122.0,28.0,12.0,,1,1,1,1,0
2018-03-24T02,84.0,124.0,29.0,12.0,,1,1,1,1,0
2018-03-24T04,86.0,126.0,29.0,16.0,,1,1,1,1,0
2018-03-24T05,87.0,126.0,29.0,20.0,,1,1,1,1,0
2018-03-24T20,80.0,123.0,25.0,25.0,,1,1,1,1,0
2018-03-24T21,79.0,122.0,25.0,20.0,,1,1,1,1,0
2018-03-24T22,78.0,123.0,25.0,16.0,,1,1,1,1,0
2018-03-24T23,78.0,123.0,25.0,12.0,,1,1,1,1,0
2018-03-25T01,76.0,124.0,24.0,14.0,,1,1,1,1,0
2018-03-25T02,75.0,124.0,24.0,16.0,,1,1,1,1,0
2018-03-25T03,79.0,123.0,24.0,15.0,,1,1,1,1,0
2018-03-25T04,78.0,123.0,25.0,15.0,,1,1,1,1,0
2018-03-25T05,106.0,134.0,25.0,21.0,,1,1,1,1,0
2018-03-25T21,100.0,129.0,25.0,21.0,,1,1,1,1,0
2018-03-25T22,101.0,129.0,25.0,18.0,,1,1,1,1,0
2018-03-25T23,101.0,128.0,24.0,17.0,,1,1,1,1,0
2018-03-26T00,98.0,127.0,24.0,17.0,,1,1,1,1,0
2018-03-26T02,92.0,124.0,25.0,17.0,,1,1,1,1,0
2018-03-26T03,96.0,126.0,25.0,18.0,,1,1,1,1,0
2018-03-26T04,96.0,125.0,25.0,20.0,,1,1,1,1,0
2018-03-26T05,94.0,125.0,25.0,22.0,,1,1,1,1,0
2018-03-26T06,101.0,129.0,25.0,34.0,,1,1,1,1,0
2018-03-26T19,101.0,131.0,28.0,22.0,,1,1,1,1,0
2018-03-26T21,115.0,139.0,30.0,13.0,,1,1,1,1,0
2018-03-26T22,122.0,143.0,31.0,11.0,,1,1,1,1,0
2018-03-27T01,132.0,148.0,31.0,11.0,,1,1,1,1,0
2018-03-27T02,127.0,148.0,32.0,11.0,,1,1,1,1,0
2018-03-27T03,120.0,147.0,32.0,11.0,,1,1,1,1,0
2018-03-27T04,121.0,147.0,33.0,13.0,,1,1,1,1,0
