hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-03-09T05,339.0,357.0,114.0,29.0,55.0,1,1,1,1,1
2018-03-09T06,332.0,353.0,113.0,35.0,56.0,1,1,1,1,1
2018-03-09T20,250.0,264.0,102.0,106.0,57.0,1,1,1,1,1
2018-03-09T22,233.0,243.0,101.0,108.0,60.0,1,1,1,1,1
2018-03-10T02,188.0,193.0,98.0,51.0,54.0,1,1,1,1,1
2018-03-10T04,186.0,184.0,97.0,31.0,51.0,1,1,1,1,1
2018-03-10T05,184.0,184.0,97.0,25.0,50.0,1,1,1,1,1
2018-03-10T20,153.0,171.0,80.0,94.0,55.0,1,1,1,1,1
2018-03-10T21,152.0,170.0,79.0,97.0,56.0,1,1,1,1,1
2018-03-10T22,151.0,172.0,78.0,95.0,57.0,1,1,1,1,1
2018-03-10T23,154.0,173.0,78.0,92.0,60.0,1,1,1,1,1
2018-03-11T01,160.0,176.0,76.0,66.0,63.0,1,1,1,1,1
2018-03-11T02,160.0,176.0,75.0,60.0,65.0,1,1,1,1,1
2018-03-11T03,160.0,176.0,74.0,51.0,66.0,1,1,1,1,1
2018-03-11T04,162.0,175.0,72.0,38.0,69.0,1,1,1,1,1
2018-03-11T05,165.0,176.0,71.0,51.0,71.0,1,1,1,1,1
2018-03-11T06,157.0,173.0,83.0,81.0,48.0,1,1,1,1,1
2018-03-11T21,199.0,204.0,81.0,31.0,53.0,1,1,1,1,1
2018-03-11T22,205.0,204.0,80.0,31.0,52.0,1,1,1,1,1
2018-03-11T23,212.0,205.0,79.0,38.0,52.0,1,1,1,1,1
2018-03-12T00,218.0,209.0,80.0,54.0,53.0,1,1,1,1,1
2018-03-12T01,221.0,210.0,80.0,63.0,53.0,1,1,1,1,1
2018-03-12T03,222.0,212.0,83.0,82.0,54.0,1,1,1,1,1
2018-03-12T05,229.0,221.0,86.0,71.0,52.0,1,1,1,1,1
2018-03-13T03,229.0,232.0,95.0,69.0,61.0,1,1,1,1,1
2018-03-13T04,228.0,230.0,97.0,51.0,64.0,1,1,1,1,1
2018-03-13T05,227.0,230.0,97.0,39.0,65.0,1,1,1,1,1
2018-03-13T21,244.0,275.0,102.0,28.0,59.0,1,1,1,1,1
2018-03-14T00,255.0,298.0,103.0,18.0,56.0,1,1,1,1,1
2018-03-14T02,256.0,307.0,103.0,20.0,56.0,1,1,1,1,1
2018-03-14T03,258.0,314.0,104.0,22.0,54.0,1,1,1,1,1
2018-03-14T21,252.0,365.0,103.0,12.0,46.0,1,1,1,1,1
2018-03-14T23,252.0,363.0,101.0,6.0,46.0,1,1,1,1,1
2018-03-15T01,246.0,351.0,99.0,4.0,41.0,1,1,1,1,1
2018-03-15T03,241.0,348.0,96.0,4.0,39.0,1,1,1,1,1
2018-03-15T06,244.0,347.0,101.0,33.0,41.0,1,1,1,1,1
2018-03-16T01,234.0,323.0,71.0,22.0,54.0,1,1,1,1,1
