hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,39.5,115.0,20.6,25.5,10.5,1,1,1,1,1
2018-08-10T06,45.0,123.0,23.333,21.167,11.933,1,1,1,1,1
2018-08-10T07,48.0,121.0,21.7,18.85,12.7,1,1,1,1,1
2018-08-10T08,78.0,201.0,38.233,10.0,13.2,1,1,1,1,1
2018-08-10T09,76.0,165.0,50.2,3.9,14.0,1,1,1,1,1
2018-08-10T10,41.667,89.667,57.967,8.133,13.467,1,1,1,1,1
2018-08-10T11,55.25,72.0,53.0,8.9,13.2,1,1,1,1,1
2018-08-10T12,68.0,75.0,49.3,8.6,11.3,1,1,1,1,1
2018-08-10T13,40.75,95.75,,8.15,,1,1,0,1,0
2018-08-10T14,43.0,92.0,,2.15,,1,1,0,1,0
2018-08-10T15,45.0,84.0,,,,1,1,0,0,0
2018-08-10T16,41.0,99.0,,37.6,,1,1,0,1,0
2018-08-10T21,19.0,68.0,,,,1,1,0,0,0
2018-08-10T22,19.0,68.0,,,,1,1,0,0,0
2018-08-10T23,17.0,64.0,,15.9,,1,1,0,1,0
2018-08-11T00,,48.0,23.15,4.3,13.267,0,1,1,1,1
2018-08-11T01,,46.0,19.967,4.433,14.933,0,1,1,1,1
2018-08-11T02,,36.0,19.5,5.233,13.533,0,1,1,1,1
2018-08-11T03,32.0,107.0,17.5,7.3,12.7,1,1,1,1,1
2018-08-11T04,45.5,117.0,14.2,9.7,12.7,1,1,1,1,1
2018-08-11T05,63.0,98.0,14.067,9.833,12.633,1,1,1,1,1
2018-08-11T07,,106.0,14.3,14.7,12.6,0,1,1,1,1
2018-08-11T10,26.0,107.5,19.2,9.5,13.25,1,1,1,1,1
2018-08-11T11,24.0,101.0,17.3,11.467,13.433,1,1,1,1,1
2018-08-11T12,24.0,108.0,18.275,12.775,11.525,1,1,1,1,1
2018-08-11T13,24.0,120.0,21.8,9.467,10.833,1,1,1,1,1
2018-08-11T15,14.0,75.5,25.125,8.925,11.0,1,1,1,1,1
2018-08-11T16,14.25,74.75,27.225,9.075,10.975,1,1,1,1,1
2018-08-11T17,26.0,85.75,24.65,8.15,10.9,1,1,1,1,1
2018-08-11T18,59.0,85.0,20.375,9.5,10.175,1,2,2,2,2
2018-08-11T19,12.25,70.75,17.675,8.8,9.625,1,1,1,1,1
2018-08-11T20,15.0,66.25,18.8,8.35,12.6,1,1,1,1,1
2018-08-11T21,21.0,73.0,20.3,7.767,10.333,1,1,1,1,1
2018-08-11T22,6.0,54.5,18.05,7.775,9.7,1,1,1,1,1
2018-08-11T23,9.0,40.75,16.625,7.425,9.8,1,1,1,1,1
2018-08-12T00,9.0,72.75,17.775,7.3,10.475,1,1,1,1,1
2018-08-12T01,12.0,68.333,16.167,7.033,11.333,1,1,1,1,1
