hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-04-28T15,103.7,,45.22,,27.81,1,0,1,0,1
2018-04-28T16,98.875,,33.88,,31.373,1,0,1,0,1
2018-04-28T17,91.967,,35.337,,23.63,1,0,1,0,1
2018-04-28T18,95.0,,45.6,,49.615,2,0,2,0,2
2018-04-28T19,88.525,,50.88,,67.74,1,0,1,0,1
2018-04-28T20,59.2,,51.89,,120.64,1,0,1,0,1
2018-04-28T21,79.7,,42.683,,38.617,1,0,1,0,1
2018-04-28T22,71.0,,46.313,,38.647,1,0,1,0,1
2018-04-28T23,71.4,,42.003,,45.937,1,0,1,0,1
2018-04-29T00,109.3,,54.652,,171.19,1,0,1,0,1
2018-04-29T01,116.5,,49.68,,157.447,1,0,1,0,1
2018-04-29T02,155.2,,40.005,,124.405,1,0,1,0,1
2018-04-29T03,124.5,,31.94,,57.315,1,0,1,0,1
2018-04-29T04,90.6,,25.34,,20.245,1,0,1,0,1
2018-04-29T05,92.05,,23.68,,19.6,1,0,1,0,1
2018-04-29T06,92.1,,26.245,,15.495,1,0,1,0,1
2018-04-29T07,69.5,,20.877,,4.537,1,0,1,0,1
2018-04-29T08,64.775,,19.34,,1.95,1,0,1,0,1
2018-04-29T09,93.333,,21.987,,3.747,1,0,1,0,1
2018-04-29T10,79.3,,18.857,,5.317,1,0,1,0,1
2018-04-29T11,89.5,,34.097,,4.07,1,0,1,0,1
2018-04-29T12,67.5,,45.17,,3.38,1,0,1,0,1
2018-04-29T13,87.15,,110.957,,6.965,1,0,1,0,1
2018-04-29T14,125.25,,113.96,,11.593,1,0,1,0,1
2018-04-29T15,147.65,,72.573,,11.757,1,0,1,0,1
2018-04-29T16,102.975,,78.745,,10.982,1,0,1,0,1
2018-04-29T17,91.475,,86.35,,12.642,1,0,1,0,1
2018-04-29T18,94.2,,98.022,,15.026,2,0,2,0,2
2018-04-29T19,65.533,,108.853,,15.427,1,0,1,0,1
2018-04-29T20,101.9,,107.727,,13.35,1,0,1,0,1
2018-04-29T21,72.433,,105.327,,14.21,1,0,1,0,1
2018-04-29T22,44.675,,94.487,,15.005,1,0,1,0,1
2018-04-29T23,46.767,,88.203,,16.813,1,0,1,0,1
2018-04-30T00,80.725,,58.215,,49.898,1,0,1,0,1
2018-04-30T01,111.0,,54.66,,37.37,1,0,1,0,1
2018-04-30T04,60.4,,26.66,,12.585,1,0,1,0,1
2018-04-30T05,58.9,,21.97,,10.13,1,0,1,0,1
2018-04-30T06,51.4,,21.16,,7.173,1,0,1,0,1
2018-04-30T07,47.7,,22.973,,5.737,1,0,1,0,1
2018-04-30T08,56.2,,19.34,,5.955,1,0,1,0,1
2018-04-30T09,48.2,,29.387,,7.84,1,0,1,0,1
2018-04-30T10,51.975,,34.832,,10.713,1,0,1,0,1
2018-04-30T11,78.55,,44.277,,14.895,1,0,1,0,1
2018-04-30T12,75.5,,65.963,,23.637,1,0,1,0,1
2018-04-30T13,102.75,,54.31,,11.845,1,0,1,0,1
2018-04-30T14,90.375,,52.752,,7.993,1,0,1,0,1
2018-04-30T15,82.85,,47.36,,9.252,1,0,1,0,1
2018-04-30T16,83.2,,38.14,,8.825,1,0,1,0,1
2018-04-30T17,72.35,,40.117,,12.845,1,0,1,0,1
2018-04-30T18,65.8,,28.947,,12.061,2,0,2,0,2
2018-04-30T19,61.225,,25.208,,12.85,1,0,1,0,1
2018-04-30T20,44.35,,24.97,,12.133,1,0,1,0,1
2018-04-30T21,62.95,,21.82,,11.095,1,0,1,0,1
2018-04-30T22,57.3,,20.12,,9.963,1,0,1,0,1
2018-04-30T23,49.725,,19.662,,9.317,1,0,1,0,1
2018-05-01T00,61.35,,30.297,,8.81,1,0,1,0,1
2018-05-01T01,54.425,,27.427,,8.82,1,0,1,0,1
2018-05-01T02,57.075,,22.765,,9.183,1,0,1,0,1
2018-05-01T03,65.175,,18.545,,7.235,1,0,1,0,1
2018-05-01T04,51.425,,17.905,,4.44,1,0,1,0,1
2018-05-01T05,65.975,,20.372,,4.415,1,0,1,0,1
2018-05-01T06,40.275,,17.098,,7.15,1,0,1,0,1
2018-05-01T07,55.55,,26.763,,7.712,1,0,1,0,1
2018-05-01T08,36.4,,19.08,,8.575,1,0,1,0,1
2018-05-01T09,53.733,,16.387,,7.183,1,0,1,0,1
2018-05-01T10,60.3,,17.415,,8.095,1,0,1,0,1
2018-05-01T11,38.575,,19.44,,8.607,1,0,1,0,1
2018-05-01T12,61.525,,30.1,,7.228,1,0,1,0,1
2018-05-01T13,81.55,,42.075,,9.33,1,0,1,0,1
2018-05-01T14,70.95,,48.483,,10.493,1,0,1,0,1
2018-05-01T15,51.9,,41.587,,13.03,1,0,1,0,1
2018-05-01T16,57.867,,47.953,,21.14,1,0,1,0,1
2018-05-01T17,44.525,,57.203,,17.245,1,0,1,0,1
2018-05-01T18,51.4,,41.055,,13.02,2,0,2,0,2
2018-05-01T19,30.6,,23.873,,8.703,1,0,1,0,1
2018-05-01T20,59.3,,19.677,,7.728,1,0,1,0,1
2018-05-01T21,48.633,,16.85,,6.217,1,0,1,0,1
2018-05-01T22,56.575,,23.357,,6.777,1,0,1,0,1
2018-05-01T23,52.725,,27.052,,14.7,1,0,1,0,1
2018-05-02T00,52.3,,31.137,,15.483,1,0,1,0,1
2018-05-02T01,42.625,,26.253,,12.558,1,0,1,0,1
2018-05-02T02,71.825,,22.637,,11.703,1,0,1,0,1
2018-05-02T03,50.975,,22.492,,11.912,1,0,1,0,1
2018-05-02T04,37.225,,19.692,,6.002,1,0,1,0,1
2018-05-02T05,58.65,,16.188,,7.607,1,0,1,0,1
2018-05-02T06,49.725,,20.593,,9.902,1,0,1,0,1
2018-05-02T07,25.8,,15.26,,5.26,1,0,1,0,1
2018-05-02T08,33.2,,14.835,,3.6,1,0,1,0,1
2018-05-02T09,31.8,,16.273,,3.128,1,0,1,0,1
2018-05-02T10,37.767,,25.227,,3.483,1,0,1,0,1
2018-05-02T11,218.433,,26.073,,3.947,1,0,1,0,1
2018-05-02T12,201.05,,25.768,,6.158,1,0,1,0,1
2018-05-02T13,136.533,,28.537,,6.217,1,0,1,0,1
2018-05-02T14,113.15,,42.92,,10.405,1,0,1,0,1
2018-05-02T15,86.8,,55.663,,11.623,1,0,1,0,1
2018-05-02T16,64.3,,109.59,,8.59,1,0,1,0,1
2018-05-02T17,48.3,,43.813,,8.78,1,0,1,0,1
2018-05-02T19,15.4,,30.107,,7.727,1,0,1,0,1
2018-05-02T20,39.9,,35.287,,7.057,1,0,1,0,1
2018-05-02T21,20.4,,32.19,,12.16,1,0,1,0,1
2018-05-02T22,44.4,,27.645,,12.68,1,0,1,0,1
