hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2019-04-27T11,47.0,337.0,43.1,86.305,11.95,1,1,1,1,1
2019-04-27T12,50.0,401.0,89.4,43.55,13.7,1,1,1,1,1
2019-04-27T14,76.5,368.5,137.2,3.725,16.4,1,1,1,1,1
2019-04-27T15,84.0,371.0,130.4,3.14,19.4,1,1,1,1,1
2019-04-27T16,81.0,405.0,102.65,16.26,22.6,1,1,1,1,1
2019-04-27T19,119.0,429.0,70.5,169.25,145.6,1,1,1,1,1
2019-04-27T20,114.5,389.25,50.2,56.458,38.933,1,1,1,1,1
2019-04-27T21,80.75,346.0,46.15,46.067,47.725,1,1,1,1,1
2019-04-27T22,85.75,317.5,47.95,46.495,52.733,1,1,1,1,1
2019-04-27T23,85.333,300.667,51.733,29.183,32.7,1,1,1,1,1
2019-04-28T00,64.5,274.0,52.1,38.065,39.45,1,1,1,1,1
2019-04-28T01,63.0,258.5,58.0,39.82,32.7,1,1,1,1,1
2019-04-28T02,68.0,274.667,51.533,81.16,35.75,1,1,1,1,1
2019-04-28T03,66.0,280.0,48.433,98.68,43.5,1,1,1,1,1
2019-04-28T04,73.0,325.0,51.9,124.172,24.3,1,1,1,1,1
2019-04-28T05,70.25,379.25,45.525,134.877,20.7,1,1,1,1,1
2019-04-28T06,55.667,354.667,32.967,108.813,12.5,1,1,1,1,1
2019-04-28T07,42.75,386.0,29.6,109.147,14.375,1,1,1,1,1
2019-04-28T08,42.0,338.75,40.3,101.802,15.333,1,1,1,1,1
2019-04-28T09,42.5,265.25,40.375,137.97,18.1,1,1,1,1,1
2019-04-28T10,44.667,251.333,47.6,158.44,16.8,1,1,1,1,1
2019-04-28T11,46.0,253.0,54.967,91.397,11.2,1,1,1,1,1
2019-04-28T12,53.0,299.0,120.3,54.775,29.95,1,1,1,1,1
2019-04-28T13,72.75,357.5,177.75,43.683,59.775,1,1,1,1,1
2019-04-28T14,120.0,448.667,170.767,66.733,73.8,1,1,1,1,1
2019-04-28T15,132.667,454.0,170.933,39.043,52.567,1,1,1,1,1
2019-04-28T16,118.75,416.5,153.2,73.795,93.833,1,1,1,1,1
2019-04-28T17,112.5,424.0,156.25,139.553,125.775,1,1,1,1,1
2019-04-28T18,132.0,459.0,141.784,249.882,195.95,2,2,2,2,2
2019-04-28T19,161.0,429.25,127.7,220.653,150.8,1,1,1,1,1
2019-04-28T20,107.667,340.333,108.1,118.383,200.6,1,1,1,1,1
2019-04-28T21,102.333,316.0,107.433,123.59,191.367,1,1,1,1,1
2019-04-28T22,99.0,297.0,83.85,25.745,44.7,1,1,1,1,1
2019-04-28T23,85.0,268.0,75.0,17.15,36.433,1,1,1,1,1
2019-04-29T00,67.5,229.25,91.95,5.788,27.033,1,1,1,1,1
2019-04-29T01,74.0,266.0,150.6,0.12,153.5,1,1,1,1,1
2019-04-29T02,92.5,335.25,135.2,35.01,38.7,1,1,1,1,1
2019-04-29T03,99.25,328.75,102.9,85.8,59.0,1,1,1,1,1
2019-04-29T04,92.667,328.667,72.3,132.413,46.3,1,1,1,1,1
2019-04-29T05,72.0,281.0,51.75,131.89,25.85,1,1,1,1,1
2019-04-29T06,60.0,244.0,42.867,149.057,23.1,1,1,1,1,1
2019-04-29T07,50.25,210.0,38.2,142.135,17.875,1,1,1,1,1
2019-04-29T08,42.0,186.75,39.5,132.468,14.867,1,1,1,1,1
2019-04-29T09,41.75,192.75,37.4,121.6,13.0,1,1,1,1,1
2019-04-29T10,41.0,204.0,43.55,117.705,12.9,1,1,1,1,1
2019-04-29T11,42.667,211.667,65.0,99.763,10.733,1,1,1,1,1
2019-04-29T12,42.0,233.0,156.7,40.417,13.85,1,1,1,1,1
2019-04-29T13,82.25,358.25,225.65,8.578,42.525,1,1,1,1,1
2019-04-29T14,134.5,483.75,245.15,1.515,41.867,1,1,1,1,1
2019-04-29T15,163.0,516.0,323.4,0.71,86.5,1,1,1,1,1
2019-04-29T16,178.333,544.333,155.033,3.45,131.8,1,1,1,1,1
2019-04-29T17,136.667,394.333,128.867,13.08,73.0,1,1,1,1,1
2019-04-29T18,150.0,367.167,97.534,35.095,58.725,2,2,2,2,2
2019-04-29T19,115.0,325.0,68.8,52.377,45.7,1,1,1,1,1
2019-04-29T20,100.667,282.667,64.767,54.107,43.65,1,1,1,1,1
2019-04-29T21,88.0,232.333,84.1,26.03,33.633,1,1,1,1,1
2019-04-29T22,85.25,206.0,111.475,5.752,44.533,1,1,1,1,1
2019-04-29T23,101.0,233.0,113.467,0.78,52.333,1,1,1,1,1
2019-04-30T00,117.667,312.0,127.367,,47.85,1,1,1,0,1
2019-04-30T01,146.75,408.25,160.6,8.02,158.2,1,1,1,1,1
2019-04-30T02,154.0,417.25,124.9,76.19,40.067,1,1,1,1,1
2019-04-30T03,124.0,370.0,96.3,115.137,37.167,1,1,1,1,1
2019-04-30T04,111.0,329.0,71.75,145.98,30.6,1,1,1,1,1
2019-04-30T05,82.333,295.0,40.467,163.167,18.1,1,1,1,1,1
2019-04-30T06,55.667,253.333,34.933,153.467,15.9,1,1,1,1,1
2019-04-30T07,47.75,239.75,35.8,156.115,16.65,1,1,1,1,1
2019-04-30T08,55.0,261.333,34.933,157.977,15.3,1,1,1,1,1
2019-04-30T09,53.0,246.0,28.6,145.03,13.35,1,1,1,1,1
2019-04-30T10,45.0,210.0,30.85,139.845,13.9,1,1,1,1,1
2019-04-30T11,52.0,233.5,72.95,111.915,16.15,1,1,1,1,1
2019-04-30T12,59.0,292.25,101.45,80.265,18.333,1,1,1,1,1
2019-04-30T13,74.0,396.0,103.867,83.427,31.367,1,1,1,1,1
2019-04-30T14,79.25,398.25,120.7,69.147,29.1,1,1,1,1,1
2019-04-30T15,105.667,483.667,114.6,71.033,38.9,1,1,1,1,1
2019-04-30T16,121.0,492.5,104.025,77.695,39.8,1,1,1,1,1
2019-04-30T17,103.0,443.0,121.25,64.425,74.05,1,1,1,1,1
2019-04-30T18,120.166,444.0,101.133,74.475,48.375,2,2,2,2,2
2019-04-30T19,121.0,444.0,70.75,76.465,50.65,1,1,1,1,1
2019-04-30T20,133.0,461.0,59.4,62.25,40.5,1,1,1,1,1
2019-04-30T21,156.0,396.75,76.6,37.222,42.875,1,1,1,1,1
2019-04-30T22,134.0,351.0,74.667,36.5,34.533,1,1,1,1,1
2019-04-30T23,117.5,310.5,93.925,23.383,38.475,1,1,1,1,1
2019-05-01T00,156.5,405.0,95.2,15.26,64.05,1,1,1,1,1
2019-05-01T01,189.25,469.75,107.3,22.448,235.5,1,1,1,1,1
2019-05-01T02,147.25,400.0,101.375,57.53,112.567,1,1,1,1,1
2019-05-01T03,145.333,421.0,89.867,93.413,73.367,1,1,1,1,1
2019-05-01T04,146.0,427.0,94.9,194.16,79.3,1,1,1,1,1
2019-05-01T05,164.5,486.25,77.5,228.37,52.9,1,1,1,1,1
2019-05-01T06,147.75,466.0,53.45,243.817,33.8,1,1,1,1,1
2019-05-01T07,116.0,400.5,44.7,242.44,25.95,1,1,1,1,1
2019-05-01T08,94.333,334.333,40.067,205.847,24.3,1,1,1,1,1
2019-05-01T09,72.25,266.25,38.2,202.378,21.975,1,1,1,1,1
2019-05-01T10,63.75,247.0,43.75,174.89,22.033,1,1,1,1,1
2019-05-01T11,71.0,279.5,134.9,106.085,22.3,1,1,1,1,1
2019-05-01T12,101.0,481.333,276.667,44.465,21.85,1,1,1,1,1
2019-05-01T13,151.0,730.5,267.8,11.78,32.0,1,1,1,1,1
2019-05-01T14,140.75,600.25,99.1,62.602,20.9,1,1,1,1,1
2019-05-01T15,99.333,373.667,125.567,44.257,17.067,1,1,1,1,1
2019-05-01T16,111.75,344.75,220.6,3.393,19.1,1,1,1,1,1
2019-05-01T17,104.0,336.667,200.267,1.4,19.833,1,1,1,1,1
2019-05-01T18,105.334,343.833,189.166,17.4,28.1,2,2,2,1,2
2019-05-01T19,133.333,454.0,73.0,33.283,40.367,1,1,1,1,1
2019-05-01T20,142.5,425.25,56.425,36.138,27.833,1,1,1,1,1
2019-05-01T21,74.0,248.0,44.3,47.84,22.1,1,1,1,1,1
2019-05-01T22,67.5,225.0,50.2,41.445,24.75,1,1,1,1,1
2019-05-01T23,60.5,208.0,51.425,44.105,41.2,1,1,1,1,1
2019-05-02T00,65.0,231.75,55.625,45.255,41.133,1,1,1,1,1
2019-05-02T01,85.333,266.333,96.0,30.073,146.0,1,1,1,1,1
2019-05-02T02,82.5,290.0,87.45,54.9,29.45,1,1,1,1,1
2019-05-02T03,69.667,319.333,49.967,79.157,16.467,1,1,1,1,1
2019-05-02T04,59.0,400.0,54.267,82.1,29.5,1,1,1,1,1
2019-05-02T05,79.0,399.0,84.2,75.733,49.533,1,1,1,1,1
2019-05-02T06,84.0,400.25,51.8,108.44,23.567,1,1,1,1,1
2019-05-02T07,75.0,384.5,47.0,115.76,20.2,1,1,1,1,1
2019-05-02T08,68.0,370.0,51.267,121.743,22.05,1,1,1,1,1
2019-05-02T09,65.0,324.5,61.0,128.83,29.3,1,1,1,1,1
2019-05-02T10,64.0,329.0,67.2,127.07,,1,1,1,1,0
2019-05-02T11,64.0,312.0,68.9,117.99,22.4,1,1,1,1,1
2019-05-02T12,68.0,338.0,61.4,98.71,,1,1,1,1,0
2019-05-02T13,55.0,647.25,69.75,90.672,12.3,1,1,1,1,1
2019-05-02T14,34.0,177.0,65.0,74.24,,1,1,1,1,0
2019-05-02T15,49.0,249.0,72.067,67.61,13.733,1,1,1,1,1
2019-05-02T16,49.0,201.0,58.1,81.857,14.9,1,1,1,1,1
2019-05-02T17,44.5,244.5,40.6,79.965,18.6,1,1,1,1,1
2019-05-02T18,36.5,153.5,32.6,85.495,13.7,1,1,1,1,1
2019-05-02T19,36.333,134.333,34.1,75.107,20.8,1,1,1,1,1
2019-05-02T20,33.667,101.0,34.4,74.93,18.55,1,1,1,1,1
2019-05-02T21,27.0,105.0,50.4,49.71,26.0,1,1,1,1,1
2019-05-02T22,34.5,114.0,77.8,35.965,27.8,1,1,1,1,1
2019-05-02T23,54.0,137.667,80.533,28.18,42.3,1,1,1,1,1
2019-05-03T00,97.0,210.75,96.225,16.235,28.567,1,1,1,1,1
2019-06-18T22,170.0,276.0,64.4,7.11,58.4,1,1,1,1,1
2019-06-18T23,170.0,276.0,58.733,9.617,72.633,1,1,1,1,1
