hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T06,35.0,85.0,27.9,91.8,9.8,1,1,1,1,1
2018-08-10T07,46.0,136.0,63.6,66.2,8.6,1,1,1,1,1
2018-08-10T13,58.0,101.0,,,,1,1,0,0,0
2018-08-11T10,42.0,55.0,48.8,12.8,,1,1,1,1,0
2018-08-11T15,35.0,101.0,54.0,5.0,9.2,1,1,1,1,1
2018-08-11T19,25.0,44.0,24.0,,11.8,1,1,1,0,1
2018-08-11T20,20.0,31.0,19.1,14.133,9.3,1,1,1,1,1
2018-08-11T21,22.0,46.0,16.7,17.6,10.8,1,1,1,1,1
2018-08-11T22,22.0,47.0,22.2,9.9,11.4,1,1,1,1,1
2018-08-11T23,19.333,49.333,20.1,10.7,9.2,1,1,1,1,1
2018-08-12T00,22.0,52.0,20.8,8.8,8.3,1,1,1,1,1
2018-08-12T01,25.0,47.0,25.3,4.7,8.9,1,1,1,1,1
2018-08-12T02,25.0,47.0,27.4,4.3,9.6,1,1,1,1,1
2018-08-12T04,18.0,55.0,24.9,11.0,10.3,1,1,1,1,1
2018-08-12T07,26.5,85.5,18.95,27.75,8.9,1,1,1,1,1
2018-08-12T09,25.0,88.0,44.8,24.8,8.2,1,1,1,1,1
2018-08-12T10,28.0,102.0,34.3,35.2,8.0,1,1,1,1,1
2018-08-12T12,30.5,106.0,44.55,23.4,9.6,1,1,1,1,1
2018-08-12T15,41.0,146.0,39.4,11.0,9.1,1,1,1,1,1
2018-08-13T01,25.0,96.0,27.7,4.2,9.4,1,1,1,1,1
2018-08-13T02,33.0,88.0,35.5,6.4,9.1,1,1,1,1,1
2018-08-13T03,33.0,88.0,36.1,11.9,9.3,1,1,1,1,1
2018-08-13T07,44.0,84.0,24.6,47.2,7.8,1,1,1,1,1
2018-08-13T08,44.0,84.0,17.0,50.2,7.9,1,1,1,1,1
2018-08-13T10,45.0,69.0,24.4,76.0,,1,1,1,1,0
2018-08-13T11,45.0,69.0,35.3,53.5,10.3,1,1,1,1,1
2018-08-13T13,46.0,125.0,69.4,10.5,9.4,1,1,1,1,1
2018-08-13T14,52.0,129.0,67.7,6.85,9.55,1,1,1,1,1
2018-08-13T15,48.5,120.0,59.1,6.0,9.05,1,1,1,1,1
2018-08-13T17,59.0,127.0,50.95,10.25,8.7,1,1,1,1,1
2018-08-13T18,56.0,114.0,37.5,18.7,8.1,1,1,1,1,1
2018-08-13T19,41.0,72.667,54.733,9.15,8.267,1,1,1,1,1
2018-08-13T20,44.0,120.0,58.5,6.65,9.7,1,1,1,1,1
2018-08-13T22,55.5,138.5,33.95,5.85,8.8,1,1,1,1,1
2018-08-13T23,39.0,114.0,32.1,7.9,7.4,1,1,1,1,1
2018-08-14T01,42.0,119.0,38.9,6.2,7.3,1,1,1,1,1
2018-08-14T03,36.0,118.0,53.1,22.5,8.3,1,1,1,1,1
2018-08-14T06,31.0,56.0,50.1,87.6,8.0,1,1,1,1,1
2018-08-14T07,45.0,134.5,18.25,80.15,8.6,1,1,1,1,1
2018-08-14T08,46.0,130.0,12.2,64.85,8.55,1,1,1,1,1
2018-08-14T09,36.0,99.0,15.2,63.9,8.0,1,1,1,1,1
2018-08-14T11,33.0,123.0,33.9,46.05,12.3,1,1,1,1,1
2018-08-14T13,52.0,134.0,61.9,7.9,10.3,1,1,1,1,1
2018-08-14T15,57.0,141.0,68.3,6.3,10.8,1,1,1,1,1
2018-08-14T16,68.0,179.667,71.867,8.067,11.85,1,1,1,1,1
2018-08-15T18,29.0,73.0,40.1,8.4,8.1,1,1,1,1,1
2018-08-15T19,34.0,63.0,25.9,20.2,8.0,1,1,1,1,1
2018-08-15T20,28.0,59.0,44.6,8.4,7.5,1,1,1,1,1
2018-08-15T21,25.0,44.0,39.8,10.4,8.3,1,1,1,1,1
2018-08-16T00,30.0,63.0,40.6,7.0,8.5,1,1,1,1,1
2018-08-16T02,39.0,95.0,44.8,28.6,8.5,1,1,1,1,1
2018-08-16T04,40.0,78.0,31.75,34.65,12.55,1,1,1,1,1
2018-08-16T06,29.0,52.0,14.1,65.3,14.0,1,1,1,1,1
2018-08-16T07,20.0,37.0,14.65,77.95,10.7,1,1,1,1,1
2018-08-16T08,22.0,38.0,43.067,37.933,9.333,1,1,1,1,1
2018-08-16T11,51.5,39.0,79.05,8.9,9.7,1,1,1,1,1
2018-08-16T12,67.0,,76.4,6.7,9.5,1,0,1,1,1
2018-08-16T14,49.667,149.0,74.1,7.967,11.367,1,1,1,1,1
2018-08-16T15,55.0,135.0,76.0,9.4,12.15,1,1,1,1,1
2018-08-16T22,47.0,121.0,37.7,53.7,6.8,1,1,1,1,1
2018-08-16T23,37.0,97.5,29.1,9.4,7.4,1,1,1,1,1
2018-08-17T00,30.0,85.0,30.65,6.2,7.75,1,1,1,1,1
2018-08-17T02,27.0,66.0,18.6,14.6,6.3,1,1,1,1,1
2018-08-17T12,25.0,69.0,34.1,14.5,12.0,1,1,1,1,1
2018-08-17T15,41.0,92.0,46.2,43.6,13.2,1,1,1,1,1
2018-08-17T16,39.0,85.0,43.1,33.4,11.8,1,1,1,1,1
2018-08-17T18,44.0,116.0,37.4,60.6,9.0,1,1,1,1,1
2018-08-17T19,53.0,119.0,41.7,17.1,8.3,1,1,1,1,1
2018-08-17T20,30.0,75.0,34.3,6.6,11.1,1,1,1,1,1
2018-08-17T21,30.0,75.0,33.6,6.85,10.7,1,1,1,1,1
2018-08-17T22,27.5,64.0,31.15,7.65,10.2,1,1,1,1,1
2018-08-18T00,34.0,88.0,29.8,6.8,8.75,1,1,1,1,1
2018-08-18T01,38.0,101.667,28.633,7.067,7.067,1,1,1,1,1
2018-08-18T02,38.0,101.0,31.4,9.6,6.8,1,1,1,1,1
2018-08-18T03,30.0,90.0,33.8,15.8,7.6,1,1,1,1,1
2018-08-18T04,28.0,69.0,22.6,22.8,9.4,1,1,1,1,1
2018-08-18T06,28.0,47.0,21.35,41.65,13.35,1,1,1,1,1
2018-08-18T07,66.0,51.0,19.2,59.5,12.6,1,1,1,1,1
2018-08-18T08,66.0,51.0,20.7,45.5,11.3,1,1,1,1,1
2018-08-18T11,30.0,95.0,35.5,24.4,9.8,1,1,1,1,1
2018-08-18T13,33.5,56.0,73.55,10.95,12.05,1,1,1,1,1
2018-08-18T14,40.0,68.0,64.0,6.7,12.3,1,1,1,1,1
2018-08-18T16,38.0,78.0,49.8,,11.9,1,1,1,0,1
2018-08-18T17,42.0,83.0,46.9,23.9,12.6,1,1,1,1,1
2018-08-18T18,46.0,124.0,57.2,69.0,11.4,1,1,1,1,1
2018-08-18T19,47.0,78.0,44.0,59.7,11.9,1,1,1,1,1
2018-08-18T22,44.0,83.0,28.1,25.9,13.1,1,1,1,1,1
2018-08-19T00,46.0,96.0,36.4,60.9,14.0,1,1,1,1,1
2018-08-19T03,40.0,79.0,33.1,13.5,10.5,1,1,1,1,1
2018-08-20T02,50.0,163.0,85.1,11.1,6.3,1,1,1,1,1
2018-08-20T07,46.0,99.0,29.9,193.2,11.5,1,1,1,1,1
2018-08-20T10,,122.0,68.4,65.8,,0,1,1,1,0
2018-08-20T12,56.0,149.0,33.7,33.7,7.5,1,1,1,1,1
2018-08-20T13,33.0,78.0,26.3,19.8,7.6,1,1,1,1,1
2018-08-20T14,35.0,61.0,50.5,4.5,8.75,1,1,1,1,1
2018-08-20T15,38.0,68.0,53.6,3.0,9.1,1,1,1,1,1
2018-08-20T16,40.0,73.0,37.9,5.5,9.9,1,1,1,1,1
2018-08-20T18,31.0,75.0,35.1,4.1,8.8,1,1,1,1,1
2018-08-20T19,33.0,50.0,37.0,10.0,8.5,1,1,1,1,1
2018-08-20T21,20.0,52.0,29.2,5.8,8.0,1,1,1,1,1
2018-08-20T22,17.0,39.0,32.0,4.7,10.2,1,1,1,1,1
2018-08-20T23,35.0,75.0,31.2,5.2,9.75,1,1,1,1,1
2018-08-21T01,38.0,69.0,20.9,13.5,10.0,1,1,1,1,1
2018-08-21T02,25.0,62.0,26.1,17.5,8.2,1,1,1,1,1
2018-08-21T05,23.0,36.5,18.9,63.5,12.45,1,1,1,1,1
2018-08-21T06,23.0,35.0,19.1,75.4,12.7,1,1,1,1,1
2018-08-21T12,22.0,34.0,54.4,9.5,10.7,1,1,1,1,1
2018-08-21T16,27.0,80.0,62.4,4.85,12.1,1,1,1,1,1
2018-08-21T18,36.0,108.0,49.2,5.6,9.4,1,1,1,1,1
2018-08-22T04,29.0,58.0,27.0,35.5,20.0,1,1,1,1,1
2018-08-22T11,29.0,45.0,41.9,18.5,10.1,1,1,1,1,1
2018-08-22T13,24.0,70.0,77.6,5.2,9.8,1,1,1,1,1
2018-08-23T10,42.0,85.0,28.8,23.8,11.4,1,1,1,1,1
2018-08-23T14,,99.0,55.6,4.2,7.9,0,1,1,1,1
2018-08-23T20,16.0,39.0,22.2,8.2,5.0,1,1,1,1,1
2018-08-24T03,16.0,51.0,25.4,8.1,7.0,1,1,1,1,1
2018-08-24T06,25.0,81.0,27.0,34.0,10.8,1,1,1,1,1
2018-08-24T08,27.0,83.0,28.6,42.8,11.9,1,1,1,1,1
2018-08-24T10,20.0,112.0,20.5,45.3,11.9,1,1,1,1,1
2018-08-24T11,38.0,138.0,50.0,13.1,8.9,1,1,1,1,1
2018-08-24T12,,133.0,34.7,18.6,7.5,0,1,1,1,1
2018-08-24T13,24.0,130.0,65.2,4.1,8.7,1,1,1,1,1
2018-08-24T15,29.0,121.0,62.9,4.4,12.0,1,1,1,1,1
2018-08-24T17,33.0,116.0,50.9,4.0,10.7,1,1,1,1,1
2018-08-24T18,27.0,96.0,24.3,12.5,9.0,1,1,1,1,1
2018-08-24T21,13.0,38.0,12.4,20.4,6.3,1,1,1,1,1
2018-08-24T23,9.0,36.0,14.8,15.2,9.8,1,1,1,1,1
2018-08-25T01,6.0,30.0,19.9,12.1,10.7,1,1,1,1,1
2018-08-25T08,28.0,39.0,20.1,36.4,10.9,1,1,1,1,1
2018-08-25T12,27.0,110.0,49.8,12.6,8.1,1,1,1,1,1
2018-08-25T19,36.0,59.0,27.6,,9.3,1,1,1,0,1
2018-08-25T20,31.0,62.0,,8.7,,1,1,0,1,0
2018-08-25T23,20.0,50.0,21.7,8.3,10.9,1,1,1,1,1
2018-08-26T01,20.0,36.0,17.1,14.8,11.3,1,1,1,1,1
2018-08-26T03,29.0,61.0,11.4,33.4,11.1,1,1,1,1,1
2018-08-26T05,33.0,64.0,13.15,47.1,9.45,1,1,1,1,1
2018-08-26T08,27.0,66.0,9.85,58.4,11.8,1,1,1,1,1
2018-08-26T10,24.0,75.0,8.2,58.8,11.9,1,1,1,1,1
2018-08-26T11,25.0,80.0,26.1,37.8,9.5,1,1,1,1,1
2018-08-26T12,29.0,97.0,31.4,37.45,8.65,1,1,1,1,1
2018-08-26T13,30.0,86.0,37.05,23.8,8.2,1,1,1,1,1
2018-08-26T14,34.0,89.0,39.5,14.7,7.9,1,1,1,1,1
2018-08-26T15,35.0,79.0,54.1,8.05,9.2,1,1,1,1,1
2018-08-26T19,31.0,57.0,33.55,348.5,17.5,1,1,1,1,1
2018-08-26T20,25.0,66.0,34.4,246.6,15.9,1,1,1,1,1
2018-08-26T21,23.0,57.0,34.1,134.9,20.2,1,1,1,1,1
2018-08-26T22,27.0,48.0,29.5,30.8,20.4,1,1,1,1,1
2018-08-27T01,11.0,12.0,31.5,8.5,13.3,1,1,1,1,1
2018-08-27T04,24.0,58.0,29.6,18.7,10.6,1,1,1,1,1
2018-08-27T10,12.0,36.0,21.7,45.5,,1,1,1,1,0
2018-08-27T11,12.0,36.0,28.133,36.3,10.567,1,1,1,1,1
2018-08-27T12,33.0,55.0,58.5,5.95,9.35,1,1,1,1,1
2018-08-27T13,35.0,61.0,62.5,2.0,8.3,1,1,1,1,1
2018-08-27T14,33.0,59.0,69.7,4.4,8.6,1,1,1,1,1
2018-08-27T15,35.25,58.5,73.55,5.175,9.2,1,1,1,1,1
2018-08-27T16,41.333,59.333,77.233,7.133,10.4,1,1,1,1,1
2018-08-27T17,39.0,68.75,77.6,7.7,10.1,1,1,1,1,1
2018-08-27T18,36.0,83.0,56.725,32.775,9.825,2,2,2,2,2
2018-08-27T19,33.667,97.333,33.667,90.35,8.6,1,1,1,1,1
2018-08-27T20,28.75,67.5,31.9,49.75,7.0,1,1,1,1,1
2018-08-27T21,23.5,56.0,12.3,13.7,7.25,1,1,1,1,1
2018-08-27T22,19.0,40.0,14.8,9.333,7.133,1,1,1,1,1
2018-08-27T23,16.333,16.0,17.433,12.0,9.333,1,1,1,1,1
2018-08-28T00,13.0,14.0,8.467,29.467,11.333,1,1,1,1,1
2018-08-28T01,12.25,10.75,24.85,13.0,11.675,1,1,1,1,1
2018-08-28T02,16.0,22.0,36.9,7.55,12.0,1,1,1,1,1
2018-08-28T03,27.0,41.0,36.633,12.8,11.733,1,1,1,1,1
2018-08-28T04,30.0,70.0,25.333,21.433,10.3,1,1,1,1,1
2018-08-28T05,31.0,75.0,22.6,31.3,10.0,1,1,1,1,1
2018-08-28T10,19.0,39.0,40.5,13.9,12.3,1,1,1,1,1
2018-08-28T11,12.0,28.0,49.3,31.8,10.3,1,1,1,1,1
2018-08-28T12,30.0,44.0,57.8,17.5,9.4,1,1,1,1,1
2018-08-28T13,30.0,74.0,47.1,8.9,8.55,1,1,1,1,1
2018-08-28T16,20.0,25.0,44.9,3.7,8.9,1,1,1,1,1
2018-08-28T17,23.0,46.0,38.7,3.9,9.7,1,1,1,1,1
2018-08-28T18,22.0,30.0,40.1,3.6,8.8,1,1,1,1,1
2018-08-28T19,22.0,47.0,31.9,9.1,9.5,1,1,1,1,1
2018-08-28T22,23.0,52.0,23.9,4.55,6.85,1,1,1,1,1
2018-08-29T01,14.0,19.0,22.1,7.3,10.6,1,1,1,1,1
2018-08-29T03,20.0,40.0,20.9,9.5,10.8,1,1,1,1,1
2018-08-29T04,22.0,45.0,17.0,23.1,10.8,1,1,1,1,1
2018-08-29T05,30.5,71.0,28.1,25.7,8.75,1,1,1,1,1
2018-08-29T07,28.0,40.0,38.9,10.5,7.9,1,1,1,1,1
2018-08-29T11,39.0,59.0,55.9,9.05,10.25,1,1,1,1,1
2018-08-29T18,44.0,62.0,38.55,41.8,10.6,2,2,2,2,2
2018-08-29T19,47.0,62.0,33.5,25.3,10.3,1,1,1,1,1
2018-08-29T20,31.0,50.0,33.2,17.467,6.7,1,1,1,1,1
2018-08-29T22,34.0,58.0,28.1,8.0,7.0,1,1,1,1,1
2018-08-29T23,31.0,63.0,39.0,6.2,8.3,1,1,1,1,1
2018-08-30T00,28.0,66.0,32.6,4.7,11.6,1,1,1,1,1
2018-08-30T01,25.0,46.0,32.1,4.5,12.4,1,1,1,1,1
2018-08-30T02,27.0,46.0,31.5,16.3,12.1,1,1,1,1,1
2018-08-30T03,19.0,38.0,39.8,17.4,11.5,1,1,1,1,1
2018-08-30T04,24.0,47.0,25.2,41.7,11.2,1,1,1,1,1
2018-08-30T10,31.0,83.0,23.6,70.0,11.3,1,1,1,1,1
2018-08-30T14,64.0,150.0,69.3,3.3,8.9,1,1,1,1,1
2018-08-30T15,63.0,135.0,63.4,5.4,8.1,1,1,1,1,1
2018-08-30T16,62.0,160.0,75.8,8.1,7.9,1,1,1,1,1
2018-08-30T20,50.0,95.0,30.8,10.0,4.7,1,1,1,1,1
2018-08-30T22,47.0,122.0,28.1,9.8,5.8,1,1,1,1,1
2018-08-30T23,42.0,117.0,21.2,12.1,7.75,1,1,1,1,1
2018-08-31T00,35.0,108.0,20.3,9.5,8.4,1,1,1,1,1
2018-08-31T01,34.0,100.0,22.0,8.5,9.9,1,1,1,1,1
2018-08-31T02,34.0,95.0,27.3,7.3,10.5,1,1,1,1,1
2018-08-31T04,28.0,134.0,22.25,27.95,9.95,1,1,1,1,1
2018-08-31T05,59.0,155.0,20.8,38.1,9.9,1,1,1,1,1
2018-08-31T06,58.0,152.0,21.6,42.2,8.3,1,1,1,1,1
2018-08-31T07,58.0,152.0,18.1,49.4,9.0,1,1,1,1,1
2018-08-31T09,57.0,171.0,28.6,44.1,11.2,1,1,1,1,1
2018-08-31T13,61.0,195.0,81.0,6.7,10.2,1,1,1,1,1
2018-08-31T14,56.0,194.0,70.15,3.85,9.05,1,1,1,1,1
2018-08-31T15,71.0,231.5,67.0,5.1,10.15,1,1,1,1,1
2018-08-31T16,79.0,246.0,61.2,5.7,10.4,1,1,1,1,1
2018-09-01T04,22.0,13.0,34.5,5.4,11.5,1,1,1,1,1
2018-09-01T07,,,42.8,13.4,7.3,0,0,1,1,1
2018-09-01T13,52.0,167.0,70.8,5.4,9.5,1,1,1,1,1
2018-09-01T16,68.0,201.0,68.3,6.6,10.1,1,1,1,1,1
2018-09-01T19,67.0,216.0,63.4,,11.8,1,1,1,0,1
2018-09-01T20,64.0,215.0,49.6,35.3,9.3,1,1,1,1,1
2018-09-02T02,17.0,22.0,30.3,6.6,10.1,1,1,1,1,1
2018-09-02T03,27.0,34.0,25.6,5.9,9.65,1,1,1,1,1
2018-09-02T04,27.0,42.0,29.5,11.5,9.7,1,1,1,1,1
2018-09-02T07,23.0,35.0,15.2,32.5,8.1,1,1,1,1,1
2018-09-02T09,24.0,30.0,13.7,37.85,7.7,1,1,1,1,1
2018-09-02T10,17.0,19.0,19.1,33.5,9.1,1,1,1,1,1
2018-09-02T11,18.0,22.0,20.4,34.6,9.6,1,1,1,1,1
2018-09-02T15,25.0,35.0,43.9,5.8,8.9,1,1,1,1,1
2018-09-02T17,18.0,29.0,44.0,3.7,9.7,1,1,1,1,1
2018-09-02T20,42.0,128.0,33.0,4.3,9.2,1,1,1,1,1
2018-09-02T23,27.0,67.0,23.7,4.7,9.2,1,1,1,1,1
2018-09-03T02,40.0,78.0,26.5,11.1,11.6,1,1,1,1,1
2018-09-03T07,16.0,22.0,43.9,13.1,7.4,1,1,1,1,1
2018-09-03T08,19.0,18.0,49.95,10.25,6.95,1,1,1,1,1
2018-09-03T10,14.0,19.0,57.4,13.8,8.4,1,1,1,1,1
2018-09-03T12,35.0,55.0,69.1,13.9,10.7,1,1,1,1,1
2018-09-03T15,42.0,112.0,58.5,118.7,11.0,1,1,1,1,1
2018-09-03T18,39.0,96.0,40.9,46.3,12.4,1,1,1,1,1
2018-09-03T19,41.0,90.0,38.05,47.3,12.75,1,1,1,1,1
2018-09-03T20,31.0,80.0,31.5,38.85,13.9,1,1,1,1,1
2018-09-03T21,36.0,84.0,28.2,32.8,12.9,1,1,1,1,1
2018-09-04T01,39.0,105.0,75.3,25.7,9.7,1,1,1,1,1
2018-09-04T05,86.0,222.0,108.5,21.1,10.9,1,1,1,1,1
2018-09-04T11,38.0,70.0,56.4,5.1,10.3,1,1,1,1,1
2018-09-04T12,58.0,67.0,52.5,4.4,9.3,1,1,1,1,1
2018-09-04T21,31.0,57.0,27.5,4.4,9.2,1,1,1,1,1
2018-09-04T22,31.0,57.0,24.8,5.3,8.5,1,1,1,1,1
2018-09-04T23,29.0,62.0,29.7,3.7,8.9,1,1,1,1,1
2018-09-05T02,24.0,48.0,30.3,24.6,11.0,1,1,1,1,1
2018-09-05T06,35.0,55.0,34.0,43.1,10.3,1,1,1,1,1
2018-09-05T09,42.0,136.0,29.5,40.5,8.4,1,1,1,1,1
2018-09-05T11,66.0,106.0,44.7,27.2,9.3,1,1,1,1,1
2018-09-05T12,62.0,114.0,48.1,21.0,9.2,1,1,1,1,1
2018-09-05T18,57.0,211.0,41.8,3.0,10.4,1,1,1,1,1
2018-09-05T20,61.0,153.5,36.6,4.9,10.0,1,1,1,1,1
2018-09-05T21,67.0,161.0,35.4,3.9,9.5,1,1,1,1,1
2018-09-06T00,50.0,123.0,23.7,8.0,6.2,1,1,1,1,1
2018-09-06T01,41.0,95.0,21.9,11.5,6.4,1,1,1,1,1
2018-09-06T02,33.0,70.0,22.4,15.4,6.3,1,1,1,1,1
2018-09-06T03,40.0,67.0,23.6,27.3,6.3,1,1,1,1,1
2018-09-06T04,39.0,87.0,26.2,49.05,6.0,1,1,1,1,1
2018-09-06T10,110.0,215.0,37.7,57.9,10.0,1,1,1,1,1
2018-09-06T12,,103.0,62.9,19.4,8.0,0,1,1,1,1
2018-09-06T14,12.0,23.0,62.8,3.8,7.7,1,1,1,1,1
2018-09-06T17,23.0,46.0,49.8,4.1,7.6,1,1,1,1,1
2018-09-06T19,31.0,51.0,43.6,,8.5,1,1,1,0,1
2018-09-06T20,20.0,46.0,43.2,4.5,6.7,1,1,1,1,1
2018-09-06T21,19.0,47.0,41.4,4.15,7.95,1,1,1,1,1
2018-09-06T23,17.0,52.0,28.55,5.0,9.9,1,1,1,1,1
2018-09-07T00,22.0,57.0,22.5,4.4,9.9,1,1,1,1,1
2018-09-07T01,27.0,51.0,39.0,4.3,11.1,1,1,1,1,1
2018-09-07T03,38.0,52.0,64.6,18.6,9.8,1,1,1,1,1
2018-09-07T05,39.0,78.0,53.3,,33.2,1,1,1,0,1
2018-09-07T08,66.0,206.0,53.7,,9.9,1,1,1,0,1
2018-09-07T10,41.0,88.0,54.1,,8.7,1,1,1,0,1
2018-09-07T14,59.0,149.0,58.9,0.0,11.9,1,1,1,1,1
2018-09-07T15,58.0,127.0,49.9,0.0,10.6,1,1,1,1,1
2018-09-07T19,44.0,70.0,44.4,,10.5,1,1,1,0,1
2018-09-07T20,38.0,64.0,,,,1,1,0,0,0
2018-09-07T22,41.0,83.0,30.4,0.0,10.0,1,1,1,1,1
2018-09-07T23,55.0,102.0,17.9,0.0,10.8,1,1,1,1,1
2018-09-08T03,27.0,31.0,15.4,0.0,20.6,1,1,1,1,1
2018-09-08T05,20.0,25.0,28.9,,13.7,1,1,1,0,1
2018-09-08T06,28.0,42.0,22.75,13.9,17.25,1,1,1,1,1
2018-09-08T07,,,20.7,17.7,16.9,0,0,1,1,1
2018-09-08T08,24.0,79.0,20.0,,12.5,1,1,1,0,1
2018-09-08T10,25.0,57.0,27.0,34.5,10.5,1,1,1,1,1
2018-09-08T11,28.0,63.0,22.8,33.4,11.7,1,1,1,1,1
2018-09-08T12,25.0,59.0,47.7,,11.3,1,1,1,0,1
2018-09-08T13,31.0,78.0,20.9,19.4,11.3,1,1,1,1,1
2018-09-08T20,25.0,25.0,,,,1,1,0,0,0
2018-09-08T22,20.0,25.0,22.9,15.4,,1,1,1,1,0
2018-09-08T23,20.0,25.0,17.5,8.3,10.8,1,1,1,1,1
2018-09-09T00,19.0,34.0,15.7,70.8,9.7,1,1,1,1,1
2018-09-09T01,22.0,38.0,20.1,,9.6,1,1,1,0,1
2018-09-09T02,22.0,30.0,15.3,,9.5,1,1,1,0,1
2018-09-09T03,19.0,29.0,12.0,14.35,9.9,1,1,1,1,1
2018-09-09T05,13.0,13.0,13.5,15.9,11.5,1,1,1,1,1
2018-09-09T07,12.0,34.0,13.0,24.6,11.1,1,1,1,1,1
2018-09-09T09,18.0,33.0,14.2,,9.2,1,1,1,0,1
2018-09-09T11,19.0,36.0,19.3,,8.8,1,1,1,0,1
2018-09-09T12,19.0,27.0,30.4,11.9,10.7,1,1,1,1,1
2018-09-09T14,18.0,34.0,39.2,15.5,11.1,1,1,1,1,1
2018-09-09T15,20.0,44.0,39.3,10.0,10.1,1,1,1,1,1
2018-09-09T17,30.0,50.0,31.7,,9.1,1,1,1,0,1
2018-09-09T19,29.0,45.0,30.0,,8.7,1,1,1,0,1
2018-09-09T21,23.0,47.0,30.05,13.55,10.4,1,1,1,1,1
2018-09-09T22,33.0,89.0,28.0,14.0,10.7,1,1,1,1,1
2018-09-09T23,31.0,78.0,25.6,19.0,9.7,1,1,1,1,1
2018-09-10T01,25.0,55.0,20.1,18.5,7.6,1,1,1,1,1
2018-09-10T03,27.0,66.0,30.8,7.9,8.0,1,1,1,1,1
2018-09-10T07,45.0,112.0,30.1,23.9,17.8,1,1,1,1,1
2018-09-10T08,55.0,119.0,,36.0,,1,1,0,1,0
2018-09-10T09,45.0,97.0,31.9,26.6,12.5,1,1,1,1,1
2018-09-10T10,30.0,69.0,43.1,16.85,13.55,1,1,1,1,1
2018-09-10T12,24.0,63.0,48.5,8.9,18.7,1,1,1,1,1
2018-09-10T13,30.0,67.0,51.9,2.7,14.6,1,1,1,1,1
2018-09-10T14,23.0,56.0,40.5,2.4,12.3,1,1,1,1,1
2018-09-10T15,18.0,42.0,41.5,0.0,11.1,1,1,1,1,1
2018-09-10T18,27.0,64.0,36.0,,9.6,1,1,1,0,1
2018-09-10T19,30.0,66.0,28.4,,9.6,1,1,1,0,1
2018-09-10T21,20.0,27.0,14.0,2.5,10.8,1,1,1,1,1
2018-09-10T22,12.0,29.0,15.4,1.2,10.8,1,1,1,1,1
2018-09-11T00,19.0,36.0,19.7,0.8,9.6,1,1,1,1,1
2018-09-11T03,27.0,50.0,23.8,14.2,9.2,1,1,1,1,1
2018-09-11T04,33.0,62.0,27.35,25.0,9.9,1,1,1,1,1
2018-09-11T05,25.0,61.0,23.3,41.0,10.7,1,1,1,1,1
2018-09-11T06,30.0,62.0,19.7,58.4,10.2,1,1,1,1,1
2018-09-11T08,28.0,48.0,18.2,57.4,9.1,1,1,1,1,1
2018-09-11T11,29.0,38.0,23.8,26.5,7.5,1,1,1,1,1
2018-09-11T12,25.0,46.0,38.2,14.0,8.1,1,1,1,1,1
2018-09-11T13,30.0,92.0,62.3,0.8,12.8,1,1,1,1,1
2018-09-11T14,30.0,92.0,61.1,0.4,12.8,1,1,1,1,1
2018-09-11T16,35.0,95.0,52.4,0.4,12.85,1,1,1,1,1
2018-09-11T18,38.0,96.0,37.7,0.5,10.1,1,1,1,1,1
