hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,33.0,139.0,26.0,50.8,11.6,1,1,1,1,1
2018-08-10T06,33.0,139.0,17.15,73.7,12.45,1,1,1,1,1
2018-08-10T07,34.0,180.333,22.267,47.6,6.9,1,1,1,1,1
2018-08-10T08,35.667,192.667,27.333,56.2,15.067,1,1,1,1,1
2018-08-10T09,33.0,138.0,27.3,50.1,15.0,1,1,1,1,1
2018-08-10T10,34.5,133.75,43.425,35.1,16.525,1,1,1,1,1
2018-08-10T11,42.0,153.0,63.833,12.433,16.3,1,1,1,1,1
2018-08-10T12,58.5,261.5,76.35,12.2,18.45,1,1,1,1,1
2018-08-10T13,68.667,304.333,77.733,9.533,14.7,1,1,1,1,1
2018-08-10T14,68.0,301.0,52.85,9.25,11.5,1,1,1,1,1
2018-08-10T15,42.0,327.0,35.45,13.85,9.1,1,1,1,1,1
2018-08-10T16,18.0,205.0,27.85,15.3,9.3,1,1,1,1,1
2018-08-10T21,25.0,90.0,24.6,4.9,15.4,1,1,1,1,1
2018-08-10T22,25.0,90.0,19.25,8.2,18.5,1,1,1,1,1
2018-08-10T23,20.75,56.0,15.3,9.9,17.1,1,1,1,1,1
2018-08-11T00,14.5,47.5,18.7,10.55,6.15,1,1,1,1,1
2018-08-11T01,16.0,85.0,14.167,10.7,3.4,1,1,1,1,1
2018-08-11T02,25.0,55.0,16.65,11.75,3.2,1,1,1,1,1
2018-08-11T03,25.0,161.0,13.5,15.4,1.7,1,1,1,1,1
2018-08-11T04,27.0,155.5,9.65,29.9,9.1,1,1,1,1,1
2018-08-11T05,24.0,147.0,10.75,31.05,9.85,1,1,1,1,1
2018-08-11T07,25.0,119.0,7.6,37.1,5.8,1,1,1,1,1
2018-08-11T10,19.0,132.0,9.7,52.0,3.1,1,1,1,1,1
2018-08-11T11,19.0,132.0,11.3,51.0,1.75,1,1,1,1,1
2018-08-11T12,26.0,194.0,28.467,23.2,18.933,1,1,1,1,1
2018-08-11T13,30.0,234.0,29.65,16.55,23.5,1,1,1,1,1
2018-08-11T15,24.0,182.667,22.8,10.167,23.2,1,1,1,1,1
2018-08-11T16,24.667,165.667,22.433,10.467,22.267,1,1,1,1,1
2018-08-11T17,20.25,144.25,15.65,11.1,16.167,1,1,1,1,1
2018-08-11T18,30.667,114.0,11.4,14.433,13.633,1,1,1,1,1
2018-08-11T19,21.5,80.5,13.7,15.5,11.8,1,1,1,1,1
2018-08-11T20,6.0,51.333,12.2,16.333,25.2,1,1,1,1,1
2018-08-11T21,8.0,44.0,10.467,14.067,22.3,1,1,1,1,1
2018-08-11T22,14.0,56.333,10.667,10.667,19.7,1,1,1,1,1
2018-08-11T23,16.75,55.75,13.35,8.05,19.067,1,1,1,1,1
2018-08-12T00,11.0,55.333,15.8,5.067,6.4,1,1,1,1,1
2018-08-12T01,9.0,77.0,15.05,6.2,4.1,1,1,1,1,1
2018-08-12T02,14.25,107.0,15.05,6.45,2.925,1,1,1,1,1
2018-08-12T03,23.333,155.0,15.5,8.7,5.233,1,1,1,1,1
2018-08-12T04,20.0,153.333,10.867,11.933,7.467,1,1,1,1,1
2018-08-12T05,17.5,144.25,11.325,14.675,11.967,1,1,1,1,1
2018-08-12T06,19.0,165.5,12.5,17.25,12.6,1,1,1,1,1
2018-08-12T07,15.0,153.0,11.95,20.6,12.45,1,1,1,1,1
2018-08-12T08,13.333,128.0,9.067,32.833,7.133,1,1,1,1,1
2018-08-12T09,11.0,100.25,8.85,35.0,1.8,1,1,1,1,1
2018-08-12T10,12.0,100.0,13.95,36.8,1.5,1,1,1,1,1
2018-08-12T11,20.0,165.0,27.0,29.85,3.1,1,1,1,1,1
2018-08-12T12,24.0,208.0,27.333,24.333,7.7,1,1,1,1,1
2018-08-12T13,24.0,210.0,41.1,11.65,17.1,1,1,1,1,1
2018-08-12T14,33.0,260.333,44.733,8.233,16.9,1,1,1,1,1
2018-08-12T15,31.667,227.667,33.633,8.733,15.867,1,1,1,1,1
2018-08-12T16,25.0,158.0,24.6,9.6,19.4,1,1,1,1,1
2018-08-12T17,24.25,145.5,26.65,9.05,12.467,1,1,1,1,1
2018-08-12T18,15.0,77.0,17.8,10.55,7.9,1,1,1,1,1
2018-08-12T19,10.25,48.25,16.35,10.4,9.225,1,1,1,1,1
2018-08-12T20,17.0,55.75,16.2,7.0,22.5,1,1,1,1,1
2018-08-13T02,22.75,226.75,16.9,9.35,0.733,1,1,1,1,1
2018-08-13T03,20.0,189.5,12.35,17.55,,1,1,1,1,0
2018-08-13T04,14.0,139.0,9.9,28.8,13.5,1,1,1,1,1
