hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-12-14T01,118.0,191.0,44.8,1.7,15.3,1,1,1,1,1
2018-12-14T16,121.0,177.0,91.5,3.0,13.0,1,1,1,1,1
2018-12-15T14,124.0,191.0,109.1,26.9,19.8,1,1,1,1,1
2018-12-20T20,240.5,331.0,76.2,1.6,16.7,1,1,1,1,1
2018-12-20T21,233.25,366.0,79.525,1.175,13.775,1,1,1,1,1
2018-12-20T22,208.75,318.25,77.225,1.2,16.033,1,1,1,1,1
2018-12-20T23,229.25,328.0,79.925,1.2,19.1,1,1,1,1,1
2018-12-21T00,262.25,390.25,85.525,1.5,20.45,1,1,1,1,1
2018-12-21T01,316.25,424.5,120.225,1.7,20.1,1,1,1,1,1
2018-12-21T02,356.5,479.75,147.9,3.525,21.525,1,1,1,1,1
2018-12-21T03,367.5,513.25,159.825,16.825,27.267,1,1,1,1,1
2018-12-21T04,317.333,427.0,137.9,49.9,29.2,1,1,1,1,1
2018-12-21T05,254.75,354.25,111.225,78.0,30.8,1,1,1,1,1
2018-12-21T06,203.5,282.25,79.925,85.125,39.325,1,1,1,1,1
2018-12-21T07,173.0,241.5,55.4,86.975,36.55,1,1,1,1,1
2018-12-21T08,176.25,249.5,53.25,85.325,38.0,1,1,1,1,1
2018-12-21T09,153.667,216.5,55.475,84.175,43.9,1,1,1,1,1
2018-12-21T10,160.0,220.5,59.95,73.7,38.5,1,1,1,1,1
2018-12-21T11,162.0,232.0,84.525,46.025,30.175,1,1,1,1,1
2018-12-21T12,207.25,322.75,172.425,8.5,22.6,1,1,1,1,1
2018-12-21T13,323.75,516.5,193.575,2.6,22.65,1,1,1,1,1
2018-12-21T14,401.0,617.0,175.433,2.325,20.6,1,1,1,1,1
2018-12-21T15,394.25,567.5,161.05,1.975,20.1,1,1,1,1,1
2018-12-21T16,412.5,558.5,144.4,1.925,18.767,1,1,1,1,1
2018-12-21T17,430.0,582.75,129.667,1.9,19.075,1,1,1,1,1
2018-12-21T18,425.667,605.5,104.983,1.9,18.416,2,2,2,2,2
2018-12-21T19,371.0,534.75,99.567,1.9,19.667,1,1,1,1,1
2018-12-21T20,318.0,460.0,88.1,1.425,18.6,1,1,1,1,1
2018-12-21T21,317.0,437.5,81.25,1.4,16.85,1,1,1,1,1
2018-12-21T22,309.333,430.25,85.85,1.475,18.5,1,1,1,1,1
2018-12-21T23,337.667,489.0,104.35,1.675,20.033,1,1,1,1,1
2018-12-22T00,381.0,524.0,105.925,1.7,16.925,1,1,1,1,1
2018-12-22T01,382.0,497.25,97.45,1.8,16.5,1,1,1,1,1
2018-12-22T02,355.75,476.0,118.125,6.675,22.325,1,1,1,1,1
2018-12-22T03,383.0,543.25,111.875,29.775,50.325,1,1,1,1,1
2018-12-22T04,393.5,512.0,85.15,51.5,48.0,1,1,1,1,1
2018-12-22T05,349.25,420.0,54.825,70.575,41.125,1,1,1,1,1
2018-12-22T06,290.5,358.25,44.05,84.275,34.375,1,1,1,1,1
2018-12-22T07,217.5,283.75,48.775,98.95,51.9,1,1,1,1,1
2018-12-22T08,191.25,252.0,56.533,105.875,43.175,1,1,1,1,1
2018-12-22T09,214.75,292.5,55.475,95.275,34.9,1,1,1,1,1
2018-12-22T10,210.75,285.25,67.2,65.8,28.567,1,1,1,1,1
2018-12-22T11,213.0,278.25,87.625,48.15,24.275,1,1,1,1,1
2018-12-22T12,236.0,303.25,100.35,30.725,17.05,1,1,1,1,1
2018-12-22T13,278.0,367.0,102.733,21.867,14.433,1,1,1,1,1
2018-12-22T14,323.0,395.0,121.225,2.025,13.0,1,1,1,1,1
2018-12-22T15,425.0,508.25,118.125,1.775,13.8,1,1,1,1,1
2018-12-22T16,413.75,490.25,88.65,2.425,18.3,1,1,1,1,1
2018-12-22T17,441.25,583.5,80.875,2.25,16.175,1,1,1,1,1
2018-12-22T18,520.333,686.333,71.95,1.65,16.1,2,1,2,2,2
2018-12-22T19,528.0,664.0,66.0,1.6,16.4,1,1,1,1,1
2018-12-22T20,428.0,518.5,46.9,1.333,17.35,1,1,1,1,1
2018-12-22T21,273.0,313.5,53.625,1.2,17.45,1,1,1,1,1
2018-12-22T22,261.0,290.5,70.65,1.2,13.933,1,1,1,1,1
2018-12-22T23,257.0,275.5,70.375,1.35,16.175,1,1,1,1,1
2018-12-23T00,275.0,291.0,65.175,1.225,12.15,1,1,1,1,1
2018-12-23T01,251.0,255.0,61.7,1.667,12.15,1,1,1,1,1
2018-12-23T02,232.5,234.5,64.25,2.525,13.675,1,1,1,1,1
2018-12-23T03,286.0,311.0,61.825,6.925,19.075,1,1,1,1,1
