hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,32.0,74.5,29.8,98.5,,1,1,1,1,0
2018-08-10T06,40.0,91.0,,143.5,,1,1,0,1,0
2018-08-10T07,44.0,119.0,44.3,114.1,,1,1,1,1,0
2018-08-10T08,44.0,119.0,51.4,52.4,0.0,1,1,1,1,1
2018-08-10T09,47.0,103.0,,44.7,0.5,1,1,0,1,1
2018-08-10T10,32.0,48.5,94.6,4.5,3.7,1,1,1,1,1
2018-08-10T11,50.5,80.0,112.0,1.6,7.5,1,1,1,1,1
2018-08-10T12,62.0,105.0,106.1,0.7,9.9,1,1,1,1,1
2018-08-10T13,61.0,141.0,79.7,,15.2,1,1,1,0,1
2018-08-10T14,61.0,141.0,73.2,,16.7,1,1,1,0,1
2018-08-10T16,22.0,94.0,61.9,0.7,11.3,1,1,1,1,1
2018-08-11T18,19.0,89.0,30.45,11.8,3.8,1,1,1,1,1
2018-08-11T19,14.0,84.0,15.4,,3.2,1,1,1,0,1
2018-08-11T21,16.0,52.0,25.1,10.3,1.3,1,1,1,1,1
2018-08-11T22,12.0,34.0,30.0,6.4,1.5,1,1,1,1,1
2018-08-11T23,12.0,34.0,22.8,9.5,1.8,1,1,1,1,1
2018-08-12T00,11.0,41.0,15.3,9.3,1.4,1,1,1,1,1
2018-08-12T01,14.0,38.0,26.1,1.6,2.6,1,1,1,1,1
2018-08-12T02,14.0,38.0,25.067,3.1,3.4,1,1,1,1,1
2018-08-12T03,20.0,69.0,26.7,5.1,2.6,1,1,1,1,1
2018-08-12T04,20.0,69.0,27.15,6.15,3.05,1,1,1,1,1
2018-08-12T05,19.0,88.5,14.75,22.5,2.85,1,1,1,1,1
2018-08-12T06,18.0,81.0,14.45,30.4,2.9,1,1,1,1,1
2018-08-12T08,19.0,88.0,29.4,32.7,3.0,1,1,1,1,1
2018-08-12T09,18.0,92.0,36.8,35.5,,1,1,1,1,0
2018-08-12T10,25.0,105.0,33.3,44.8,3.5,1,1,1,1,1
2018-08-12T11,25.0,105.0,31.3,41.3,,1,1,1,1,0
2018-08-12T12,30.5,111.0,54.5,17.3,3.2,1,1,1,1,1
2018-08-12T13,34.0,110.0,66.9,6.7,3.65,1,1,1,1,1
