hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2025-12-31T18,300.0,344.0,34.0,8.6,10.1,1,1,1,1,1
2025-12-31T19,283.0,311.0,30.3,7.875,10.15,1,1,1,1,1
2025-12-31T20,251.0,283.0,24.9,11.625,9.65,1,1,1,1,1
2025-12-31T21,243.0,284.0,23.725,12.775,9.0,1,1,1,1,1
2025-12-31T22,235.0,277.0,17.733,19.233,9.2,1,1,1,1,1
2025-12-31T23,218.0,260.0,18.325,19.675,6.575,1,1,1,1,1
2026-01-01T00,208.0,238.0,15.05,24.05,5.775,1,1,1,1,1
2026-01-01T01,204.0,228.0,17.775,25.675,5.725,1,1,1,1,1
2026-01-01T02,204.0,219.0,22.65,24.9,6.95,1,1,1,1,1
2026-01-01T03,197.0,230.0,20.0,24.15,8.9,1,1,1,1,1
2026-01-01T04,189.0,207.0,17.975,25.475,8.725,1,1,1,1,1
2026-01-01T05,204.0,217.0,20.775,27.75,8.325,1,1,1,1,1
2026-01-01T06,208.0,239.0,24.1,34.7,8.1,1,1,1,1,1
2026-01-01T07,215.0,237.0,26.025,34.875,7.075,1,1,1,1,1
2026-01-01T08,217.0,241.0,25.45,41.7,6.625,1,1,1,1,1
2026-01-01T09,208.0,226.0,26.867,41.9,5.6,1,1,1,1,1
2026-01-01T10,217.0,251.0,36.8,35.2,6.625,1,1,1,1,1
2026-01-01T11,232.0,273.0,47.667,21.2,8.933,1,1,1,1,1
2026-01-01T12,240.0,289.0,61.5,2.875,8.675,1,1,1,1,1
2026-01-01T13,251.0,309.0,65.35,2.9,9.7,1,1,1,1,1
2026-01-01T14,276.0,342.0,64.625,2.6,8.35,1,1,1,1,1
2026-01-01T15,250.0,301.0,55.725,2.675,7.125,1,1,1,1,1
2026-01-01T16,234.0,265.0,43.85,12.2,6.0,1,1,1,1,1
2026-01-01T17,223.0,250.0,34.05,23.275,6.325,1,1,1,1,1
2026-01-01T18,218.0,239.0,24.0,21.9,11.1,1,1,1,1,1
2026-01-01T19,141.0,155.0,16.975,25.2,11.65,1,1,1,1,1
2026-01-01T20,67.0,80.0,12.7,31.15,11.475,1,1,1,1,1
2026-01-01T21,67.0,77.0,13.7,24.25,11.725,1,1,1,1,1
2026-01-01T22,67.0,79.0,15.175,22.575,11.375,1,1,1,1,1
2026-01-01T23,73.0,80.0,13.825,23.575,9.375,1,1,1,1,1
2026-01-02T00,67.0,86.0,18.425,17.825,9.225,1,1,1,1,1
2026-01-02T01,75.0,85.0,35.825,5.25,9.7,1,1,1,1,1
2026-01-02T02,94.0,112.0,32.0,9.95,9.925,1,1,1,1,1
2026-01-02T03,99.0,113.0,32.5,20.05,11.925,1,1,1,1,1
2026-01-02T04,75.0,105.0,26.175,39.175,11.7,1,1,1,1,1
2026-01-02T05,73.0,108.0,21.833,52.633,12.333,1,1,1,1,1
2026-01-02T06,73.0,112.0,17.35,67.625,11.0,1,1,1,1,1
2026-01-02T07,77.0,114.0,19.35,70.65,9.525,1,1,1,1,1
