hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,30.0,69.0,8.95,45.65,10.6,1,1,1,1,1
2018-08-10T06,35.0,80.25,9.375,46.85,10.3,1,1,1,1,1
2018-08-10T07,38.5,86.0,13.1,50.55,9.75,1,1,1,1,1
2018-08-10T08,44.5,86.5,12.4,53.45,9.75,1,1,1,1,1
2018-08-10T09,48.75,85.75,17.375,49.725,10.025,1,1,1,1,1
2018-08-10T10,37.25,77.0,23.65,39.4,9.775,1,1,1,1,1
2018-08-10T11,39.0,95.5,26.5,36.05,8.425,1,1,1,1,1
2018-08-10T12,42.25,88.0,27.625,33.075,7.8,1,1,1,1,1
2018-08-10T13,65.0,104.0,37.7,21.567,9.533,1,1,1,1,1
2018-08-10T14,64.5,151.5,44.15,10.1,10.3,1,1,1,1,1
2018-08-10T15,93.0,198.0,44.65,6.35,12.2,1,1,1,1,1
2018-08-10T16,96.0,223.0,44.3,5.9,11.6,1,1,1,1,1
2018-08-10T17,97.0,195.0,36.5,7.8,12.4,1,1,1,1,1
2018-08-10T21,89.0,143.0,18.5,5.1,6.7,1,1,1,1,1
2018-08-10T22,89.0,143.0,17.85,7.1,7.15,1,1,1,1,1
2018-08-10T23,72.25,126.0,14.8,5.625,7.125,1,1,1,1,1
2018-08-11T00,59.0,97.5,11.375,7.675,6.975,1,1,1,1,1
2018-08-11T01,39.0,61.25,8.675,13.675,7.55,1,1,1,1,1
2018-08-11T02,24.0,47.0,8.2,,7.5,1,1,1,0,1
2018-08-11T03,38.0,81.0,,19.767,,1,1,0,1,0
2018-08-11T04,34.333,87.0,7.733,30.4,8.233,1,1,1,1,1
2018-08-11T05,33.5,90.5,9.475,34.4,8.875,1,1,1,1,1
2018-08-11T07,34.0,114.5,11.675,48.875,8.575,1,1,1,1,1
2018-08-11T08,31.0,107.0,20.1,50.15,8.0,1,1,1,1,1
2018-08-11T09,38.0,117.667,8.9,40.267,10.733,1,1,1,1,1
2018-08-11T10,20.0,114.0,10.2,36.2,7.0,1,1,1,1,1
2018-08-11T11,23.333,115.333,11.1,32.133,8.1,1,1,1,1,1
2018-08-11T12,30.5,122.75,10.625,27.6,9.325,1,1,1,1,1
2018-08-11T13,32.75,136.25,11.05,22.825,8.575,1,1,1,1,1
2018-08-11T15,42.0,134.0,13.933,13.233,7.967,1,1,1,1,1
2018-08-11T16,40.25,125.5,24.575,6.6,6.775,1,1,1,1,1
2018-08-11T17,35.25,96.5,14.375,8.2,7.033,1,1,1,1,1
2018-08-11T18,36.0,102.667,12.4,10.0,6.067,1,1,1,1,1
2018-08-11T19,40.333,94.667,10.9,10.667,5.8,1,1,1,1,1
2018-08-11T20,43.25,79.25,9.525,10.05,6.175,1,1,1,1,1
2018-08-11T21,25.5,64.25,10.25,9.125,6.2,1,1,1,1,1
2018-08-11T22,21.5,59.0,9.45,9.6,6.85,1,1,1,1,1
2018-08-11T23,13.75,45.5,7.45,10.975,5.7,1,1,1,1,1
2018-08-12T00,13.0,32.5,7.575,9.0,5.275,1,1,1,1,1
2018-08-12T01,,38.75,10.225,7.475,4.975,0,1,1,1,1
2018-08-12T02,26.0,50.5,12.0,7.6,6.3,1,1,1,1,1
2018-08-12T03,23.5,43.0,13.0,6.4,4.8,1,1,1,1,1
2018-08-12T04,20.0,39.333,11.233,6.333,6.233,1,1,1,1,1
2018-08-12T05,18.0,42.0,10.633,10.167,6.533,1,1,1,1,1
2018-08-12T06,29.5,91.5,6.0,23.6,7.55,1,1,1,1,1
2018-08-12T07,26.0,102.0,5.9,24.65,7.35,1,1,1,1,1
2018-08-12T08,23.0,102.0,8.0,22.4,6.4,1,1,1,1,1
2018-08-12T09,28.75,105.5,11.1,26.95,6.825,1,1,1,1,1
2018-08-12T10,24.5,100.5,6.125,31.875,5.95,1,1,1,1,1
2018-08-12T11,25.25,115.75,12.85,25.325,4.875,1,1,1,1,1
2018-08-12T12,33.0,135.5,14.5,28.75,5.4,1,1,1,1,1
2018-08-12T13,36.5,125.25,9.6,27.7,5.05,1,1,1,1,1
2018-08-12T14,40.0,125.25,10.325,20.525,5.75,1,1,1,1,1
2018-08-12T15,48.5,120.75,9.725,17.125,6.9,1,1,1,1,1
2018-08-12T16,56.0,114.0,5.5,19.6,4.8,1,1,1,1,1
2018-08-12T17,46.0,88.0,5.275,20.3,5.433,1,1,1,1,1
2018-08-12T18,43.334,82.666,4.816,19.45,5.133,2,2,2,2,2
2018-08-12T19,45.5,86.25,5.425,16.35,3.85,1,1,1,1,1
2018-08-12T20,46.5,85.5,5.9,12.25,3.95,1,1,1,1,1
2018-08-12T21,46.0,84.0,5.65,10.4,4.7,1,1,1,1,1
2018-08-13T02,34.5,92.75,12.275,13.5,5.325,1,1,1,1,1
2018-08-13T03,28.5,116.75,13.4,17.1,8.5,1,1,1,1,1
2018-08-13T04,33.0,119.0,14.433,21.733,7.1,1,1,1,1,1
2018-08-13T05,30.0,121.0,15.667,43.8,7.6,1,1,1,1,1
2018-08-13T06,38.0,133.0,19.875,54.1,7.85,1,1,1,1,1
2018-08-13T07,44.0,137.0,12.725,35.55,6.225,1,1,1,1,1
2018-08-13T08,34.667,123.0,14.633,36.7,5.467,1,1,1,1,1
2018-08-13T09,31.75,124.0,21.725,26.25,7.975,1,1,1,1,1
2018-08-13T10,31.25,103.0,26.275,18.45,27.45,1,1,1,1,1
2018-08-13T11,30.5,92.0,22.65,16.825,28.575,1,1,1,1,1
2018-08-13T12,26.0,112.0,17.175,16.65,23.9,1,1,1,1,1
2018-08-13T13,31.333,105.0,14.733,15.2,12.633,1,1,1,1,1
2018-08-13T14,36.25,108.0,17.475,10.9,9.275,1,1,1,1,1
2018-08-13T15,38.5,158.0,23.075,6.3,7.75,1,1,1,1,1
2018-08-13T16,43.0,175.0,19.0,7.933,7.233,1,1,1,1,1
2018-08-13T17,47.667,99.0,12.733,16.267,7.1,1,1,1,1,1
2018-08-13T18,57.0,101.0,7.6,13.9,8.033,1,1,1,1,1
2018-08-13T19,103.0,146.0,5.975,13.7,7.45,1,1,1,1,1
2018-08-13T20,50.0,95.0,5.133,13.733,7.567,1,1,1,1,1
2018-08-13T21,53.0,79.0,5.1,12.4,7.433,1,1,1,1,1
2018-08-13T22,30.0,61.0,5.25,11.775,7.15,1,1,1,1,1
2018-08-13T23,28.0,60.0,5.675,10.975,7.7,1,1,1,1,1
2018-08-14T00,33.0,60.0,5.367,10.867,7.833,1,1,1,1,1
2018-08-14T01,31.0,55.0,6.467,10.9,6.733,1,1,1,1,1
2018-08-14T02,33.0,67.0,6.35,17.0,6.2,1,1,1,1,1
2018-08-14T03,36.0,85.0,8.7,21.825,7.3,1,1,1,1,1
2018-08-14T04,38.0,115.0,15.225,28.925,7.325,1,1,1,1,1
2018-08-14T05,44.25,136.0,17.2,22.425,8.05,1,1,1,1,1
2018-08-14T06,42.0,62.0,16.525,42.75,10.425,1,1,1,1,1
2018-08-14T07,57.0,127.0,16.775,55.8,11.75,1,1,1,1,1
2018-08-14T08,51.0,141.0,10.567,62.633,10.367,1,1,1,1,1
2018-08-14T09,62.0,166.0,13.933,55.3,10.8,1,1,1,1,1
2018-08-14T11,43.5,149.0,11.15,47.15,8.95,1,1,1,1,1
2018-08-14T12,41.0,169.0,12.475,28.475,8.525,1,1,1,1,1
2018-08-14T13,50.333,260.0,11.533,42.667,9.567,1,1,1,1,1
2018-08-14T15,61.75,258.0,15.275,27.15,8.325,1,1,1,1,1
2018-08-14T16,57.0,157.0,9.55,19.325,7.35,1,1,1,1,1
2018-08-14T23,36.0,59.0,6.8,11.5,5.9,1,1,1,1,1
2018-08-15T00,31.0,68.0,6.825,13.2,5.725,1,1,1,1,1
2018-08-15T01,33.0,70.0,6.95,13.35,5.85,1,1,1,1,1
2018-08-15T03,47.0,116.0,8.3,30.3,7.3,1,1,1,1,1
2018-08-15T04,54.0,160.0,7.4,35.4,7.3,1,1,1,1,1
2018-08-15T05,60.0,207.0,7.3,51.1,7.6,1,1,1,1,1
2018-08-15T06,52.0,222.0,5.7,50.95,7.9,1,1,1,1,1
2018-08-15T07,47.0,118.0,6.3,50.425,7.4,1,1,1,1,1
2018-08-15T08,48.0,131.0,5.75,36.7,8.575,1,1,1,1,1
2018-08-15T09,39.0,94.0,6.225,35.925,6.775,1,1,1,1,1
2018-08-15T10,38.0,69.0,5.5,35.95,6.35,1,1,1,1,1
2018-08-15T11,27.0,55.0,6.15,33.3,6.575,1,1,1,1,1
2018-08-15T12,26.667,69.0,5.533,32.267,6.567,1,1,1,1,1
2018-08-15T13,22.667,62.0,5.133,28.967,7.033,1,1,1,1,1
2018-08-15T14,22.333,62.0,5.067,28.933,6.933,1,1,1,1,1
2018-08-15T15,19.0,35.0,6.525,26.7,6.775,1,1,1,1,1
2018-08-15T16,22.0,48.0,7.167,24.2,6.5,1,1,1,1,1
2018-08-15T17,26.333,67.0,7.167,20.767,6.75,1,1,1,1,1
2018-08-15T18,25.0,64.0,5.875,22.425,6.7,2,2,2,2,2
2018-08-15T19,46.0,71.0,5.633,21.533,6.1,1,1,1,1,1
2018-08-15T20,31.0,58.0,6.267,14.9,5.2,1,1,1,1,1
2018-08-15T21,41.0,71.0,8.45,13.05,5.425,1,1,1,1,1
2018-08-15T22,52.0,95.0,10.775,9.975,5.775,1,1,1,1,1
2018-08-15T23,47.0,104.0,10.95,8.225,6.15,1,1,1,1,1
2018-08-16T00,46.0,82.0,10.225,7.575,5.325,1,1,1,1,1
2018-08-16T01,37.0,81.0,10.225,11.625,7.075,1,1,1,1,1
2018-08-16T02,59.0,86.0,10.675,18.5,6.85,1,1,1,1,1
2018-08-16T03,44.0,121.0,,21.367,,1,1,0,1,0
2018-08-16T04,21.0,89.0,8.675,30.0,6.875,1,1,1,1,1
2018-08-16T05,19.0,69.0,10.6,29.45,5.95,1,1,1,1,1
2018-08-16T06,22.0,65.0,6.033,29.7,6.1,1,1,1,1,1
2018-08-16T07,16.0,985.0,10.15,26.4,4.45,1,1,1,1,1
2018-08-16T08,14.0,48.0,13.95,21.225,3.875,1,1,1,1,1
2018-08-16T09,13.0,88.0,9.1,13.675,4.175,1,1,1,1,1
2018-08-16T10,7.0,7.0,16.3,11.4,10.85,1,1,1,1,1
2018-08-16T11,20.0,52.0,17.433,13.933,13.1,1,1,1,1,1
2018-08-16T12,27.0,97.0,11.2,12.133,12.133,1,1,1,1,1
2018-08-16T13,30.0,121.0,13.333,4.733,10.2,1,1,1,1,1
2018-08-16T14,39.0,164.0,16.15,3.675,9.525,1,1,1,1,1
2018-08-16T15,60.0,170.0,14.7,3.7,10.433,1,1,1,1,1
2018-08-16T18,78.0,173.0,9.25,3.9,6.75,1,1,1,1,1
2018-08-16T19,47.25,92.0,7.95,5.8,4.45,1,1,1,1,1
2018-08-16T20,33.0,63.0,4.675,7.775,5.075,1,1,1,1,1
2018-08-16T21,36.0,70.0,4.233,6.733,4.633,1,1,1,1,1
2018-08-16T22,35.0,69.0,3.75,7.75,3.25,1,1,1,1,1
2018-08-16T23,33.0,59.0,4.2,8.8,3.1,1,1,1,1,1
2018-08-17T00,23.0,44.0,3.75,8.325,3.825,1,1,1,1,1
2018-08-17T01,24.0,54.0,4.35,10.05,4.25,1,1,1,1,1
2018-08-17T02,22.0,69.0,4.667,20.1,4.067,1,1,1,1,1
2018-08-17T03,23.0,84.0,12.9,18.3,5.7,1,1,1,1,1
2018-08-17T04,29.0,61.0,5.3,20.2,5.5,1,1,1,1,1
2018-08-17T05,24.0,75.0,10.5,22.45,3.35,1,1,1,1,1
2018-08-17T06,20.0,74.0,5.1,29.3,2.8,1,1,1,1,1
2018-08-17T10,20.0,97.0,22.2,23.967,2.367,1,1,1,1,1
2018-08-17T11,13.25,120.0,22.05,22.1,2.15,1,1,1,1,1
2018-08-17T12,13.5,98.0,27.85,21.5,2.8,1,1,1,1,1
2018-08-17T14,42.5,138.0,52.4,6.05,3.5,1,1,1,1,1
2018-08-17T15,56.0,176.0,48.2,6.9,4.6,1,1,1,1,1
2018-08-17T16,35.0,134.0,36.55,5.95,3.1,1,1,1,1,1
2018-08-17T17,36.0,105.0,35.667,5.633,3.767,1,1,1,1,1
2018-08-17T18,32.0,84.0,21.5,9.784,5.9,2,2,2,2,2
2018-08-17T19,24.0,48.0,19.9,9.0,7.775,1,1,1,1,1
2018-08-17T20,31.0,61.0,23.667,8.167,7.267,1,1,1,1,1
2018-08-17T21,41.0,105.0,19.85,8.975,6.875,1,1,1,1,1
2018-08-17T22,36.0,76.0,19.575,8.6,6.85,1,1,1,1,1
2018-08-17T23,31.0,53.0,27.35,6.6,6.925,1,1,1,1,1
2018-08-18T00,35.0,92.0,31.775,4.9,7.45,1,1,1,1,1
2018-08-18T01,28.0,90.0,29.85,8.025,6.3,1,1,1,1,1
2018-08-18T02,38.0,79.0,27.267,21.3,6.467,1,1,1,1,1
2018-08-18T03,33.0,120.0,22.3,24.075,7.5,1,1,1,1,1
2018-08-18T04,30.0,127.0,20.575,27.775,6.0,1,1,1,1,1
2018-08-18T05,22.0,78.0,13.367,29.6,5.033,1,1,1,1,1
2018-08-18T06,23.0,63.0,14.367,30.9,6.7,1,1,1,1,1
2018-08-18T07,26.0,61.0,13.85,32.05,5.6,1,1,1,1,1
2018-08-18T08,22.0,58.0,14.35,32.075,5.2,1,1,1,1,1
2018-08-18T09,18.0,63.0,16.0,34.2,5.867,1,1,1,1,1
2018-08-18T10,19.0,69.0,31.25,27.975,7.85,1,1,1,1,1
2018-08-18T11,25.0,132.0,45.3,16.725,4.4,1,1,1,1,1
2018-08-18T12,22.0,54.0,60.15,9.3,8.7,1,1,1,1,1
2018-08-18T13,34.667,77.0,44.7,11.25,6.275,1,1,1,1,1
2018-08-18T14,31.0,70.0,37.667,10.233,7.533,1,1,1,1,1
2018-08-18T15,29.0,63.0,26.425,12.85,7.3,1,1,1,1,1
2018-08-18T16,20.0,47.0,25.55,12.65,7.175,1,1,1,1,1
2018-08-18T17,22.25,45.0,24.4,9.55,6.633,1,1,1,1,1
2018-08-18T18,17.0,42.0,23.9,8.7,6.0,1,1,1,1,1
2018-08-19T20,50.0,67.0,33.9,7.1,8.9,1,1,1,1,1
2018-08-19T21,56.0,79.0,37.6,3.8,8.5,1,1,1,1,1
2018-08-19T23,54.0,75.0,32.1,3.85,9.0,1,1,1,1,1
2018-08-20T02,77.0,133.0,95.4,22.3,10.4,1,1,1,1,1
2018-08-20T03,95.0,181.0,62.8,37.125,13.8,1,1,1,1,1
2018-08-20T05,71.0,147.0,34.133,55.967,13.033,1,1,1,1,1
2018-08-20T06,58.0,115.0,27.467,52.033,12.2,1,1,1,1,1
2018-08-20T07,46.0,112.0,30.925,61.825,11.175,1,1,1,1,1
2018-08-20T08,54.0,111.0,31.05,58.4,10.3,1,1,1,1,1
2018-08-20T09,43.0,139.0,44.6,47.6,7.05,1,1,1,1,1
