hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2021-12-31T22,211.0,326.0,,,29.4,1,1,0,0,1
2022-01-01T07,172.0,288.0,43.0,,15.1,1,1,1,0,1
2022-01-01T11,153.0,351.0,82.6,,10.0,1,1,1,0,1
2022-01-01T12,190.0,474.0,77.9,,7.3,1,1,1,0,1
2022-01-02T10,85.0,187.0,57.8,,22.2,1,1,1,0,1
2022-01-02T12,127.0,389.0,70.7,,12.2,1,1,1,0,1
2022-01-02T13,144.0,411.0,87.6,,20.2,1,1,1,0,1
2022-01-02T15,218.0,431.0,85.5,,17.5,1,1,1,0,1
2022-01-02T16,1390.0,,69.4,,14.2,1,0,1,0,1
2022-01-02T18,215.0,,62.2,,9.5,1,0,1,0,1
2022-01-02T22,225.0,334.0,47.8,,5.0,1,1,1,0,1
2022-01-05T10,56.0,76.0,9.9,,1.9,1,1,1,0,1
2022-01-17T10,181.0,325.0,31.3,63.17,6.5,1,1,1,1,1
2022-01-20T17,188.0,332.0,27.5,,9.2,1,1,1,0,1
2022-01-20T21,144.0,265.0,18.0,,9.5,1,1,1,0,1
2022-01-21T11,120.0,214.0,18.2,49.16,5.1,1,1,1,1,1
2022-01-21T19,176.0,282.0,16.5,,4.5,1,1,1,0,1
2022-01-21T22,118.0,170.0,15.7,23.21,4.7,1,1,1,1,1
2022-01-22T06,109.0,157.0,24.7,15.9,4.7,1,1,1,1,1
2022-01-22T18,58.0,78.0,7.4,34.38,1.4,1,1,1,1,1
2022-01-23T17,202.0,314.0,27.3,1.18,6.2,1,1,1,1,1
2022-01-24T08,92.0,154.0,23.4,24.56,4.8,1,1,1,1,1
2022-01-24T10,83.0,138.0,24.6,37.93,9.4,1,1,1,1,1
2022-01-25T02,58.0,142.0,18.7,7.76,8.9,1,1,1,1,1
2022-01-25T03,56.0,128.0,21.1,5.47,7.8,1,1,1,1,1
2022-01-25T08,76.0,164.0,25.1,19.25,7.6,1,1,1,1,1
2022-01-25T18,144.0,302.0,35.1,0.67,8.1,1,1,1,1,1
2022-01-26T00,68.0,146.0,27.4,0.2,7.5,1,1,1,1,1
2022-01-26T07,73.0,159.0,11.5,50.51,9.6,1,1,1,1,1
2022-01-26T10,55.0,117.0,14.3,47.24,7.4,1,1,1,1,1
2022-01-28T04,80.0,166.0,37.1,49.92,17.5,1,1,1,1,1
2022-01-28T10,22.0,77.0,17.1,75.99,0.3,1,1,1,1,1
2022-01-28T13,63.0,177.0,57.4,18.25,21.0,1,1,1,1,1
2022-01-28T15,118.0,316.0,75.0,0.63,5.8,1,1,1,1,1
2022-01-29T18,129.0,282.0,63.3,,15.5,1,1,1,0,1
2022-01-29T19,125.0,228.0,61.1,,14.1,1,1,1,0,1
2022-01-29T20,122.0,203.0,,15.78,,1,1,0,1,0
2022-01-29T21,111.0,178.0,30.3,34.89,9.2,1,1,1,1,1
2022-01-29T22,104.0,162.0,21.0,48.33,12.4,1,1,1,1,1
2022-01-29T23,116.0,174.0,25.3,39.22,8.8,1,1,1,1,1
2022-01-30T00,121.0,190.0,25.5,33.46,5.5,1,1,1,1,1
2022-01-30T01,111.0,174.0,26.7,29.05,14.8,1,1,1,1,1
2022-01-30T02,111.0,168.0,25.2,36.22,17.3,1,1,1,1,1
2022-01-30T03,110.0,178.0,22.3,45.47,24.8,1,1,1,1,1
2022-01-30T04,109.0,192.0,24.1,53.88,19.9,1,1,1,1,1
2022-01-30T05,97.0,182.0,26.2,66.66,14.5,1,1,1,1,1
2022-01-30T06,80.0,177.0,22.4,85.81,18.8,1,1,1,1,1
2022-01-30T08,69.0,166.0,16.1,96.35,17.4,1,1,1,1,1
2022-01-30T09,60.0,149.0,20.6,89.22,15.6,1,1,1,1,1
2022-01-30T10,60.0,151.0,23.6,84.79,12.7,1,1,1,1,1
2022-01-30T11,62.0,138.0,42.7,51.74,11.9,1,1,1,1,1
2022-01-30T12,72.0,190.0,39.3,51.59,14.1,1,1,1,1,1
2022-01-30T13,83.0,182.0,39.1,43.16,20.3,1,1,1,1,1
2022-01-30T14,99.0,199.0,61.4,11.88,22.4,1,1,1,1,1
2022-01-30T16,132.0,262.0,69.8,6.0,14.7,1,1,1,1,1
2022-01-30T17,144.0,266.0,72.8,5.72,12.7,1,1,1,1,1
2022-01-30T18,153.0,270.0,66.3,0.61,17.1,1,1,1,1,1
2022-01-30T19,173.0,290.0,61.0,,13.0,1,1,1,0,1
2022-01-30T22,155.0,268.0,42.7,0.84,9.4,1,1,1,1,1
2022-01-30T23,151.0,271.0,38.3,0.59,4.3,1,1,1,1,1
2022-01-31T00,156.0,262.0,34.8,1.14,3.9,1,1,1,1,1
2022-01-31T01,165.0,285.0,35.8,,12.6,1,1,1,0,1
2022-01-31T02,244.0,386.0,47.7,1.59,14.5,1,1,1,1,1
2022-01-31T04,240.0,374.0,33.2,14.23,16.1,1,1,1,1,1
2022-01-31T05,191.0,296.0,23.1,21.7,7.4,1,1,1,1,1
2022-01-31T06,169.0,257.0,18.5,27.79,8.8,1,1,1,1,1
2022-01-31T07,146.0,235.0,15.0,37.12,9.3,1,1,1,1,1
2022-01-31T08,144.0,219.0,13.5,47.04,8.5,1,1,1,1,1
2022-01-31T09,143.0,213.0,13.0,51.47,12.8,1,1,1,1,1
2022-01-31T17,160.0,274.0,,0.16,13.1,1,1,0,1,1
2022-02-01T09,125.0,232.0,27.5,103.23,0.3,1,1,1,1,1
2022-02-01T12,108.0,230.0,57.5,30.85,10.6,1,1,1,1,1
2022-02-01T13,120.0,242.0,58.3,9.78,7.1,1,1,1,1,1
2022-02-01T14,170.0,285.0,57.6,8.06,8.3,1,1,1,1,1
2022-02-01T16,181.0,272.0,,1.31,15.7,1,1,0,1,1
2022-02-01T18,176.0,256.0,34.1,16.64,11.8,1,1,1,1,1
2022-02-01T20,157.0,230.0,,39.1,,1,1,0,1,0
2022-02-01T21,141.0,195.0,15.7,41.08,8.9,1,1,1,1,1
2022-02-01T22,143.0,194.0,13.9,39.2,5.7,1,1,1,1,1
2022-02-01T23,140.0,194.0,16.2,32.12,7.3,1,1,1,1,1
2022-02-02T00,138.0,198.0,15.8,30.13,8.4,1,1,1,1,1
2022-02-02T01,139.0,201.0,17.7,27.19,10.0,1,1,1,1,1
2022-02-02T02,138.0,197.0,21.1,23.76,13.4,1,1,1,1,1
2022-02-02T03,139.0,202.0,26.9,20.64,8.7,1,1,1,1,1
2022-02-02T04,146.0,227.0,28.5,36.06,10.8,1,1,1,1,1
2022-02-02T06,125.0,214.0,34.6,72.09,13.0,1,1,1,1,1
2022-02-02T07,108.0,197.0,30.7,93.2,17.8,1,1,1,1,1
2022-02-02T09,80.0,165.0,27.5,110.9,10.3,1,1,1,1,1
2022-02-02T11,138.0,274.0,26.1,102.1,15.2,1,1,1,1,1
