hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2019-04-27T11,46.0,439.0,8.1,108.27,3.95,1,1,1,1,1
2019-04-27T12,53.0,495.0,16.5,90.02,4.5,1,1,1,1,1
2019-04-27T14,94.0,530.0,37.5,47.355,8.9,1,1,1,1,1
2019-04-27T15,82.0,523.0,54.0,23.79,15.6,1,1,1,1,1
2019-04-27T16,88.0,517.0,58.4,23.585,28.55,1,1,1,1,1
2019-04-27T19,106.0,565.0,22.15,57.095,16.7,1,1,1,1,1
2019-04-27T20,66.0,388.0,37.625,40.22,40.425,1,1,1,1,1
2019-04-27T21,66.25,375.25,42.825,30.218,48.433,1,1,1,1,1
2019-04-27T22,65.75,348.0,38.5,31.925,34.2,1,1,1,1,1
2019-04-27T23,62.0,327.0,42.833,20.077,36.2,1,1,1,1,1
2019-04-28T00,78.0,362.0,36.3,42.303,55.9,1,1,1,1,1
2019-04-28T01,74.25,362.25,26.5,56.942,252.5,1,1,1,1,1
2019-04-28T02,82.75,401.75,27.2,97.41,58.05,1,1,1,1,1
2019-04-28T03,88.0,410.0,23.15,121.14,26.85,1,1,1,1,1
2019-04-28T04,74.0,420.5,14.075,123.505,13.65,1,1,1,1,1
2019-04-28T05,62.667,516.667,6.1,106.893,5.767,1,1,1,1,1
2019-04-28T06,55.25,610.25,3.475,102.62,4.75,1,1,1,1,1
2019-04-28T07,49.333,639.333,2.167,102.633,3.5,1,1,1,1,1
2019-04-28T08,51.5,515.5,2.05,107.317,3.475,1,1,1,1,1
2019-04-28T09,44.0,406.0,3.2,111.07,4.1,1,1,1,1,1
2019-04-28T10,49.0,314.333,3.5,102.593,2.167,1,1,1,1,1
2019-04-28T11,45.0,317.0,5.167,101.21,2.2,1,1,1,1,1
2019-04-28T12,51.0,,13.6,83.44,3.8,1,0,1,1,1
2019-04-28T13,57.0,,24.267,70.62,9.0,1,0,1,1,1
2019-04-28T14,75.0,490.0,37.767,47.98,15.533,1,1,1,1,1
2019-04-28T15,89.667,495.0,50.367,31.277,20.4,1,1,1,1,1
2019-04-28T16,96.0,485.75,62.775,15.515,25.275,1,1,1,1,1
2019-04-28T17,100.5,511.5,56.225,21.483,25.075,1,1,1,1,1
2019-04-28T18,86.0,510.0,42.325,28.305,29.275,2,2,2,2,2
2019-04-28T19,77.0,296.0,30.05,48.04,30.85,1,1,1,1,1
2019-04-28T20,59.0,298.75,29.975,44.3,23.025,1,1,1,1,1
2019-04-28T21,58.5,301.5,27.225,44.968,18.667,1,1,1,1,1
2019-04-28T22,62.0,285.0,31.633,33.163,24.867,1,1,1,1,1
2019-04-28T23,72.0,,39.467,21.417,26.233,1,0,1,1,1
2019-04-29T00,95.0,514.0,52.125,19.102,36.85,1,1,1,1,1
2019-04-29T01,160.0,553.667,43.5,46.373,262.0,1,1,1,1,1
2019-04-29T02,193.0,595.75,33.525,85.44,44.825,1,1,1,1,1
2019-04-29T03,121.75,452.25,23.2,112.577,39.767,1,1,1,1,1
2019-04-29T04,115.667,334.0,12.033,137.207,23.467,1,1,1,1,1
2019-04-29T05,57.0,262.0,7.7,134.75,12.8,1,1,1,1,1
2019-04-29T06,57.0,262.0,5.667,128.16,7.633,1,1,1,1,1
2019-04-29T07,45.0,229.0,3.833,129.93,6.633,1,1,1,1,1
2019-04-29T08,41.25,,3.7,131.912,5.275,1,0,1,1,1
2019-04-29T09,40.75,265.0,3.0,130.472,4.967,1,1,1,1,1
2019-04-29T10,49.0,265.0,4.725,101.237,7.55,1,1,1,1,1
2019-04-29T11,65.0,,8.367,102.833,8.367,1,0,1,1,1
2019-04-29T12,79.0,,18.067,83.73,8.9,1,0,1,1,1
2019-04-29T13,108.667,,50.4,51.287,14.1,1,0,1,1,1
2019-04-29T14,123.333,,81.4,16.12,19.9,1,0,1,1,1
2019-04-29T15,138.0,,94.9,3.86,58.5,1,0,1,1,1
2019-04-29T16,164.0,627.333,81.833,3.343,73.633,1,1,1,1,1
2019-04-29T17,163.333,541.0,64.867,11.303,91.467,1,1,1,1,1
2019-04-29T18,179.25,513.75,48.65,25.333,99.175,2,2,2,2,2
2019-04-29T19,186.0,479.75,35.55,34.015,67.825,1,1,1,1,1
2019-04-29T20,146.333,425.0,30.533,40.337,75.133,1,1,1,1,1
2019-04-29T21,140.0,,36.033,24.48,69.45,1,0,1,1,1
2019-04-29T22,180.75,,52.525,14.758,97.15,1,0,1,1,1
2019-04-29T23,189.0,,72.933,1.86,106.8,1,0,1,1,1
2019-04-30T00,302.75,,88.6,25.035,115.3,1,0,1,1,1
2019-04-30T01,280.0,,112.3,17.155,266.6,1,0,1,1,1
2019-04-30T02,168.75,,104.2,99.16,47.725,1,0,1,1,1
2019-04-30T03,129.75,,43.375,151.028,34.2,1,0,1,1,1
2019-04-30T04,96.0,,33.5,204.04,33.7,1,0,1,1,1
2019-04-30T05,93.667,,26.967,242.977,35.233,1,0,1,1,1
2019-04-30T06,78.333,,15.5,189.313,15.833,1,0,1,1,1
2019-04-30T07,59.5,,12.075,186.24,12.975,1,0,1,1,1
2019-04-30T08,56.25,,11.375,180.882,12.0,1,0,1,1,1
2019-04-30T09,60.0,,9.2,166.89,9.0,1,0,1,1,1
2019-04-30T10,47.0,,10.5,162.2,10.0,1,0,1,1,1
2019-04-30T11,55.0,,23.45,140.385,13.4,1,0,1,1,1
2019-04-30T12,143.0,,39.0,93.433,13.025,1,0,1,1,1
