hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T06,84.0,221.0,30.2,5.6,4.4,1,1,1,1,1
2018-08-10T09,20.0,103.0,30.1,4.3,5.9,1,1,1,1,1
2018-08-10T10,39.0,128.0,27.5,3.8,8.5,1,1,1,1,1
2018-08-10T16,44.0,151.0,38.0,5.5,7.0,1,1,1,1,1
2018-08-10T23,16.0,73.0,36.6,3.2,7.7,1,1,1,1,1
2018-08-11T02,29.0,130.0,34.9,3.3,8.9,1,1,1,1,1
2018-08-11T10,24.0,160.0,30.5,3.6,6.8,1,1,1,1,1
2018-08-11T11,33.0,182.0,30.7,3.2,6.7,1,1,1,1,1
2018-08-11T15,42.0,186.0,36.05,9.4,6.35,1,1,1,1,1
2018-08-11T18,24.0,89.0,32.7,3.5,6.6,1,1,1,1,1
2018-08-11T19,17.0,68.0,30.0,,6.2,1,1,1,0,1
2018-08-11T20,17.0,80.0,,3.55,,1,1,0,1,0
2018-08-11T21,20.0,74.0,26.9,3.1,6.5,1,1,1,1,1
2018-08-11T22,30.0,57.0,32.1,3.5,6.5,1,1,1,1,1
2018-08-11T23,19.0,55.0,36.4,3.2,7.3,1,1,1,1,1
2018-08-12T02,17.0,83.0,27.0,3.2,7.5,1,1,1,1,1
2018-08-12T05,28.0,136.0,33.8,3.0,6.2,1,1,1,1,1
2018-08-12T09,25.0,114.0,20.6,3.6,,1,1,1,1,0
2018-08-12T12,41.0,166.0,,3.5,,1,1,0,1,0
2018-08-12T14,81.0,196.0,41.75,4.45,7.2,1,1,1,1,1
2018-08-13T10,22.0,86.0,29.3,3.1,5.9,1,1,1,1,1
2018-08-13T11,34.0,88.0,25.4,3.1,5.2,1,1,1,1,1
2018-08-13T12,28.0,86.0,22.9,3.2,5.3,1,1,1,1,1
2018-08-13T14,46.0,123.0,27.0,3.1,6.4,1,1,1,1,1
2018-08-13T15,50.0,133.0,31.1,3.5,6.9,1,1,1,1,1
2018-08-13T16,68.0,147.0,35.2,3.3,7.2,1,1,1,1,1
2018-08-15T06,48.0,122.0,28.7,3.9,4.2,1,1,1,1,1
2018-08-16T04,41.0,97.0,23.1,5.0,6.9,1,1,1,1,1
2018-08-16T06,44.0,123.0,24.1,8.6,5.7,1,1,1,1,1
2018-08-16T11,19.0,62.0,60.4,8.8,11.0,1,1,1,1,1
2018-08-16T12,29.0,67.0,88.05,2.05,14.7,1,1,1,1,1
2018-08-16T13,46.0,108.0,74.3,3.9,16.5,1,1,1,1,1
2018-08-16T15,149.0,240.0,51.4,,6.7,1,1,1,0,1
2018-08-16T18,30.0,96.0,37.6,,4.6,1,1,1,0,1
2018-08-16T21,14.0,58.0,30.8,2.15,10.3,1,1,1,1,1
2018-08-16T22,30.0,86.0,35.2,33.1,14.2,1,1,1,1,1
2018-08-17T00,34.0,81.0,36.3,4.1,11.0,1,1,1,1,1
2018-08-17T02,18.0,61.0,25.7,8.6,13.7,1,1,1,1,1
2018-08-17T14,31.0,114.0,33.8,,10.8,1,1,1,0,1
2018-08-17T16,35.0,70.0,24.9,,8.7,1,1,1,0,1
2018-08-17T17,23.0,67.0,32.1,,8.6,1,1,1,0,1
2018-08-17T20,19.0,117.0,,1.1,,1,1,0,1,0
2018-08-17T21,25.0,117.0,28.6,1.4,15.1,1,1,1,1,1
2018-08-17T22,27.0,97.0,29.2,3.4,16.5,1,1,1,1,1
2018-08-17T23,51.0,112.0,30.25,102.05,19.25,1,1,1,1,1
2018-08-18T00,47.0,128.0,40.8,33.9,17.1,1,1,1,1,1
2018-08-18T02,28.0,99.0,37.6,6.3,21.0,1,1,1,1,1
2018-08-18T03,30.0,132.0,32.3,10.7,31.2,1,1,1,1,1
2018-08-18T06,25.0,95.0,33.3,35.8,16.4,1,1,1,1,1
2018-08-18T09,29.0,89.0,28.7,52.8,11.0,1,1,1,1,1
2018-08-18T10,22.0,100.0,22.6,16.8,9.9,1,1,1,1,1
2018-08-18T11,18.0,42.0,32.7,16.8,7.2,1,1,1,1,1
2018-08-18T12,11.0,27.0,65.9,9.7,11.3,1,1,1,1,1
2018-08-18T13,13.0,107.0,52.8,14.5,14.8,1,1,1,1,1
2018-08-18T14,52.0,103.0,46.9,7.0,11.95,1,1,1,1,1
2018-08-18T17,24.0,59.0,36.7,3.5,11.8,1,1,1,1,1
2018-08-18T18,38.0,95.0,26.4,3.4,8.0,1,1,1,1,1
2018-08-18T19,16.0,47.0,26.1,6.8,8.0,1,1,1,1,1
2018-08-18T22,19.0,47.0,21.1,2.9,10.6,1,1,1,1,1
2018-08-18T23,19.0,41.0,24.9,10.6,11.2,1,1,1,1,1
