hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2025-12-31T18,284.0,365.0,78.3,23.5,7.0,1,1,1,1,1
2025-12-31T19,262.0,360.0,72.55,28.9,7.5,1,1,1,1,1
2025-12-31T20,233.0,331.0,87.5,36.875,76.9,1,1,1,1,1
2025-12-31T21,228.0,326.0,77.175,39.7,4.775,1,1,1,1,1
2025-12-31T22,208.0,301.0,83.233,30.733,3.933,1,1,1,1,1
2025-12-31T23,208.0,322.0,70.75,42.85,4.05,1,1,1,1,1
2026-01-01T00,191.0,267.0,66.65,45.875,4.65,1,1,1,1,1
2026-01-01T01,188.0,288.0,68.025,48.25,3.9,1,1,1,1,1
2026-01-01T02,189.0,254.0,74.0,33.75,3.5,1,1,1,1,1
2026-01-01T03,199.0,267.0,85.1,28.15,5.4,1,1,1,1,1
2026-01-01T04,204.0,285.0,84.2,24.75,6.175,1,1,1,1,1
2026-01-01T05,206.0,289.0,83.525,32.275,6.475,1,1,1,1,1
2026-01-01T06,211.0,299.0,76.625,39.925,6.225,1,1,1,1,1
2026-01-01T07,211.0,277.0,82.175,43.575,6.95,1,1,1,1,1
2026-01-01T08,235.0,310.0,86.45,50.925,6.225,1,1,1,1,1
2026-01-01T09,239.0,305.0,102.05,38.575,5.875,1,1,1,1,1
2026-01-01T10,252.0,343.0,123.667,22.733,5.167,1,1,1,1,1
2026-01-01T11,263.0,384.0,127.933,14.467,6.333,1,1,1,1,1
2026-01-01T12,295.0,417.0,127.875,9.625,7.7,1,1,1,1,1
2026-01-01T13,344.0,481.0,127.75,9.575,10.0,1,1,1,1,1
2026-01-01T14,318.0,428.0,119.975,7.2,9.0,1,1,1,1,1
2026-01-01T15,251.0,351.0,109.375,13.375,8.275,1,1,1,1,1
2026-01-01T16,246.0,340.0,96.1,24.425,7.325,1,1,1,1,1
2026-01-01T17,252.0,312.0,98.05,24.4,6.825,1,1,1,1,1
2026-01-01T18,216.0,306.0,72.6,28.9,7.3,1,1,1,1,1
2026-01-01T19,111.0,149.0,62.725,39.6,6.525,1,1,1,1,1
2026-01-01T20,79.0,96.0,70.55,36.975,77.05,1,1,1,1,1
2026-01-01T21,80.0,95.0,69.0,35.7,4.05,1,1,1,1,1
2026-01-01T22,78.0,97.0,77.125,18.85,3.25,1,1,1,1,1
2026-01-01T23,74.0,107.0,69.75,20.675,3.6,1,1,1,1,1
2026-01-02T00,74.0,101.0,76.425,9.55,3.95,1,1,1,1,1
2026-01-02T01,75.0,110.0,67.9,8.9,4.275,1,1,1,1,1
2026-01-02T02,80.0,122.0,79.025,5.067,4.325,1,1,1,1,1
2026-01-02T03,91.0,141.0,85.4,17.35,4.2,1,1,1,1,1
2026-01-02T04,85.0,150.0,78.725,44.0,5.375,1,1,1,1,1
2026-01-02T05,69.0,123.0,76.0,53.5,5.2,1,1,1,1,1
2026-01-02T06,79.0,146.0,74.725,69.025,5.925,1,1,1,1,1
2026-01-02T07,77.0,138.0,71.275,79.8,7.9,1,1,1,1,1
2026-01-02T08,70.0,149.0,70.7,78.4,8.5,1,1,1,1,1
2026-01-02T09,90.0,149.0,85.9,66.2,4.9,1,1,1,1,1
2026-01-02T10,96.0,153.0,86.1,57.85,5.0,1,1,1,1,1
2026-01-02T11,96.0,147.0,103.425,45.95,5.0,1,1,1,1,1
2026-01-02T12,105.0,180.0,114.625,28.6,4.975,1,1,1,1,1
2026-01-02T13,130.0,196.0,144.533,11.333,5.4,1,1,1,1,1
2026-01-02T14,147.0,226.0,143.175,5.333,5.2,1,1,1,1,1
2026-01-02T15,157.0,238.0,141.925,12.975,7.775,1,1,1,1,1
2026-01-02T16,130.0,196.0,114.3,32.025,7.5,1,1,1,1,1
2026-01-02T17,121.0,172.0,111.3,29.225,7.425,1,1,1,1,1
2026-01-02T19,134.0,207.0,106.0,,8.3,1,1,1,0,1
2026-01-02T20,139.0,211.0,109.45,16.0,82.45,1,1,1,1,1
2026-01-02T21,135.0,210.0,95.775,11.65,11.6,1,1,1,1,1
2026-01-02T22,140.0,215.0,103.125,9.6,9.175,1,1,1,1,1
2026-01-02T23,151.0,215.0,105.233,7.267,8.667,1,1,1,1,1
2026-01-03T01,184.0,237.0,95.075,8.725,10.025,1,1,1,1,1
2026-01-03T02,201.0,274.0,95.5,7.5,8.925,1,1,1,1,1
2026-01-03T03,186.0,274.0,113.45,12.625,9.375,1,1,1,1,1
2026-01-03T04,158.0,249.0,117.4,29.05,9.125,1,1,1,1,1
2026-01-03T05,141.0,277.0,97.65,45.1,11.4,1,1,1,1,1
2026-01-03T06,130.0,223.0,74.75,78.4,7.775,1,1,1,1,1
2026-01-03T07,97.0,145.0,65.15,82.975,8.125,1,1,1,1,1
2026-01-03T08,101.0,150.0,67.125,94.625,6.025,1,1,1,1,1
2026-01-03T09,105.0,156.0,73.4,96.625,4.075,1,1,1,1,1
2026-01-03T10,110.0,171.0,103.8,72.625,3.825,1,1,1,1,1
2026-01-03T11,127.0,212.0,116.875,49.3,5.025,1,1,1,1,1
2026-01-03T12,134.0,215.0,150.425,10.75,5.7,1,1,1,1,1
2026-01-03T13,157.0,245.0,152.0,3.225,7.0,1,1,1,1,1
2026-01-03T14,169.0,268.0,141.25,2.8,7.125,1,1,1,1,1
2026-01-03T15,169.0,257.0,137.4,2.275,9.175,1,1,1,1,1
2026-01-03T16,196.0,299.0,136.05,2.525,9.675,1,1,1,1,1
2026-01-03T17,179.0,273.0,130.95,2.325,9.85,1,1,1,1,1
2026-01-03T18,169.0,256.0,111.5,,12.0,1,1,1,0,1
2026-01-03T19,171.0,272.0,100.7,1.6,13.425,1,1,1,1,1
2026-01-03T20,179.0,337.0,87.75,11.15,79.45,1,1,1,1,1
2026-01-03T21,172.0,277.0,88.4,4.5,10.075,1,1,1,1,1
2026-01-03T22,172.0,257.0,92.575,1.4,9.225,1,1,1,1,1
2026-01-03T23,177.0,257.0,91.475,2.85,8.0,1,1,1,1,1
2026-01-04T00,173.0,244.0,95.775,2.85,7.075,1,1,1,1,1
2026-01-04T01,178.0,249.0,93.0,2.925,7.125,1,1,1,1,1
2026-01-04T02,171.0,237.0,94.325,3.95,5.7,1,1,1,1,1
2026-01-04T03,166.0,240.0,87.625,17.8,6.775,1,1,1,1,1
2026-01-04T04,143.0,197.0,78.675,40.575,7.125,1,1,1,1,1
2026-01-04T05,135.0,200.0,75.3,62.425,6.975,1,1,1,1,1
2026-01-04T06,121.0,180.0,69.525,84.425,7.75,1,1,1,1,1
2026-01-04T07,114.0,163.0,73.3,87.3,6.625,1,1,1,1,1
2026-01-04T08,118.0,180.0,75.075,90.65,7.675,1,1,1,1,1
2026-01-04T09,121.0,183.0,72.625,95.675,5.325,1,1,1,1,1
2026-01-04T10,135.0,194.0,78.775,90.325,5.6,1,1,1,1,1
2026-01-04T11,158.0,227.0,108.225,43.45,6.75,1,1,1,1,1
2026-01-04T12,164.0,235.0,121.0,16.775,6.225,1,1,1,1,1
2026-01-04T13,161.0,226.0,126.233,1.833,6.667,1,1,1,1,1
2026-01-04T14,222.0,234.0,115.625,8.2,6.025,1,1,1,1,1
2026-01-04T15,150.0,201.0,116.375,3.75,6.075,1,1,1,1,1
