hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,28.5,49.0,18.95,99.25,6.45,1,1,1,1,1
2018-08-10T06,30.0,52.0,16.9,131.55,6.4,1,1,1,1,1
2018-08-10T07,43.0,76.5,53.8,85.65,7.7,1,1,1,1,1
2018-08-10T08,38.0,68.0,52.55,41.4,5.65,1,1,1,1,1
2018-08-10T09,26.0,40.0,40.4,37.95,5.8,1,1,1,1,1
2018-08-10T10,23.0,35.5,69.0,3.55,7.6,1,1,1,1,1
2018-08-10T11,30.5,50.0,75.8,,8.85,1,1,1,0,1
2018-08-10T12,41.0,65.0,84.85,18.55,11.6,1,1,1,1,1
2018-08-10T13,50.0,76.5,78.0,29.3,13.7,1,1,1,1,1
2018-08-10T14,56.0,81.0,77.433,11.167,11.5,1,1,1,1,1
2018-08-10T15,68.0,101.0,65.1,7.8,9.05,1,1,1,1,1
2018-08-10T16,46.0,68.0,53.0,0.5,4.95,1,1,1,1,1
2018-08-10T21,45.0,62.0,33.6,13.0,7.9,1,1,1,1,1
2018-08-10T22,45.0,62.0,34.55,6.8,8.0,1,1,1,1,1
2018-08-10T23,32.0,44.333,23.1,2.4,6.533,1,1,1,1,1
2018-08-11T00,18.0,31.0,25.55,3.9,5.65,1,1,1,1,1
2018-08-11T01,20.0,33.0,28.3,2.75,6.65,1,1,1,1,1
2018-08-11T03,28.0,39.0,14.3,16.9,7.4,1,1,1,1,1
2018-08-11T04,19.0,57.0,12.3,32.8,6.7,1,1,1,1,1
2018-08-11T05,19.0,57.0,13.35,38.9,6.5,1,1,1,1,1
2018-08-11T07,34.0,108.0,13.3,47.65,6.35,1,1,1,1,1
2018-08-11T10,28.0,100.0,14.1,41.3,7.5,1,1,1,1,1
2018-08-11T11,28.0,100.0,15.35,47.65,7.7,1,1,1,1,1
2018-08-11T12,30.333,118.333,28.667,28.467,8.0,1,1,1,1,1
2018-08-11T13,35.0,139.0,44.133,8.5,8.467,1,1,1,1,1
2018-08-11T15,33.333,112.0,44.3,3.467,8.7,1,1,1,1,1
2018-08-11T16,30.5,109.5,40.75,3.55,8.45,1,1,1,1,1
2018-08-11T17,30.5,95.0,32.7,8.35,8.75,1,1,1,1,1
2018-08-11T18,29.333,76.667,31.133,8.667,8.267,1,1,1,1,1
2018-08-11T19,28.25,60.75,17.35,17.3,7.333,1,1,1,1,1
2018-08-11T20,24.0,47.667,,17.333,,1,1,0,1,0
2018-08-11T21,14.0,41.0,18.0,11.4,6.4,1,1,1,1,1
2018-08-11T22,16.667,32.0,17.133,10.067,6.533,1,1,1,1,1
2018-08-11T23,17.5,31.0,15.35,10.5,6.525,1,1,1,1,1
2018-08-12T00,16.667,30.333,13.333,7.333,7.033,1,1,1,1,1
2018-08-12T01,21.5,21.5,14.65,5.3,7.7,1,1,1,1,1
2018-08-12T02,25.0,26.5,17.25,4.65,6.35,1,1,1,1,1
2018-08-12T03,26.333,33.667,17.967,4.533,6.533,1,1,1,1,1
