hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-10T05,45.0,89.0,6.7,29.2,,1,1,1,1,0
2018-08-10T06,45.0,89.0,5.45,34.2,,1,1,1,1,0
2018-08-10T07,43.0,83.5,5.5,48.85,,1,1,1,1,0
2018-08-10T08,49.25,94.25,6.7,60.375,,1,1,1,1,0
2018-08-10T09,55.75,109.5,5.475,72.35,,1,1,1,1,0
2018-08-10T10,55.0,131.0,13.9,50.633,,1,1,1,1,0
2018-08-10T11,60.0,189.0,21.4,52.933,,1,1,1,1,0
2018-08-10T12,76.5,240.0,24.1,47.2,,1,1,1,1,0
2018-08-10T13,90.667,281.667,27.9,25.067,,1,1,1,1,0
2018-08-10T14,106.0,311.0,31.65,15.25,,1,1,1,1,0
2018-08-10T15,107.0,295.0,19.45,20.1,,1,1,1,1,0
2018-08-10T16,39.0,85.0,12.65,19.25,,1,1,1,1,0
2018-08-10T21,35.0,99.0,10.9,8.0,,1,1,1,1,0
2018-08-10T22,35.0,99.0,10.5,8.55,,1,1,1,1,0
2018-08-10T23,35.5,75.0,8.3,9.1,,1,1,1,1,0
2018-08-11T00,31.25,64.0,8.875,8.925,,1,1,1,1,0
2018-08-11T01,38.0,73.0,8.367,9.367,,1,1,1,1,0
2018-08-11T02,55.0,92.0,7.6,9.3,,1,1,1,1,0
2018-08-11T03,33.0,94.0,5.25,14.5,,1,1,1,1,0
2018-08-11T04,34.0,103.0,4.25,24.2,,1,1,1,1,0
2018-08-11T05,33.0,103.0,4.3,25.5,,1,1,1,1,0
2018-08-11T07,31.0,123.0,4.4,37.1,,1,1,1,1,0
2018-08-11T10,47.0,147.0,6.2,43.4,,1,1,1,1,0
2018-08-11T11,47.0,147.0,5.633,48.467,,1,1,1,1,0
2018-08-11T12,33.667,158.0,7.4,47.367,,1,1,1,1,0
2018-08-11T13,35.0,174.0,11.467,33.9,,1,1,1,1,0
2018-08-11T15,35.75,115.0,9.125,24.975,,1,1,1,1,0
2018-08-11T16,36.0,94.667,10.367,20.2,,1,1,1,1,0
2018-08-11T17,34.333,83.0,5.733,28.133,,1,1,1,1,0
2018-08-11T18,35.333,78.333,5.533,24.133,,1,1,1,1,0
2018-08-11T19,44.333,89.0,4.433,23.6,,1,1,1,1,0
2018-08-11T20,28.667,67.333,2.0,21.233,,1,1,1,1,0
2018-08-11T21,28.0,56.0,2.833,22.967,,1,1,1,1,0
2018-08-11T22,46.0,80.0,7.375,18.6,,1,1,1,1,0
2018-08-11T23,52.5,82.25,8.325,14.5,,1,1,1,1,0
2018-08-12T00,24.0,61.667,7.433,12.733,,1,1,1,1,0
2018-08-12T01,22.5,65.0,6.55,10.85,,1,1,1,1,0
2018-08-12T02,26.0,68.667,6.133,10.867,,1,1,1,1,0
2018-08-12T03,24.25,71.25,5.1,13.625,,1,1,1,1,0
2018-08-12T04,25.0,84.0,4.367,17.233,,1,1,1,1,0
2018-08-12T05,25.0,90.0,4.0,20.967,,1,1,1,1,0
2018-08-12T06,24.667,94.667,4.2,29.5,,1,1,1,1,0
2018-08-12T07,24.0,91.0,4.45,38.05,,1,1,1,1,0
2018-08-12T08,27.0,91.333,3.7,43.467,,1,1,1,1,0
2018-08-12T09,23.75,90.25,3.25,44.425,,1,1,1,1,0
2018-08-12T10,22.0,88.5,2.45,52.75,,1,1,1,1,0
2018-08-12T11,25.0,88.0,4.1,52.967,,1,1,1,1,0
2018-08-12T12,29.333,98.0,6.267,42.767,,1,1,1,1,0
2018-08-12T13,34.0,110.0,8.2,28.75,,1,1,1,1,0
2018-08-12T14,50.0,162.333,13.3,16.9,,1,1,1,1,0
2018-08-12T15,58.0,175.667,14.467,12.567,,1,1,1,1,0
2018-08-12T16,41.0,147.0,13.7,14.4,,1,1,1,1,0
2018-08-12T17,42.0,142.0,13.2,13.033,,1,1,1,1,0
2018-08-12T18,42.5,119.5,8.85,15.55,,1,1,1,1,0
2018-08-12T19,41.25,103.75,6.75,17.35,,1,1,1,1,0
2018-08-12T20,46.0,98.5,4.3,13.85,,1,1,1,1,0
2018-08-13T02,33.667,87.667,7.0,14.633,,1,1,1,1,0
2018-08-13T03,22.0,89.5,4.95,21.6,,1,1,1,1,0
2018-08-13T04,27.0,81.0,4.1,29.3,,1,1,1,1,0
2018-08-13T05,27.5,91.5,3.35,33.95,,1,1,1,1,0
2018-08-13T06,27.5,101.0,3.55,33.45,,1,1,1,1,0
2018-08-13T07,27.667,108.333,3.567,40.367,,1,1,1,1,0
2018-08-13T08,29.0,125.0,4.9,46.7,,1,1,1,1,0
2018-08-13T09,39.75,151.75,4.55,50.325,,1,1,1,1,0
2018-08-13T10,43.0,134.5,3.3,64.95,,1,1,1,1,0
2018-08-13T11,46.333,132.667,3.233,64.533,,1,1,1,1,0
2018-08-13T12,45.0,152.5,4.5,54.15,,1,1,1,1,0
2018-08-13T13,42.5,139.0,7.55,33.75,,1,1,1,1,0
2018-08-13T14,49.0,124.0,7.95,24.05,,1,1,1,1,0
2018-08-13T15,51.333,120.0,7.133,35.667,,1,1,1,1,0
2018-08-13T16,39.0,67.5,4.45,26.2,,1,1,1,1,0
2018-08-13T17,34.667,57.667,4.633,15.2,,1,1,1,1,0
2018-08-13T18,29.333,57.0,10.867,11.3,,1,1,1,1,0
2018-08-13T19,40.5,77.5,13.85,13.3,,1,1,1,1,0
2018-08-13T20,41.0,88.0,13.0,22.933,,1,1,1,1,0
2018-08-13T21,48.5,109.5,12.05,31.35,,1,1,1,1,0
2018-08-13T22,56.5,120.0,10.1,17.95,,1,1,1,1,0
2018-08-13T23,69.0,138.0,10.35,28.15,,1,1,1,1,0
2018-08-14T00,75.5,160.5,14.25,22.15,,1,1,1,1,0
2018-08-14T01,71.333,161.0,16.367,14.5,,1,1,1,1,0
2018-08-14T02,64.5,140.5,7.5,11.05,,1,1,1,1,0
2018-08-14T03,54.333,116.333,6.867,11.0,,1,1,1,1,0
2018-08-14T04,63.0,134.0,9.05,16.25,,1,1,1,1,0
2018-08-14T05,71.0,141.333,7.767,31.367,,1,1,1,1,0
2018-08-14T06,67.0,130.0,7.067,38.3,,1,1,1,1,0
2018-08-14T07,54.5,124.0,5.7,36.1,,1,1,1,1,0
2018-08-14T08,48.5,116.0,5.4,33.3,,1,1,1,1,0
2018-08-14T09,45.0,111.0,4.3,41.8,,1,1,1,1,0
2018-08-14T11,42.0,109.667,3.6,51.733,,1,1,1,1,0
2018-08-14T12,49.5,126.5,5.2,45.75,,1,1,1,1,0
2018-08-14T13,57.0,136.0,6.85,37.35,,1,1,1,1,0
2018-08-14T15,87.5,244.5,14.45,3.25,,1,1,1,1,0
2018-08-14T16,95.5,270.5,17.4,8.75,,1,1,1,1,0
2018-08-14T23,56.0,130.5,8.9,9.05,,1,1,1,1,0
2018-08-15T00,57.5,136.5,9.0,8.95,,1,1,1,1,0
2018-08-15T01,61.0,142.5,7.65,8.05,,1,1,1,1,0
2018-08-15T04,52.333,164.667,2.9,15.0,,1,1,1,1,0
2018-08-15T05,35.0,97.0,2.95,32.0,,1,1,1,1,0
2018-08-15T06,39.0,92.0,4.4,38.4,,1,1,1,1,0
2018-08-15T07,40.0,84.0,5.6,57.85,,1,1,1,1,0
