hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2022-01-02T16,324.0,512.0,61.6,3.4,6.7,1,1,1,1,1
2022-01-02T17,364.0,566.0,55.9,3.7,4.3,1,1,1,1,1
2022-01-02T18,376.0,555.0,64.5,4.1,5.3,1,1,1,1,1
2022-01-02T19,438.0,743.0,53.7,,5.3,1,1,1,0,1
2022-01-02T21,327.0,510.0,44.3,4.1,3.6,1,1,1,1,1
2022-01-02T22,296.0,422.0,36.4,2.8,2.9,1,1,1,1,1
2022-01-02T23,274.0,400.0,27.5,4.6,1.9,1,1,1,1,1
2022-01-03T00,275.5,401.5,23.65,3.7,2.4,1,1,1,1,1
2022-01-03T02,338.0,539.0,34.2,4.1,4.6,1,1,1,1,1
2022-01-03T04,307.0,473.0,,10.8,,1,1,0,1,0
2022-01-03T06,324.0,509.0,56.6,61.9,15.2,1,1,1,1,1
2022-01-03T07,188.0,333.0,54.9,79.1,14.7,1,1,1,1,1
2022-01-03T11,163.0,256.0,71.9,68.5,12.5,1,1,1,1,1
2022-01-03T13,282.0,534.0,79.5,4.3,11.9,1,1,1,1,1
2022-01-03T15,298.0,550.0,109.1,5.0,14.2,1,1,1,1,1
2022-01-03T18,456.0,762.0,,5.1,12.3,1,1,0,1,1
2022-01-03T20,453.0,699.0,52.7,4.7,10.9,1,1,1,1,1
2022-01-03T21,453.0,655.0,63.4,4.7,8.7,1,1,1,1,1
2022-01-03T22,390.0,562.5,43.8,4.2,7.1,1,1,1,1,1
2022-01-04T00,371.0,559.0,40.8,4.3,9.0,1,1,1,1,1
2022-01-04T01,342.0,532.0,53.0,4.2,8.0,1,1,1,1,1
2022-01-04T03,334.5,521.0,123.15,4.5,13.6,1,1,1,1,1
2022-01-04T11,56.0,139.0,44.8,33.5,17.5,1,1,1,1,1
2022-01-04T13,97.0,239.0,71.9,3.5,11.9,1,1,1,1,1
2022-01-04T14,147.0,294.0,69.3,4.1,11.2,1,1,1,1,1
2022-01-04T15,193.0,329.0,69.0,3.6,13.1,1,1,1,1,1
2022-01-04T16,213.0,361.0,73.5,4.0,14.4,1,1,1,1,1
2022-01-04T20,324.0,480.0,57.3,4.5,9.2,1,1,1,1,1
2022-01-04T21,306.0,431.0,43.1,4.0,8.3,1,1,1,1,1
2022-01-04T22,287.0,383.0,34.9,3.6,6.9,1,1,1,1,1
2022-01-05T02,418.0,576.0,37.6,10.6,10.3,1,1,1,1,1
2022-01-05T05,500.0,586.0,106.3,22.7,12.3,1,1,1,1,1
