hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-12-14T01,158.0,,,,,1,0,0,0,0
2018-12-14T12,79.0,,,14.1,16.9,1,0,0,1,1
2018-12-14T16,161.0,215.0,88.0,7.8,15.6,1,1,1,1,1
2018-12-15T14,169.0,248.0,71.4,19.5,23.1,1,1,1,1,1
2018-12-15T15,162.0,230.5,72.3,17.1,27.2,1,1,1,1,1
2018-12-15T21,,,,6.9,,0,0,0,1,0
2018-12-20T20,301.0,340.0,39.0,8.2,15.7,1,1,1,1,1
2018-12-20T21,298.25,337.25,33.1,7.0,14.375,1,1,1,1,1
2018-12-20T22,281.0,317.667,30.833,6.25,14.1,1,1,1,1,1
2018-12-20T23,286.0,323.5,22.225,7.05,11.0,1,1,1,1,1
2018-12-21T00,356.5,409.0,18.825,6.325,12.275,1,1,1,1,1
2018-12-21T01,364.0,453.333,16.433,7.267,13.967,1,1,1,1,1
2018-12-21T02,385.75,483.0,18.825,9.025,16.267,1,1,1,1,1
2018-12-21T03,437.0,565.5,22.4,16.875,24.7,1,1,1,1,1
2018-12-21T04,411.0,547.0,20.8,53.15,28.6,1,1,1,1,1
2018-12-21T05,347.5,475.75,10.35,100.775,26.35,1,1,1,1,1
2018-12-21T06,251.0,367.75,6.767,119.15,24.775,1,1,1,1,1
2018-12-21T07,200.0,316.0,5.067,126.567,20.6,1,1,1,1,1
2018-12-21T08,205.75,294.0,2.775,127.425,19.2,1,1,1,1,1
2018-12-21T09,169.0,250.0,,,19.2,1,1,0,0,1
2018-12-21T10,146.5,245.333,4.5,80.633,25.567,1,1,1,1,1
2018-12-21T11,166.667,282.667,7.7,14.767,27.2,1,1,1,1,1
2018-12-21T12,212.5,321.0,7.25,5.55,25.25,1,1,1,1,1
2018-12-21T13,289.0,417.5,4.7,7.05,26.525,1,1,1,1,1
2018-12-21T14,375.0,505.0,4.467,7.55,27.667,1,1,1,1,1
2018-12-21T15,406.5,515.5,1.733,8.0,29.8,1,1,1,1,1
2018-12-21T16,418.667,511.333,3.4,7.6,30.233,1,1,1,1,1
2018-12-21T17,455.0,545.0,1.6,7.25,24.533,1,1,1,1,1
2018-12-21T18,462.333,559.667,0.4,5.625,19.284,2,2,2,2,2
2018-12-21T19,420.0,495.5,0.25,5.7,17.6,1,1,1,1,1
2018-12-21T20,398.5,462.5,,4.6,13.65,1,1,0,1,1
2018-12-21T21,414.333,478.0,,5.333,13.133,1,1,0,1,1
2018-12-21T22,452.5,525.0,,3.975,13.5,1,1,0,1,1
2018-12-21T23,433.0,519.5,,3.425,15.767,1,1,0,1,1
2018-12-22T00,391.0,483.0,,2.975,15.125,1,1,0,1,1
2018-12-22T01,407.0,495.333,,3.125,15.925,1,1,0,1,1
2018-12-22T02,443.0,572.667,,7.2,24.767,1,1,0,1,1
2018-12-22T03,475.5,599.5,,15.225,36.2,1,1,0,1,1
2018-12-22T04,455.0,551.5,,55.5,38.067,1,1,0,1,1
